Scan started at 15:02:06 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0654297	-0.0495606	374.739	0.195622	0.00414758	0.00385046	11.9141	0	-30937.4	-30765.7	-25755.6	0.195622	1058.84	1046.7	936.857	
0.00499208	-0.072876	-0.0557251	374.735	0.293434	0.00480529	0.00381005	24.8403	0.00499208	-30894.4	-30870.6	-25725	0.293434	2277.91	2275.79	2016.81	
0.00998416	-0.0686035	-0.0482178	374.736	0.391245	0.00259266	0.00231898	11.3948	0.00998416	-30951.7	-30849.1	-25696.2	0.391245	1035.52	1032.71	914.796	
0.0149762	-0.0593567	-0.0400085	374.735	0.489056	0.00243864	0.00195518	15.0534	0.0149762	-31003.5	-30785.7	-25697.1	0.489056	1372.96	1368.28	1202.96	
0.0199683	-0.0546875	-0.0386353	374.736	0.586867	0.00228635	0.00176553	10.961	0.0199683	-31003.5	-30785.4	-25697.2	0.586867	992.765	990.307	874.666	
0.0249604	-0.0514526	-0.0387878	374.738	0.684678	0.00199176	0.00149068	10.8379	0.0249604	-31003.3	-30785.1	-25697.4	0.684678	979.876	976.501	858.13	
0.0299525	-0.0492554	-0.0396118	374.737	0.782489	0.00159734	0.00160862	10.3529	0.0299525	-31003.2	-30785.1	-25697.8	0.782489	936.005	935.164	819.941	
0.0349446	-0.0493164	-0.0420227	374.74	0.880301	0.00135901	0.00112116	8.48259	0.0349446	-31002.8	-30784.7	-25697.8	0.880301	762.788	759.626	666.619	
0.0399366	-0.0480347	-0.039093	374.74	0.978112	0.00222541	0.00191604	9.57028	0.0399366	-31002.4	-30784.5	-25697.8	0.978112	864.896	865.584	758.272	
0.0449287	-0.0484619	-0.0404053	374.74	1.07592	0.00288618	0.00261058	6.98752	0.0449287	-31002.5	-30784.2	-25697.7	1.07592	625.658	621.543	543.112	
0.0499208	-0.0472412	-0.0405884	374.74	1.17373	0.0020017	0.00157195	8.6504	0.0499208	-31002.5	-30784	-25697.8	1.17373	783.333	782.879	686.928	
0.0549129	-0.0490723	-0.0377197	374.739	1.27155	0.000867132	0.000757828	5.93712	0.0549129	-31002.7	-30784.4	-25697.9	1.27155	530.166	525.145	458.268	
0.059905	-0.0527649	-0.040863	374.741	1.36936	0.00237806	0.00230403	7.64712	0.059905	-31003.4	-30784.5	-25698.1	1.36936	692.514	690.849	606.649	
0.064897	-0.0537109	-0.0354614	374.741	1.46717	0.00118239	0.000951965	5.14423	0.064897	-31002.7	-30784.6	-25698.5	1.46717	457.584	457.299	397.475	
0.0698891	-0.0549927	-0.0359802	374.743	1.56498	0.00119524	0.000915737	6.57034	0.0698891	-31002.5	-30785.3	-25698.7	1.56498	596.444	592.036	520.139	
0.0748812	-0.0527039	-0.0369263	374.746	1.66279	0.000700641	0.000658542	4.52725	0.0748812	-31002.7	-30785.7	-25698.9	1.66279	403.945	402.762	351.535	
0.0798733	-0.0505371	-0.0352783	374.743	1.7606	0.00147728	0.00116285	5.44125	0.0798733	-31002.4	-30785.9	-25699	1.7606	492.747	490.819	431.746	
0.0848654	-0.0516968	-0.0405884	374.742	1.85841	0.00111769	0.00100978	4.03043	0.0848654	-31002.9	-30786.2	-25699	1.85841	361.675	360.276	314.022	
0.0898574	-0.0525818	-0.0363159	374.742	1.95622	0.00197136	0.00193528	4.30208	0.0898574	-31003	-30786.3	-25698.7	1.95622	389.407	388.659	341.908	
0.0948495	-0.0516357	-0.0327759	374.739	2.05403	0.00199902	0.00181514	3.61716	0.0948495	-31003.4	-30785.9	-25698.6	2.05403	327.61	325.4	285.581	
0.0998416	-0.0524597	-0.0326233	374.738	2.15185	0.000927798	0.000866297	3.18722	0.0998416	-31003.5	-30785.1	-25698.7	2.15185	288.172	287.497	252.043	
0.104834	-0.0510559	-0.0271301	374.742	2.24966	0.00112829	0.000842309	3.27774	0.104834	-31002.5	-30784.6	-25698.9	2.24966	297.972	297.118	262.489	
0.109826	-0.0513916	-0.0310974	374.744	2.34747	0.000954726	0.00101586	2.11804	0.109826	-31002.3	-30784.5	-25699	2.34747	190.39	190.264	166.556	
0.114818	-0.0541382	-0.0328369	374.743	2.44528	0.000919736	0.00078428	2.9915	0.114818	-31001.9	-30784.7	-25699.1	2.44528	273.877	273.044	241.845	
0.11981	-0.0556946	-0.0354309	374.739	2.54309	0.000936178	0.000976676	1.12501	0.11981	-31001.8	-30784.8	-25699	2.54309	99.0736	99.9795	87.2625	
0.124802	-0.0549011	-0.0385437	374.737	2.6409	0.00120979	0.00118959	2.76087	0.124802	-31002.1	-30784.6	-25699.3	2.6409	253.307	253.111	224.166	
