Scan started at 14:53:15 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0672608	-0.0446777	373.949	0.195622	0.00456258	0.00433742	12.0621	0	-30865.3	-30890	-25616.2	0.195622	1048.56	1049.2	929.536	
0.00499208	-0.0505371	-0.0337524	373.944	0.293434	0.00501696	0.00394249	24.7592	0.00499208	-30966.5	-30741.6	-25622.9	0.293434	2279.23	2269.28	2010.94	
0.00998416	-0.0429281	-0.027832	373.946	0.391245	0.00167141	0.00153074	11.4369	0.00998416	-30969.4	-30683.5	-25658.1	0.391245	1054.56	1033.4	895.065	
0.0149762	-0.0486145	-0.0352783	373.948	0.489056	0.00349948	0.00297737	14.9651	0.0149762	-30920.1	-30728.9	-25673.3	0.489056	1386.79	1367.76	1201.42	
0.0199683	-0.0470276	-0.0376892	373.95	0.586867	0.00264064	0.0020331	10.9329	0.0199683	-30919.9	-30728.8	-25673.3	0.586867	1013.57	996.733	871.168	
0.0249604	-0.0502319	-0.0374756	373.949	0.684678	0.00130869	0.000856553	10.7857	0.0249604	-30919.7	-30728.9	-25673.1	0.684678	989.301	980.402	864.508	
0.0299525	-0.0537415	-0.0374756	373.945	0.782489	0.0017049	0.00135928	10.3028	0.0299525	-30920.2	-30728.7	-25673.3	0.782489	942.564	935.398	830.1	
0.0349446	-0.0552979	-0.0375366	373.942	0.880301	0.0014807	0.00111585	8.46236	0.0349446	-30920.3	-30728.4	-25673	0.880301	765.459	763.133	671.938	
0.0399366	-0.055603	-0.0357056	373.941	0.978112	0.0021368	0.00186467	9.52522	0.0399366	-30919.2	-30729.7	-25673.2	0.978112	868.025	862.798	764.931	
0.0449287	-0.0541687	-0.0358582	373.946	1.07592	0.00112678	0.00134968	6.96697	0.0449287	-30919.2	-30730	-25673.7	1.07592	625.87	623	547.259	
0.0499208	-0.0539856	-0.0358582	373.95	1.17373	0.00201257	0.00196027	8.62379	0.0499208	-30919.1	-30729.6	-25673.4	1.17373	785.299	779.926	690.264	
0.0549129	-0.0532837	-0.0331116	373.948	1.27155	0.000768642	0.000634933	5.91659	0.0549129	-30919.8	-30729.6	-25673.7	1.27155	530.494	526.997	461.89	
0.059905	-0.0546875	-0.0346985	373.947	1.36936	0.00301577	0.00283863	7.62153	0.059905	-30919.9	-30729.4	-25673.7	1.36936	692.826	689.982	609.115	
0.064897	-0.0529175	-0.0361328	373.947	1.46717	0.0013445	0.00121165	5.12464	0.064897	-30918.6	-30729.4	-25673.2	1.46717	459.625	457.328	399.88	
0.0698891	-0.0536194	-0.0373535	373.947	1.56498	0.00164113	0.00138492	6.54799	0.0698891	-30919.4	-30728.2	-25673.4	1.56498	596.662	590.436	522.513	
0.0748812	-0.0525513	-0.0407105	373.949	1.66279	0.000739418	0.000816278	4.51346	0.0748812	-30919.9	-30728.2	-25673.3	1.66279	404.97	403.003	353.835	
0.0798733	-0.0513001	-0.0392456	373.946	1.7606	0.00162295	0.00157075	5.42493	0.0798733	-30919.3	-30729.5	-25673.9	1.7606	493.454	491.392	432.963	
0.0848654	-0.0525818	-0.0415344	373.944	1.85841	0.00232785	0.00214055	4.01379	0.0848654	-30920.6	-30730.7	-25674.1	1.85841	363.149	360.341	315.388	
0.0898574	-0.0520935	-0.0400085	373.941	1.95622	0.00129167	0.000971722	4.2913	0.0898574	-30921.2	-30732.2	-25674	1.95622	389.489	387.144	343.024	
0.0948495	-0.0502319	-0.039093	373.939	2.05403	0.000829687	0.000601675	3.60212	0.0948495	-30921.2	-30731.7	-25673.9	2.05403	325.966	325.774	287.577	
0.0998416	-0.0535278	-0.0377197	373.943	2.15185	0.00199622	0.00187238	3.17542	0.0998416	-30921.3	-30731.1	-25673.6	2.15185	289.622	286.368	252.76	
