Scan started at 14:57:42 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0657959	-0.0405273	373.511	0.195622	0.00408882	0.00385652	12.0296	0	-30934	-30750.9	-25665.9	0.195622	1054.69	1029.82	927.149	
0.00499208	-0.0549927	-0.0261841	373.509	0.293434	0.00558779	0.00467536	24.7659	0.00499208	-30995.7	-30636.4	-25688.2	0.293434	2267.09	2263.2	2009.17	
0.00998416	-0.0550944	-0.0308431	373.509	0.391245	0.00212624	0.00194943	11.4182	0.00998416	-30953.5	-30627.7	-25720.6	0.391245	1032.23	1043.2	897.343	
0.0149762	-0.0588074	-0.0364075	373.507	0.489056	0.00262462	0.00207251	14.9798	0.0149762	-30901.9	-30680.9	-25725.5	0.489056	1369.94	1374.73	1203.18	
0.0199683	-0.0557251	-0.0355835	373.505	0.586867	0.00185902	0.0014311	10.929	0.0199683	-30901.1	-30681.3	-25725.9	0.586867	995.568	1006.23	877.645	
0.0249604	-0.0551758	-0.0393372	373.502	0.684678	0.0017533	0.00122515	10.8035	0.0249604	-30900	-30680.7	-25726.7	0.684678	977.317	986.696	867.371	
0.0299525	-0.0555115	-0.0383606	373.502	0.782489	0.00246678	0.00200356	10.3079	0.0299525	-30899.1	-30678.7	-25727.7	0.782489	933.822	938.272	830.242	
0.0349446	-0.0569763	-0.0391235	373.506	0.880301	0.00125875	0.000857143	8.46973	0.0349446	-30897.6	-30677.3	-25728.2	0.880301	760.085	765.006	671.272	
0.0399366	-0.0577393	-0.040863	373.507	0.978112	0.00210996	0.00191192	9.53531	0.0399366	-30895.1	-30675.9	-25728.4	0.978112	863.151	861.762	764.109	
0.0449287	-0.0549927	-0.0395813	373.512	1.07592	0.000795856	0.000985874	6.96742	0.0449287	-30893.7	-30673.8	-25728.9	1.07592	621.561	623.968	546.275	
0.0499208	-0.0549316	-0.0387878	373.51	1.17373	0.0023959	0.00208328	8.6351	0.0499208	-30892.6	-30671.6	-25729.2	1.17373	780.626	778.164	688.988	
0.0549129	-0.0534363	-0.0398254	373.507	1.27155	0.00162715	0.00125225	5.91801	0.0549129	-30891.4	-30670.9	-25729.9	1.27155	525.938	529.006	460.875	
0.059905	-0.0533753	-0.0379639	373.507	1.36936	0.00299645	0.00271856	7.62714	0.059905	-30890.4	-30670.2	-25730.4	1.36936	690.8	689.975	607.65	
0.064897	-0.0524292	-0.038147	373.503	1.46717	0.00147571	0.00132646	5.1322	0.064897	-30889.6	-30668.6	-25730.9	1.46717	457.641	457.646	398.901	
0.0698891	-0.0498047	-0.037323	373.503	1.56498	0.00112318	0.000884483	6.54933	0.0698891	-30888.6	-30667.4	-25731.9	1.56498	593.015	591.17	522.286	
0.0748812	-0.0510254	-0.0343628	373.501	1.66279	0.000885991	0.000916893	4.51289	0.0748812	-30887.7	-30667	-25732.3	1.66279	400.98	404.634	353.116	
0.0798733	-0.0523377	-0.0351563	373.501	1.7606	0.00115947	0.00100111	5.4244	0.0798733	-30886.9	-30667.4	-25732.6	1.7606	491.439	490.479	432.164	
0.0848654	-0.0531311	-0.0327454	373.505	1.85841	0.0012047	0.00112243	4.02084	0.0848654	-30885.5	-30666.6	-25733.1	1.85841	360.352	360.577	315.721	
0.0898574	-0.0565186	-0.0338135	373.505	1.95622	0.00222331	0.00217876	4.28953	0.0898574	-30885.6	-30664.9	-25733.3	1.95622	386.797	388.168	342.918	
0.0948495	-0.0558472	-0.0372925	373.505	2.05403	0.00130043	0.00114945	3.60924	0.0948495	-30885.7	-30664.7	-25733.5	2.05403	326.441	324.483	286.448	
0.0998416	-0.056366	-0.0365295	373.495	2.15185	0.00157747	0.00153002	3.18035	0.0998416	-30884.6	-30664.8	-25733.6	2.15185	286.381	286.929	252.71	
0.104834	-0.0566406	-0.036438	373.497	2.24966	0.00115203	0.00108847	3.26946	0.104834	-30884.5	-30663.2	-25733.8	2.24966	296.298	296.169	263.074	
