Scan started at 14:50:10 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0395508	-0.0152588	374.736	0.195622	0.00404131	0.00363642	11.9625	0	-31124.2	-30590.8	-25701.9	0.195622	1064.62	1052.9	932.763	
0.00499208	-0.0397949	-0.0181274	374.734	0.293434	0.00436796	0.0032574	24.8148	0.00499208	-31034.7	-30626.8	-25745.5	0.293434	2277.14	2270.46	2020.9	
0.00998416	-0.0511882	-0.0328776	374.734	0.391245	0.00253005	0.00200342	11.4123	0.00998416	-30956.4	-30732.5	-25745.9	0.391245	1042.46	1029.59	916.108	
0.0149762	-0.0522156	-0.0354919	374.732	0.489056	0.00193088	0.00125523	15.0314	0.0149762	-30959.7	-30767.9	-25723.6	0.489056	1370.38	1360.19	1206.14	
0.0199683	-0.0491943	-0.0354614	374.729	0.586867	0.00233975	0.0018002	10.9452	0.0199683	-30959.9	-30767.6	-25722.9	0.586867	993.38	986.655	877.064	
0.0249604	-0.0523987	-0.0365906	374.729	0.684678	0.00143573	0.000957054	10.8374	0.0249604	-30960.2	-30767.9	-25722.7	0.684678	978.579	973.7	861.701	
0.0299525	-0.0513916	-0.0354614	374.732	0.782489	0.00268666	0.00212551	10.3347	0.0299525	-30959.4	-30768.6	-25723.2	0.782489	934.93	931.396	823.156	
0.0349446	-0.0538025	-0.0334168	374.732	0.880301	0.0011437	0.000891175	8.48675	0.0349446	-30959.8	-30768.2	-25723.2	0.880301	761.918	758.272	666.545	
0.0399366	-0.0570374	-0.0343018	374.735	0.978112	0.00200114	0.00172709	9.56633	0.0399366	-30959.5	-30768.6	-25722.4	0.978112	864.323	861.558	760.127	
0.0449287	-0.0536804	-0.0356445	374.734	1.07592	0.00218957	0.00174059	6.98336	0.0449287	-30960.8	-30768.4	-25722.6	1.07592	624.601	621.229	543.951	
0.0499208	-0.0534668	-0.0332031	374.73	1.17373	0.00230343	0.00211094	8.65871	0.0499208	-30961.5	-30768.1	-25722.8	1.17373	781.857	780.667	687.891	
0.0549129	-0.0504456	-0.0341797	374.733	1.27155	0.00183449	0.00170428	5.92922	0.0549129	-30961.3	-30769.5	-25722.9	1.27155	528.392	525.083	459.35	
0.059905	-0.0464478	-0.0322571	374.734	1.36936	0.00178755	0.00172377	7.64581	0.059905	-30961.1	-30770.4	-25723	1.36936	691.881	689.373	607.612	
0.064897	-0.0505982	-0.0341187	374.731	1.46717	0.00146015	0.00144384	5.14685	0.064897	-30961.5	-30769.9	-25722.9	1.46717	459.237	454.065	398.119	
0.0698891	-0.0520325	-0.0353699	374.732	1.56498	0.000779171	0.000960204	6.56223	0.0698891	-30962.1	-30769.6	-25723.1	1.56498	591.732	593.078	521.879	
0.0748812	-0.0531616	-0.0357666	374.727	1.66279	0.00165831	0.00152062	4.52728	0.0748812	-30961.6	-30770.2	-25723.1	1.66279	405.82	400.325	351.01	
