Y X GPSALT LONG LAT MAGIGRF IGRF
473779.87 8211255.99 805.59 -51.245285 -16.178881 61.823 23515.071
473779.65 8211187.16 805.29 -51.245288 -16.179503 54.56 23514.99
473779.44 8211118.02 803.24 -51.245291 -16.180128 46.825 23514.908
473779.82 8211047.66 800.0 -51.245288 -16.180764 40.864 23514.825
473781.69 8210976.99 796.48 -51.245271 -16.181403 39.082 23514.742
473784.74 8210905.4 793.55 -51.245243 -16.18205 40.186 23514.658
473789.28 8210833.5 792.33 -51.245202 -16.1827 44.074 23514.575
473793.82 8210760.69 793.37 -51.24516 -16.183358 48.201 23514.49
473798.66 8210687.87 794.98 -51.245116 -16.184017 61.688 23514.405
473803.2 8210614.44 797.03 -51.245074 -16.184681 93.036 23514.319
473807.45 8210540.7 798.57 -51.245035 -16.185347 130.795 23514.233
473811.99 8210466.65 799.24 -51.244993 -16.186017 164.864 23514.146
473815.94 8210391.99 799.53 -51.244957 -16.186692 188.885 23514.059
473819.29 8210317.02 800.02 -51.244927 -16.187369 194.757 23513.971
473821.46 8210241.43 800.96 -51.244907 -16.188053 179.814 23513.883
473822.74 8210165.85 802.47 -51.244896 -16.188736 164.375 23513.794
473823.72 8210090.26 803.88 -51.244888 -16.189419 155.181 23513.705
473823.51 8210014.06 803.85 -51.244891 -16.190108 144.388 23513.615
473822.42 8209937.24 802.59 -51.244902 -16.190803 125.824 23513.524
473819.84 8209860.42 802.63 -51.244927 -16.191497 99.521 23513.433
473816.07 8209783.29 802.95 -51.244963 -16.192194 78.636 23513.341
473810.52 8209706.16 803.06 -51.245016 -16.192892 70.624 23513.249
473804.08 8209629.02 803.56 -51.245077 -16.193589 67.737 23513.156
473797.64 8209551.89 804.63 -51.245138 -16.194286 71.21 23513.064
473791.5 8209474.45 805.59 -51.245196 -16.194986 79.32 23512.971
474329.71 8209547.91 772.77 -51.24016 -16.194328 75.634 23513.177
474329.92 8209625.04 773.77 -51.240157 -16.19363 133.921 23513.268
474329.23 8209702.16 775.02 -51.240163 -16.192933 175.735 23513.359
474327.66 8209779.28 776.38 -51.240177 -16.192236 160.438 23513.449
474325.19 8209856.71 777.6 -51.240199 -16.191536 120.09 23513.54
474322.13 8209934.45 778.06 -51.240227 -16.190833 83.658 23513.631
474319.07 8210012.18 777.31 -51.240255 -16.19013 63.667 23513.722
474315.71 8210090.53 775.84 -51.240285 -16.189422 62.575 23513.814
474312.95 8210169.5 773.74 -51.24031 -16.188708 70.368 23513.906
474310.19 8210248.46 770.86 -51.240335 -16.187994 88.314 23513.999
474307.72 8210328.35 766.98 -51.240357 -16.187272 120.424 23514.093
474305.84 8210408.55 761.25 -51.240374 -16.186547 163.821 23514.187
474304.86 8210489.67 755.56 -51.240382 -16.185814 194.156 23514.282
474304.46 8210571.4 750.92 -51.240385 -16.185075 201.924 23514.379
474304.96 8210653.75 747.21 -51.24038 -16.184331 191.082 23514.476
474306.35 8210736.71 743.86 -51.240366 -16.183581 169.482 23514.574
474308.33 8210819.98 740.3 -51.240346 -16.182828 140.765 23514.673
474310.9 8210903.87 736.84 -51.240321 -16.182069 109.387 23514.773
474312.88 8210988.07 733.65 -51.240302 -16.181308 82.733 23514.872
474314.27 8211072.57 730.84 -51.240288 -16.180544 66.74 23514.972
474315.36 8211157.37 728.29 -51.240277 -16.179778 61.527 23515.073
474315.26 8211242.8 725.91 -51.240277 -16.179006 63.265 23515.174
474314.86 8211328.22 723.89 -51.24028 -16.178233 59.949 23515.274
474313.57 8211413.33 722.46 -51.240291 -16.177464 56.703 23515.375
474311.69 8211499.05 720.77 -51.240307 -16.176689 53.482 23515.476
474309.21 8211584.78 719.62 -51.24033 -16.175914 47.214 23515.576
474307.04 8211670.2 719.48 -51.240349 -16.175142 33.289 23515.677
474305.15 8211755.62 719.97 -51.240366 -16.174369 13.28 23515.777
474303.87 8211841.04 720.02 -51.240377 -16.173597 -21.925 23515.878
474303.17 8211926.15 718.15 -51.240382 -16.172828 -20.167 23515.978
474303.37 8212011.57 714.56 -51.24038 -16.172056 48.272 23516.079
474304.46 8212097.3 709.4 -51.240369 -16.171281 152.314 23516.181
474305.54 8212183.34 703.22 -51.240357 -16.170503 157.228 23516.283
474307.22 8212269.99 696.66 -51.240341 -16.169719 121.258 23516.385
474308.9 8212357.26 689.84 -51.240324 -16.168931 106.001 23516.489
474311.18 8212444.83 682.12 -51.240302 -16.168139 100.263 23516.593
474314.04 8212533.33 674.59 -51.240274 -16.167339 100.473 23516.698
474317.8 8212622.75 668.26 -51.240238 -16.166531 100.26 23516.805
474322.15 8212712.17 662.83 -51.240196 -16.165722 99.66 23516.912
474326.2 8212801.59 657.68 -51.240157 -16.164914 98.998 23517.018
474330.55 8212891.31 652.76 -51.240116 -16.164103 99.615 23517.125
474334.6 8212981.35 648.77 -51.240077 -16.163289 99.126 23517.233
474338.65 8213071.38 644.17 -51.240038 -16.162475 99.6 23517.34
474342.41 8213161.42 639.2 -51.240002 -16.161661 105.394 23517.447
474345.87 8213251.76 633.93 -51.239969 -16.160845 119.095 23517.555
474348.73 8213342.1 628.31 -51.239941 -16.160028 138.764 23517.662
474351.3 8213432.44 622.83 -51.239916 -16.159211 160.977 23517.77
474353.27 8213523.09 618.02 -51.239896 -16.158392 179.947 23517.878
474354.95 8213614.04 612.6 -51.23988 -16.15757 194.679 23517.986
474355.44 8213704.99 606.53 -51.239874 -16.156747 209.092 23518.093
474355.03 8213796.25 600.24 -51.239877 -16.155922 223.268 23518.201
474353.44 8213887.51 594.32 -51.239891 -16.155097 237.174 23518.309
474350.36 8213979.07 589.5 -51.239919 -16.15427 248.941 23518.417
474346.1 8214070.32 585.05 -51.239957 -16.153445 257.103 23518.524
474340.35 8214161.58 580.56 -51.24001 -16.15262 262.529 23518.63
474333.71 8214252.52 577.01 -51.240071 -16.151797 266.478 23518.737
474326.18 8214343.77 573.91 -51.240141 -16.150972 270.706 23518.843
474318.35 8214435.02 570.32 -51.240213 -16.150147 276.221 23518.949
474311.12 8214526.27 566.04 -51.24028 -16.149322 282.826 23519.056
474304.78 8214617.52 561.72 -51.240338 -16.148497 286.469 23519.163
474299.32 8214709.08 557.2 -51.240388 -16.14767 284.014 23519.27
474295.06 8214800.64 552.11 -51.240427 -16.146842 277.243 23519.377
474291.98 8214892.2 546.76 -51.240455 -16.146014 263.152 23519.485
474290.09 8214983.77 541.54 -51.240471 -16.145186 246.735 23519.593
474289.09 8215075.33 536.33 -51.24048 -16.144358 233.32 23519.701
474288.69 8215166.9 531.59 -51.240483 -16.143531 223.508 23519.81
474288.88 8215258.47 526.94 -51.24048 -16.142703 221.585 23519.918
474289.37 8215350.34 522.44 -51.240474 -16.141872 228.237 23520.027
474290.45 8215441.91 518.3 -51.240463 -16.141045 233.564 23520.136
474292.12 8215533.17 514.49 -51.240446 -16.14022 240.558 23520.245
474294.69 8215624.43 510.72 -51.240421 -16.139395 255.745 23520.353
474298.44 8215715.69 507.06 -51.240385 -16.13857 271.216 23520.462
474302.2 8215806.65 502.3 -51.240349 -16.137747 291.876 23520.571
474305.66 8215897.91 497.62 -51.240316 -16.136922 312.253 23520.68
474308.22 8215989.17 493.7 -51.240291 -16.136097 326.033 23520.789
474309.9 8216080.43 490.38 -51.240274 -16.135272 339.352 23520.897
474310.09 8216171.69 487.18 -51.240271 -16.134447 347.099 23521.006
474308.5 8216262.64 483.26 -51.240285 -16.133625 337.041 23521.113
474305.72 8216353.59 479.46 -51.24031 -16.132803 319.86 23521.221
474301.75 8216444.23 476.41 -51.240346 -16.131984 321.625 23521.327
474296.0 8216534.56 474.13 -51.240399 -16.131167 316.696 23521.433
474289.66 8216624.89 472.41 -51.240458 -16.13035 304.281 23521.539
474282.72 8216714.91 471.07 -51.240521 -16.129536 293.535 23521.644
474276.38 8216804.32 471.52 -51.24058 -16.128728 289.808 23521.749
474270.34 8216893.11 474.18 -51.240635 -16.127925 288.095 23521.853
474264.89 8216981.6 476.42 -51.240685 -16.127125 277.28 23521.957
