Y X GPSALT LONG LAT MAGIGRF IGRF
473777.41 8217052.62 474.0 -51.245244 -16.126478 224.751 23521.934
473777.42 8217044.32 473.74 -51.245244 -16.126553 226.835 23521.925
473777.13 8217036.02 473.49 -51.245246 -16.126628 228.959 23521.915
473777.14 8217028.04 473.23 -51.245246 -16.1267 231.107 23521.905
473777.15 8217019.74 472.97 -51.245246 -16.126775 233.269 23521.895
473777.16 8217011.44 472.71 -51.245246 -16.12685 235.414 23521.885
473777.17 8217003.45 472.45 -51.245246 -16.126922 237.508 23521.876
473777.18 8216995.16 472.2 -51.245246 -16.126997 239.526 23521.866
473777.19 8216986.86 471.94 -51.245246 -16.127072 241.44 23521.856
473777.2 8216978.57 471.68 -51.245246 -16.127147 243.234 23521.846
473777.21 8216970.27 471.52 -51.245246 -16.127222 244.89 23521.837
473777.22 8216962.28 471.37 -51.245246 -16.127295 246.4 23521.827
473777.23 8216953.98 471.21 -51.245246 -16.12737 247.762 23521.817
473777.24 8216945.69 471.05 -51.245246 -16.127445 248.982 23521.807
473777.25 8216937.39 470.9 -51.245246 -16.12752 250.06 23521.798
473777.26 8216929.1 470.74 -51.245246 -16.127595 251.016 23521.788
473777.27 8216920.8 470.58 -51.245246 -16.12767 251.867 23521.778
473777.28 8216912.81 470.42 -51.245246 -16.127742 252.648 23521.768
473777.29 8216904.51 470.27 -51.245246 -16.127817 253.395 23521.759
473777.3 8216896.22 470.11 -51.245246 -16.127892 254.139 23521.749
473777.31 8216887.92 469.89 -51.245246 -16.127967 254.905 23521.739
473777.32 8216879.62 469.68 -51.245246 -16.128042 255.719 23521.729
473777.62 8216871.33 469.46 -51.245244 -16.128117 256.581 23521.719
473777.63 8216863.34 469.25 -51.245244 -16.128189 257.489 23521.71
473777.64 8216855.04 469.03 -51.245244 -16.128264 258.441 23521.7
473777.65 8216846.75 468.82 -51.245244 -16.128339 259.415 23521.69
473777.66 8216838.45 468.6 -51.245244 -16.128414 260.381 23521.68
473777.67 8216830.16 468.39 -51.245244 -16.128489 261.308 23521.67
473777.68 8216821.86 468.17 -51.245244 -16.128564 262.155 23521.661
473777.69 8216813.56 467.96 -51.245244 -16.128639 262.879 23521.651
473777.7 8216805.27 467.86 -51.245244 -16.128714 263.442 23521.641
473777.71 8216797.28 467.75 -51.245244 -16.128786 263.825 23521.631
473777.72 8216788.98 467.65 -51.245244 -16.128861 264.031 23521.622
473777.73 8216780.69 467.54 -51.245244 -16.128936 264.075 23521.612
473777.74 8216772.39 467.44 -51.245244 -16.129011 263.989 23521.602
473777.75 8216764.09 467.34 -51.245244 -16.129086 263.815 23521.592
473777.76 8216755.8 467.23 -51.245244 -16.129161 263.593 23521.582
473777.77 8216747.5 467.13 -51.245244 -16.129236 263.376 23521.572
473777.78 8216739.51 467.02 -51.245244 -16.129309 263.198 23521.563
473777.79 8216731.21 466.92 -51.245244 -16.129384 263.111 23521.553
473777.8 8216722.92 466.91 -51.245244 -16.129459 263.14 23521.543
473777.51 8216714.62 466.9 -51.245246 -16.129534 263.312 23521.533
473777.52 8216706.33 466.89 -51.245246 -16.129609 263.632 23521.523
473777.53 8216698.03 466.88 -51.245246 -16.129684 264.095 23521.514
473777.54 8216689.73 466.87 -51.245246 -16.129759 264.682 23521.504
473777.55 8216681.44 466.86 -51.245246 -16.129834 265.366 23521.494
473777.56 8216673.14 466.85 -51.245246 -16.129909 266.117 23521.484
473777.57 8216664.84 466.84 -51.245246 -16.129984 266.902 23521.474
473777.28 8216656.55 466.83 -51.245249 -16.130059 267.675 23521.464
473777.29 8216648.25 466.82 -51.245249 -16.130134 268.399 23521.454
473777.3 8216639.96 466.9 -51.245249 -16.130209 269.023 23521.445
473777.61 8216631.66 466.97 -51.245246 -16.130284 269.505 23521.435
473777.62 8216623.67 467.05 -51.245246 -16.130356 269.809 23521.425
473777.63 8216615.37 467.12 -51.245246 -16.130431 269.902 23521.416
473777.64 8216607.08 467.2 -51.245246 -16.130506 269.785 23521.406
473777.65 8216598.78 467.28 -51.245246 -16.130581 269.473 23521.396
473777.66 8216590.49 467.35 -51.245246 -16.130656 268.993 23521.386
473777.67 8216582.19 467.43 -51.245246 -16.130731 268.383 23521.376
473777.68 8216573.89 467.5 -51.245246 -16.130806 267.69 23521.366
473777.69 8216565.6 467.58 -51.245246 -16.130881 266.967 23521.356
473778.0 8216557.3 467.81 -51.245244 -16.130956 266.276 23521.347
473778.3 8216549.01 468.04 -51.245241 -16.131031 265.675 23521.337
473778.61 8216540.71 468.27 -51.245238 -16.131106 265.226 23521.327
473778.62 8216532.41 468.5 -51.245238 -16.131181 264.972 23521.317
473778.93 8216524.42 468.72 -51.245235 -16.131253 264.937 23521.308
473779.23 8216516.13 468.95 -51.245232 -16.131328 265.127 23521.298
473779.54 8216507.83 469.18 -51.24523 -16.131403 265.53 23521.288
473779.55 8216499.54 469.41 -51.24523 -16.131478 266.124 23521.279
473779.86 8216491.24 469.64 -51.245227 -16.131553 266.869 23521.269
473780.16 8216482.94 469.87 -51.245224 -16.131628 267.744 23521.259
473780.47 8216474.65 470.1 -51.245221 -16.131703 268.707 23521.249
473780.78 8216466.35 470.33 -51.245219 -16.131778 269.72 23521.239
473781.08 8216458.06 470.55 -51.245216 -16.131853 270.754 23521.23
473781.39 8216450.07 470.78 -51.245213 -16.131925 271.786 23521.22
473781.7 8216441.77 471.01 -51.24521 -16.132 272.804 23521.21
473782.3 8216433.48 471.24 -51.245205 -16.132075 273.812 23521.201
473782.61 8216425.18 471.47 -51.245202 -16.13215 274.799 23521.191
473782.92 8216416.89 471.69 -51.245199 -16.132225 275.765 23521.181
473783.22 8216408.9 471.92 -51.245196 -16.132297 276.719 23521.172
473783.83 8216400.6 472.15 -51.245191 -16.132372 277.657 23521.162
473784.13 8216392.31 472.36 -51.245188 -16.132447 278.572 23521.152
473784.44 8216384.01 472.58 -51.245185 -16.132522 279.456 23521.143
473784.75 8216375.71 472.79 -51.245182 -16.132597 280.298 23521.133
473785.05 8216367.42 473.01 -51.24518 -16.132672 281.086 23521.123
473785.36 8216359.12 473.22 -51.245177 -16.132747 281.829 23521.113
473785.67 8216351.13 473.43 -51.245174 -16.13282 282.539 23521.104
473785.97 8216342.84 473.65 -51.245171 -16.132895 283.226 23521.094
473786.28 8216334.54 473.86 -51.245169 -16.13297 283.901 23521.084
473786.59 8216326.25 474.08 -51.245166 -16.133045 284.566 23521.074
473786.89 8216317.95 474.29 -51.245163 -16.13312 285.231 23521.065
473787.2 8216309.96 474.62 -51.24516 -16.133192 285.883 23521.055
473787.21 8216301.66 474.95 -51.24516 -16.133267 286.504 23521.045
473787.82 8216293.37 475.28 -51.245155 -16.133342 287.088 23521.036
473787.82 8216285.07 475.61 -51.245155 -16.133417 287.626 23521.026
473788.13 8216277.08 475.94 -51.245152 -16.133489 288.13 23521.016
473788.44 8216268.79 476.28 -51.245149 -16.133564 288.6 23521.007
473788.45 8216260.49 476.61 -51.245149 -16.133639 289.048 23520.997
473788.76 8216252.2 476.94 -51.245146 -16.133714 289.491 23520.987
473789.06 8216244.21 477.27 -51.245144 -16.133786 289.927 23520.978
473789.37 8216235.91 477.6 -51.245141 -16.133861 290.381 23520.968
473789.68 8216227.92 478.09 -51.245138 -16.133934 290.873 23520.958
473789.68 8216219.63 478.58 -51.245138 -16.134009 291.406 23520.949
473789.99 8216211.33 479.07 -51.245135 -16.134084 291.977 23520.939
473790.0 8216203.34 479.56 -51.245135 -16.134156 292.567 23520.929
473790.31 8216195.05 480.05 -51.245132 -16.134231 293.153 23520.92
473790.32 8216186.75 480.53 -51.245132 -16.134306 293.717 23520.91
473790.62 8216178.76 481.02 -51.24513 -16.134378 294.239 23520.9
473790.63 8216170.47 481.51 -51.24513 -16.134453 294.701 23520.891
473790.94 8216162.17 482.0 -51.245127 -16.134528 295.092 23520.881
473790.95 8216154.18 482.49 -51.245127 -16.1346 295.419 23520.871
473791.26 8216145.88 483.09 -51.245124 -16.134675 295.695 23520.862
473791.27 8216137.9 483.69 -51.245124 -16.134747 295.93 23520.852
473791.28 8216129.6 484.29 -51.245124 -16.134822 296.126 23520.842
473791.29 8216121.61 484.89 -51.245124 -16.134895 296.294 23520.833
473791.59 8216113.31 485.49 -51.245121 -16.13497 296.433 23520.823
473791.6 8216105.33 486.08 -51.245121 -16.135042 296.542 23520.813
473791.61 8216097.03 486.68 -51.245121 -16.135117 296.614 23520.804
473791.62 8216089.04 487.28 -51.245121 -16.135189 296.642 23520.794
473791.93 8216080.74 487.88 -51.245119 -16.135264 296.609 23520.784
473791.94 8216072.76 488.48 -51.245119 -16.135336 296.508 23520.775
473791.95 8216064.77 489.06 -51.245119 -16.135409 296.339 23520.765
473791.96 8216056.47 489.64 -51.245119 -16.135484 296.101 23520.756
473791.97 8216048.48 490.22 -51.245119 -16.135556 295.801 23520.746
473791.98 8216040.19 490.8 -51.245119 -16.135631 295.441 23520.736
473791.99 8216032.2 491.38 -51.245119 -16.135703 295.024 23520.727
