 GPSALT IGRF LAT LONG Line mag_res1 MAGIGRF X Y
40 519.65 23515.421000000002 -16.180517000000002 -51.221571000000004 22750 -144.34973025532366 -179.37599999999998 8211077.89 476314.99
41 519.18 23515.452999999998 -16.180272 -51.221565999999996 22750 -160.26653253780944 -188.803 8211104.93 476315.55
42 518.71 23515.485 -16.180028 -51.221558 22750 -176.4043322397451 -198.481 8211131.97 476316.41
43 518.24 23515.517000000003 -16.179783 -51.221552 22750 -191.98313443620452 -207.571 8211159.01 476316.98
44 518.42 23515.549 -16.179539000000002 -51.221546000000004 22750 -205.59493671869026 -214.69299999999998 8211186.05 476317.54
45 518.94 23515.581000000002 -16.179294 -51.221540999999995 22750 -215.68873891514968 -218.298 8211213.09 476318.11
46 519.45 23515.612999999998 -16.179053 -51.221538 22750 -221.80892009272213 -217.972 8211239.83 476318.38
47 520.28 23515.645 -16.178808 -51.221534999999996 22750 -225.11572495574345 -214.75900000000001 8211266.87 476318.64
48 521.74 23515.677000000003 -16.178567 -51.221534999999996 22750 -227.07248784102632 -210.243 8211293.6 476318.62
49 523.2 23515.708 -16.178325 -51.221534999999996 22750 -228.844250812548 -205.541 8211320.33 476318.59
50 524.66 23515.74 -16.178082999999997 -51.221534999999996 22750 -230.83401378385 -201.05700000000002 8211347.06 476318.56
51 526.92 23515.771 -16.177844 -51.221540999999995 22750 -233.07415823100703 -196.83700000000002 8211373.49 476317.94
52 529.18 23515.802000000003 -16.177606 -51.221546000000004 22750 -235.72988197737126 -193.03400000000002 8211399.91 476317.31
53 531.44 23515.833 -16.177367 -51.221552 22750 -239.1820264243027 -190.02599999999998 8211426.34 476316.69
54 533.88 23515.863999999998 -16.177131 -51.221558 22750 -243.4077056986173 -187.86900000000003 8211452.45 476316.07
55 536.42 23515.894 -16.176894 -51.221565999999996 22750 -248.0418083400682 -186.088 8211478.57 476315.15
56 538.96 23515.925 -16.176658 -51.221574 22750 -252.38291098153223 -184.014 8211504.69 476314.23
57 541.53 23515.956000000002 -16.176422 -51.221579999999996 22750 -255.7095902556212 -180.958 8211530.8 476313.61
58 544.17 23515.985 -16.176192 -51.221591 22750 -257.80502749192897 -176.75599999999997 8211556.31 476312.39
59 546.8 23516.016 -16.175957999999998 -51.221599 22750 -258.8730857473624 -171.484 8211582.12 476311.47
60 549.44 23516.046000000002 -16.175728 -51.221608 22750 -258.93409953051463 -165.28099999999998 8211607.62 476310.56
61 551.97 23516.075 -16.175497 -51.221619 22750 -258.2381159802288 -158.29 8211633.12 476309.34
62 554.5 23516.105 -16.175267 -51.221627000000005 22750 -256.9671298494133 -150.754 8211658.62 476308.42
63 557.03 23516.135 -16.175039 -51.221638 22750 -255.63352261367865 -143.19899999999998 8211683.82 476307.21
64 559.4 23516.165 -16.174808 -51.221649 22750 -254.83853906339868 -136.109 8211709.32 476305.99
