amf bx by bz x y z
68.88079704659943 -23.275185565425332 27.68712781057131 -58.61956066255465 6927431.0 677379.0 -1093.52
42.84729319125448 -16.885146435244636 18.548630873314732 -34.738028965431866 6927318.0 677384.0 -1102.83
26.28252547345543 -5.435605726529644 10.557838948414668 -23.44690539043244 6927207.0 677390.0 -1114.55
21.54800286032163 2.1373989554474235 4.481403316771541 -20.9681896520923 6927097.0 677394.0 -1128.94
20.929292828304753 4.813709934027969 -0.15061673487392113 -20.367641237098248 6926987.0 677393.0 -1143.5
19.684441526632238 5.50096403413351 -4.158522635681617 -18.437009583961736 6926879.0 677387.0 -1160.14
18.301097474394552 6.371109947948927 -7.7180512785498525 -15.32223258079944 6926772.0 677379.0 -1174.94
17.93970583511396 8.206196109719631 -10.714129583437753 -11.819425456787151 6926665.0 677372.0 -1186.87
88.33744656198441 -36.30762118128666 -6.427866336285163 -80.27417793793023 6924778.0 677340.0 -1257.96
67.47097934214509 -34.51641604160173 -12.315454843137424 -56.650504402325225 6924659.0 677345.0 -1254.7
51.16672805783726 -23.81169587761687 -17.854815959506684 -41.62022040581597 6924538.0 677348.0 -1248.69
46.17610946443622 -12.533224152884458 -22.57880680164387 -38.27987540495907 6924415.0 677350.0 -1242.17
49.68728473341906 -7.861606101119946 -26.677847390337032 -41.17418939467515 6924290.0 677351.0 -1237.05
52.87333816579376 -9.077049214649733 -30.628220885928958 -42.1320442384648 6924163.0 677352.0 -1231.89
53.06649544397545 -10.583730025173509 -34.666473184502095 -38.759169681610885 6924035.0 677353.0 -1226.77
52.478204920008764 -9.248793502813328 -38.4775907540123 -34.46587907098116 6923905.0 677354.0 -1223.34
53.12934833259184 -6.769496381213621 -41.49117226563499 -32.486677223348295 6923775.0 677355.0 -1218.88
54.43622781441907 -5.297689933246961 -43.51071495727419 -32.280877682326775 6923644.0 677357.0 -1211.4
55.166752840580145 -4.700074748403772 -44.69091034967676 -32.000038257011965 6923513.0 677358.0 -1201.92
55.25701237432814 -3.5625438411532606 -45.26359491189339 -31.493692599765637 6923382.0 677359.0 -1196.06
55.69043812642177 -1.7592284928711504 -45.534271993127206 -32.01499785848178 6923250.0 677360.0 -1194.99
56.93071891228392 -0.33527478917274145 -45.73628718096905 -33.89965164400887 6923120.0 677360.0 -1192.32
58.62375112869059 0.24962176437726669 -45.703703857740535 -36.71312216438903 6922989.0 677361.0 -1188.36
60.464607607913265 0.005325737592162483 -45.38756862237881 -39.94918471463837 6922859.0 677361.0 -1184.62
62.58414327250572 -1.18705766713056 -44.934743838637345 -43.54577682628331 6922729.0 677360.0 -1178.65
64.51589075055753 -3.7007409932716513 -44.230097560970606 -46.822036961089324 6922599.0 677360.0 -1172.55
65.36068302490577 -7.02546864651897 -43.19122434854449 -48.55079623500197 6922468.0 677360.0 -1168.73
65.05717734913375 -9.733241626674285 -41.90782144624113 -48.799947066604375 6922338.0 677361.0 -1166.06
64.60389800389494 -11.381404700344085 -40.62122166109531 -48.928964991146174 6922208.0 677363.0 -1162.37
64.81320510664683 -12.915108278495087 -39.667508278508635 -49.60282573932122 6922077.0 677363.0 -1156.71
65.07764830212005 -15.21813971904032 -38.993060948189154 -49.83020900936501 6921947.0 677362.0 -1150.85
64.21911998526863 -17.571543414619633 -38.5346212307568 -48.27441558747837 6921816.0 677358.0 -1144.91
62.043735964859025 -18.34301184191336 -38.11940761319333 -45.385789100375746 6921686.0 677351.0 -1138.23
59.41923582981921 -17.061700977111165 -37.3182963920105 -42.975442996732106 6921554.0 677345.0 -1132.84
57.73053036497161 -14.860159430164366 -36.14398554300356 -42.49237704574969 6921423.0 677341.0 -1126.71
57.32654946420831 -12.705835459221841 -34.675817768668225 -43.846125037791154 6921291.0 677337.0 -1118.5
58.065107527657155 -11.053995653017205 -32.697451036567 -46.69306787964106 6921159.0 677335.0 -1111.68
60.29286315669175 -10.373529917904396 -30.543868962716864 -50.93811238613266 6921026.0 677332.0 -1105.36
63.8620521961996 -11.599468635954285 -28.429336662489398 -55.99631108389615 6920893.0 677330.0 -1098.55
67.45022791679392 -15.077102039067302 -26.879242218738973 -59.997671437126286 6920762.0 677327.0 -1093.54
69.59671919939048 -20.23877091268611 -25.80857356544259 -61.38414295060049 6920630.0 677326.0 -1091.22
69.96841061133006 -25.76794405489926 -25.346448535147445 -59.90950750352058 6920500.0 677325.0 -1087.88
67.86526515877692 -30.320177204257067 -25.120622646029652 -55.27508830611972 6920370.0 677325.0 -1085.86
63.569997649508274 -32.32168999921785 -24.902397815570083 -48.74754906442003 6920241.0 677326.0 -1083.96
58.30568903861711 -31.174600224396265 -24.61990572520881 -42.679713180840594 6920112.0 677328.0 -1079.73
53.84736635721315 -27.72723288829151 -24.328477228217444 -39.22836493817301 6919983.0 677331.0 -1074.82
51.94368576421616 -24.272195705531516 -24.16614963745669 -39.051302386784265 6919854.0 677335.0 -1071.35
52.49486873766723 -22.75288564059773 -24.273025629482404 -40.60588215519132 6919726.0 677339.0 -1070.25
53.68319643735646 -23.17635951219072 -24.42901996366558 -41.808670429808174 6919599.0 677343.0 -1071.45
54.25985978156873 -24.338134858313385 -24.24807127492175 -41.99784059425396 6919473.0 677347.0 -1072.5
53.93538929220253 -25.28020890225212 -23.436810081419225 -41.48075685384024 6919347.0 677352.0 -1073.7
53.052571076940914 -25.656868487322757 -22.20451091545628 -40.783085860482345 6919221.0 677357.0 -1075.0
52.04298713757382 -25.471724940915912 -20.741743446162005 -40.36636988322819 6919096.0 677363.0 -1076.66
51.53856516185509 -24.985408745673546 -19.245203633823756 -40.76242369937121 6918971.0 677368.0 -1078.4
52.15513075141128 -25.04730703289287 -17.530607695611728 -42.25479698116369 6918847.0 677373.0 -1080.96
53.860971297997025 -26.63846992583349 -15.612183142952734 -44.1322544935677 6918724.0 677377.0 -1084.31
55.557363562209076 -29.83620282019108 -13.583292475373892 -44.854384543591166 6918602.0 677380.0 -1089.14
56.21840452615682 -33.62152433953485 -11.480033151775054 -43.56961036533171 6918481.0 677384.0 -1094.94
55.66204812484422 -36.862120075784304 -9.887690981559818 -40.51766617198126 6918361.0 677384.0 -1102.54
54.45450990825576 -39.38712945192696 -8.663508088280144 -36.590863757088016 6918243.0 677383.0 -1111.35
53.39178543887231 -41.72047877122837 -7.843846472322663 -32.3814526537753 6918124.0 677380.0 -1116.92
52.51436233817177 -44.0476771803711 -7.242206079715616 -27.660636975629085 6918006.0 677378.0 -1118.34
