 GPSALT IGRF LAT mag_res1 mag_res2 LONG Line MAGIGRF MDT X Y
0 1093.52 22762.346 -27.7659 5.131094783367537 9.944356995493202 -49.199996 12050 -45.94 915.31 6927431.0 677379.0
1 1102.83 22762.357999999997 -27.766919 7.66981661331841 12.39541262606884 -49.19992 12050 -43.445 922.99 6927318.0 677384.0
2 1114.55 22762.371 -27.767925 9.843921406516998 14.483591999380003 -49.199843 12050 -41.313 931.56 6927207.0 677390.0
3 1128.94 22762.382999999998 -27.768919 11.295154297052981 15.849335394663399 -49.199793 12050 -39.905 942.37 6927097.0 677394.0
4 1143.5 22762.392000000003 -27.769904999999998 13.444260419016473 17.9120830911556 -49.199783000000004 12050 -37.803000000000004 965.2 6926987.0 677393.0
5 1160.14 22762.397999999997 -27.770878999999997 15.62839738194046 20.010559691833976 -49.199831 12050 -35.669000000000004 1009.65 6926879.0 677387.0
6 1174.94 22762.403 -27.771848 17.292662442202065 21.58960031448452 -49.199894 12050 -34.056 1038.12 6926772.0 677379.0
7 1186.87 22762.409 -27.772817 17.38315285617807 21.595040076893234 -49.199948 12050 -34.016 1061.76 6926665.0 677372.0
8 1257.96 22762.557999999997 -27.789848 8.51173694280758 11.239604695580852 -49.199998 12050 -43.707 1075.58 6924778.0 677340.0
9 1254.7 22762.572 -27.790921 14.41898594415909 17.054486517224767 -49.199929 12050 -37.846 1074.35 6924659.0 677345.0
10 1248.69 22762.584 -27.792011 18.38462662854846 20.925845456374923 -49.199877 12050 -33.929 1078.75 6924538.0 677348.0
11 1242.17 22762.596 -27.793120000000002 19.748884349690123 22.19408065278961 -49.199839000000004 12050 -32.615 1074.33 6924415.0 677350.0
12 1237.05 22762.607999999997 -27.794248 21.171759107584172 23.51919210646883 -49.199808000000004 12050 -31.244 1073.56 6924290.0 677351.0
13 1231.89 22762.62 -27.795391 22.69747625594514 24.945578957170753 -49.19978 12050 -29.771 1051.26 6924163.0 677352.0
14 1226.77 22762.632 -27.796547999999998 23.530614599539454 25.67860350638405 -49.199754 12050 -28.991 1037.29 6924035.0 677353.0
15 1223.34 22762.644 -27.797718 24.633595333600677 26.67990345262005 -49.199721000000004 12050 -27.941999999999997 1029.77 6923905.0 677354.0
16 1218.88 22762.656000000003 -27.798895 24.5055760676619 26.450203398856097 -49.199692999999996 12050 -28.124000000000002 1020.27 6923775.0 677355.0
17 1211.4 22762.668999999998 -27.800074 24.400203350671106 26.242540183361704 -49.199655 12050 -28.283 1001.12 6923644.0 677357.0
18 1201.92 22762.682 -27.801257 25.306605279965787 27.046477828109083 -49.199626 12050 -27.430999999999997 978.12 6923513.0 677358.0
19 1196.06 22762.694 -27.802443 27.21500720926047 28.852415472856514 -49.199594 12050 -25.576999999999998 967.3 6923382.0 677359.0
20 1194.99 22762.707000000002 -27.803628000000003 28.737830333788494 30.271990816115263 -49.199565 12050 -24.109 962.64 6923250.0 677360.0
21 1192.32 22762.718999999997 -27.804808 30.7635857141352 32.19589162259304 -49.19954 12050 -22.138 954.39 6923120.0 677360.0
22 1188.36 22762.731 -27.805984000000002 32.82998764342988 34.15982926734047 -49.199518 12050 -20.125999999999998 960.51 6922989.0 677361.0
23 1184.62 22762.743 -27.807158 34.10674302377659 35.334730073818235 -49.199498999999996 12050 -18.904 955.01 6922859.0 677361.0
24 1178.65 22762.754 -27.808331 35.58927305040878 36.715231740537845 -49.199484999999996 12050 -17.477 949.01 6922729.0 677360.0
25 1172.55 22762.766 -27.809506 35.96502843075548 36.989132547015615 -49.19947 12050 -17.156 943.86 6922599.0 677360.0
26 1168.73 22762.778 -27.810684000000002 34.11820500633564 35.03967105200482 -49.199443 12050 -19.058 941.01 6922468.0 677360.0
27 1166.06 22762.791 -27.811860999999997 31.280185740396863 32.09997099824082 -49.199413 12050 -21.95 947.18 6922338.0 677361.0
28 1162.37 22762.803 -27.813036999999998 29.45439182817261 30.1726700842351 -49.199382 12050 -23.829 942.0 6922208.0 677363.0
29 1156.71 22762.816000000003 -27.814213 29.364568403752774 29.98020858922425 -49.199353 12050 -23.974 948.49 6922077.0 677363.0
30 1150.85 22762.827 -27.81539 28.414098430384957 28.927710255943854 -49.199345 12050 -24.98 952.26 6921947.0 677362.0
31 1144.91 22762.837000000003 -27.816568 23.549373591107038 23.959652201900095 -49.199369 12050 -29.903000000000002 961.57 6921816.0 677358.0
32 1138.23 22762.845 -27.817749 21.483551495452105 21.790759030070276 -49.199416 12050 -32.029 955.79 6921686.0 677351.0
33 1132.84 22762.854 -27.818932 22.125797143978613 22.32854039502151 -49.199458 12050 -31.447 934.39 6921554.0 677345.0
34 1126.71 22762.863999999998 -27.820119000000002 22.776072304700694 22.87548234097775 -49.199487 12050 -30.855 916.98 6921423.0 677341.0
35 1118.5 22762.874 -27.821309999999997 23.92976866065612 23.92506198544537 -49.199501 12050 -29.76 911.5 6921291.0 677337.0
36 1111.68 22762.885 -27.822506 27.084915724040705 26.976439909429452 -49.199508 12050 -26.662 895.94 6921159.0 677335.0
37 1105.36 22762.896 -27.823703000000002 29.99425862894411 29.781056392166676 -49.199512 12050 -23.811 855.92 6921026.0 677332.0
38 1098.55 22762.907000000003 -27.824897999999997 30.949826887562143 30.632072014662132 -49.19952 12050 -22.913 827.06 6920893.0 677330.0
39 1093.54 22762.917999999998 -27.826089 30.73332740199875 30.31241310037666 -49.199523 12050 -23.186999999999998 814.94 6920762.0 677327.0
40 1091.22 22762.93 -27.827272999999998 27.166699819097733 26.64219016411896 -49.199521000000004 12050 -26.81 813.4 6920630.0 677326.0
