Y X MAGIGRF
670987 6911130 -42.259114703044
671111.74380165 6911130 -57.003511329865
671236.48760331 6911130 -68.722928047792
671361.23140496 6911130 -71.937454936094
671485.97520661 6911130 -81.133690369479
671610.71900826 6911130 -80.941345931304
671735.46280992 6911130 -76.635715441141
671860.20661157 6911130 -68.228214615329
671984.95041322 6911130 -75.083252052495
672109.69421488 6911130 -78.243116850763
672234.43801653 6911130 -78.969154080502
672359.18181818 6911130 -73.592120586239
672483.92561983 6911130 -83.148705705976
672608.66942149 6911130 -86.168295264675
672733.41322314 6911130 -85.414567815239
672858.15702479 6911130 -77.5312395708
672982.90082645 6911130 -86.561826386692
673107.6446281 6911130 -88.345959968344
673232.38842975 6911130 -86.292613265491
673357.13223141 6911130 -77.392518595741
673481.87603306 6911130 -86.055839468068
673606.61983471 6911130 -87.951253106208
673731.36363636 6911130 -86.387807291388
673856.10743802 6911130 -77.984759198053
673980.85123967 6911130 -87.422568311943
674105.59504132 6911130 -89.868474756838
674230.33884298 6911130 -88.498316736831
674355.08264463 6911130 -79.829677430267
674479.82644628 6911130 -90.222235935623
674604.57024793 6911130 -93.063184744762
674729.31404959 6911130 -91.607163161667
674854.05785124 6911130 -81.876465500411
674978.80165289 6911130 -91.736931385887
675103.54545455 6911130 -93.295109120076
675228.2892562 6911130 -90.661222216988
675353.03305785 6911130 -80.191371048138
675477.7768595 6911130 -89.081100776963
675602.52066116 6911130 -90.104639009062
675727.26446281 6911130 -87.247668048365
675852.00826446 6911130 -78.0072347044
675976.75206612 6911130 -89.873612943282
676101.49586777 6911130 -94.992785577592
676226.23966942 6911130 -95.730498365373
676350.98347107 6911130 -88.135769276517
676475.72727273 6911130 -106.86073885328
676600.47107438 6911130 -116.39704713082
676725.21487603 6911130 -118.83597539825
676849.95867769 6911130 -105.81623469783
676974.70247934 6911130 -120.41374199389
677099.44628099 6911130 -120.05424442776
677224.19008264 6911130 -113.24082701662
677348.9338843 6911130 -96.735300027942
677473.67768595 6911130 -109.99035807371
677598.4214876 6911130 -113.65161931594
677723.16528926 6911130 -111.69281779139
677847.90909091 6911130 -97.642115941087
677972.65289256 6911130 -107.45319400797
678097.39669421 6911130 -105.25432212041
678222.14049587 6911130 -98.195286672471
678346.88429752 6911130 -84.011710854155
678471.62809917 6911130 -92.299770090542
678596.37190083 6911130 -93.833079121562
678721.11570248 6911130 -91.828177489178
678845.85950413 6911130 -82.240194933571
678970.60330579 6911130 -92.419338487894
679095.34710744 6911130 -94.505385707454
