GPSALT IGRF LAT LONG Line MAGIGRF X Y
944.43 22765.827 -27.796047 -49.139069 12170 -21.39 6924002.0 683333.0
943.77 22765.827 -27.796122 -49.139069 12170 -21.295 6923993.0 683333.0
943.12 22765.828 -27.796197 -49.139067 12170 -21.21 6923985.0 683333.0
942.47 22765.829 -27.796275 -49.139064 12170 -21.134 6923976.0 683333.0
941.81 22765.83 -27.79635 -49.139064 12170 -21.064 6923968.0 683333.0
941.16 22765.831 -27.796425 -49.139061 12170 -20.998 6923960.0 683333.0
940.5 22765.831 -27.796503 -49.139061 12170 -20.934 6923951.0 683333.0
939.85 22765.832 -27.796578 -49.139058 12170 -20.87 6923943.0 683333.0
939.19 22765.833 -27.796653 -49.139056 12170 -20.803 6923934.0 683333.0
938.59 22765.834 -27.796731 -49.139056 12170 -20.734 6923926.0 683333.0
937.99 22765.834 -27.796806 -49.139053 12170 -20.661 6923917.0 683333.0
937.39 22765.835 -27.796881 -49.139053 12170 -20.583 6923909.0 683333.0
936.79 22765.836 -27.796958 -49.13905 12170 -20.502 6923901.0 683333.0
936.19 22765.837 -27.797033 -49.13905 12170 -20.416 6923892.0 683333.0
935.59 22765.837 -27.797111 -49.13905 12170 -20.326 6923884.0 683333.0
934.99 22765.838 -27.797186 -49.139047 12170 -20.234 6923875.0 683333.0
934.39 22765.839 -27.797261 -49.139047 12170 -20.141 6923867.0 683333.0
933.79 22765.84 -27.797339 -49.139044 12170 -20.044 6923858.0 683333.0
933.19 22765.84 -27.797414 -49.139044 12170 -19.942 6923850.0 683333.0
932.65 22765.841 -27.797489 -49.139042 12170 -19.835 6923842.0 683333.0
932.1 22765.842 -27.797567 -49.139042 12170 -19.724 6923833.0 683333.0
931.56 22765.843 -27.797642 -49.139039 12170 -19.61 6923825.0 683333.0
931.01 22765.843 -27.797719 -49.139039 12170 -19.493 6923816.0 683333.0
930.47 22765.844 -27.797794 -49.139036 12170 -19.376 6923808.0 683333.0
929.93 22765.845 -27.797869 -49.139036 12170 -19.259 6923799.0 683333.0
929.38 22765.846 -27.797947 -49.139033 12170 -19.144 6923791.0 683333.0
928.84 22765.846 -27.798022 -49.139033 12170 -19.03 6923783.0 683333.0
928.29 22765.847 -27.7981 -49.139031 12170 -18.919 6923774.0 683333.0
927.75 22765.848 -27.798175 -49.139031 12170 -18.81 6923766.0 683333.0
927.18 22765.849 -27.79825 -49.139031 12170 -18.694 6923757.0 683333.0
926.6 22765.849 -27.798328 -49.139028 12170 -18.581 6923749.0 683333.0
926.03 22765.85 -27.798403 -49.139028 12170 -18.472 6923740.0 683333.0
925.45 22765.851 -27.798481 -49.139028 12170 -18.367 6923732.0 683333.0
924.88 22765.852 -27.798556 -49.139025 12170 -18.264 6923723.0 683333.0
924.31 22765.852 -27.798633 -49.139025 12170 -18.165 6923715.0 683333.0
923.73 22765.853 -27.798708 -49.139025 12170 -18.068 6923707.0 683333.0
923.16 22765.854 -27.798783 -49.139022 12170 -17.974 6923698.0 683333.0
922.58 22765.855 -27.798861 -49.139022 12170 -17.88 6923690.0 683333.0
922.01 22765.855 -27.798936 -49.139022 12170 -17.787 6923681.0 683333.0
921.43 22765.856 -27.799014 -49.139022 12170 -17.7 6923673.0 683333.0
920.84 22765.857 -27.799089 -49.139019 12170 -17.616 6923664.0 683333.0
920.26 22765.857 -27.799167 -49.139019 12170 -17.535 6923656.0 683333.0
919.67 22765.858 -27.799242 -49.139019 12170 -17.457 6923647.0 683333.0
919.09 22765.859 -27.799317 -49.139019 12170 -17.381 6923639.0 683333.0
918.51 22765.86 -27.799394 -49.139017 12170 -17.303 6923631.0 683333.0
917.92 22765.86 -27.799469 -49.139017 12170 -17.224 6923622.0 683332.0
917.34 22765.861 -27.799547 -49.139017 12170 -17.14 6923614.0 683332.0
916.75 22765.862 -27.799622 -49.139017 12170 -17.048 6923605.0 683332.0
916.17 22765.863 -27.7997 -49.139014 12170 -16.949 6923597.0 683332.0
915.6 22765.863 -27.799775 -49.139014 12170 -16.844 6923588.0 683332.0
915.04 22765.864 -27.79985 -49.139014 12170 -16.733 6923580.0 683332.0
914.47 22765.865 -27.799928 -49.139011 12170 -16.618 6923571.0 683332.0
913.91 22765.865 -27.800003 -49.139011 12170 -16.501 6923563.0 683332.0
913.34 22765.866 -27.800081 -49.139011 12170 -16.383 6923555.0 683332.0
912.77 22765.867 -27.800156 -49.139008 12170 -16.266 6923546.0 683332.0
912.21 22765.868 -27.800233 -49.139008 12170 -16.149 6923538.0 683332.0
911.64 22765.868 -27.800308 -49.139008 12170 -16.034 6923529.0 683332.0
911.08 22765.869 -27.800386 -49.139006 12170 -15.921 6923521.0 683332.0
910.51 22765.87 -27.800461 -49.139006 12170 -15.811 6923512.0 683332.0
909.94 22765.871 -27.800539 -49.139006 12170 -15.722 6923504.0 683332.0
909.37 22765.871 -27.800614 -49.139003 12170 -15.639 6923495.0 683332.0
908.8 22765.872 -27.800692 -49.139003 12170 -15.56 6923487.0 683332.0
908.23 22765.873 -27.800767 -49.139003 12170 -15.485 6923478.0 683332.0
907.66 22765.874 -27.800842 -49.139 12170 -15.41 6923470.0 683332.0
907.1 22765.874 -27.800919 -49.139 12170 -15.334 6923462.0 683332.0
906.53 22765.875 -27.800994 -49.139 12170 -15.256 6923453.0 683332.0
905.96 22765.876 -27.801072 -49.138997 12170 -15.176 6923445.0 683332.0
905.39 22765.877 -27.801147 -49.138997 12170 -15.093 6923436.0 683332.0
904.82 22765.877 -27.801225 -49.138994 12170 -15.008 6923428.0 683332.0
904.25 22765.878 -27.8013 -49.138994 12170 -14.9 6923419.0 683332.0
903.67 22765.879 -27.801378 -49.138994 12170 -14.794 6923411.0 683332.0
903.1 22765.88 -27.801453 -49.138992 12170 -14.692 6923402.0 683332.0
902.53 22765.88 -27.801531 -49.138992 12170 -14.598 6923394.0 683332.0
901.96 22765.881 -27.801606 -49.138989 12170 -14.514 6923385.0 683332.0
901.38 22765.882 -27.801683 -49.138989 12170 -14.443 6923377.0 683332.0
900.81 22765.883 -27.801758 -49.138986 12170 -14.383 6923369.0 683332.0
900.24 22765.883 -27.801836 -49.138986 12170 -14.334 6923360.0 683332.0
