ALTURA GPSALT LAT LONG Line MAGIGRF X Y
176.24 592.25 -16.154767 -51.239902 22710 242.265 8213924.07 474352.21
176.04 591.79 -16.154683 -51.239905 22710 243.464 8213933.29 474351.9
175.84 591.33 -16.154603 -51.239907 22710 244.634 8213942.2 474351.6
175.64 590.87 -16.15452 -51.23991 22710 245.768 8213951.42 474351.29
175.38 590.42 -16.154436 -51.239913 22710 246.867 8213960.63 474350.98
175.18 589.96 -16.154353 -51.239916 22710 247.923 8213969.85 474350.67
174.98 589.5 -16.15427 -51.239919 22710 248.941 8213979.07 474350.36
174.78 589.05 -16.154189 -51.239921 22710 249.92 8213987.98 474350.06
174.58 588.59 -16.154106 -51.239924 22710 250.862 8213997.2 474349.75
174.39 588.15 -16.154022 -51.239927 22710 251.757 8214006.42 474349.44
174.19 587.7 -16.153942 -51.239932 22710 252.611 8214015.33 474348.84
173.99 587.26 -16.153858 -51.239935 22710 253.439 8214024.54 474348.53
173.79 586.82 -16.153775 -51.239941 22710 254.23 8214033.76 474347.92
173.59 586.38 -16.153692 -51.239944 22710 254.992 8214042.98 474347.62
173.39 585.93 -16.153611 -51.239949 22710 255.724 8214051.89 474347.01
173.2 585.49 -16.153528 -51.239952 22710 256.427 8214061.11 474346.7
173.0 585.05 -16.153445 -51.239957 22710 257.103 8214070.32 474346.1
172.8 584.6 -16.153364 -51.23996 22710 257.756 8214079.23 474345.79
172.6 584.16 -16.153281 -51.239966 22710 258.38 8214088.45 474345.19
172.2 583.71 -16.153197 -51.239971 22710 258.981 8214097.67 474344.58
171.81 583.26 -16.153117 -51.239977 22710 259.563 8214106.58 474343.98
171.41 582.81 -16.153033 -51.239982 22710 260.123 8214115.8 474343.37
171.01 582.36 -16.15295 -51.239988 22710 260.657 8214125.01 474342.77
170.62 581.91 -16.152867 -51.239994 22710 261.146 8214134.23 474342.17
170.15 581.46 -16.152786 -51.239999 22710 261.622 8214143.14 474341.56
111.25 454.5 -16.120025 -51.235705 22720 262.956 8217767.59 474796.53
110.67 454.17 -16.120103 -51.235705 22720 263.69 8217758.99 474796.54
110.09 453.84 -16.120178 -51.235708 22720 264.352 8217750.69 474796.25
109.51 453.5 -16.120256 -51.235708 22720 264.946 8217742.09 474796.26
108.93 453.17 -16.120334 -51.235708 22720 265.459 8217733.48 474796.27
108.35 452.84 -16.120409 -51.235708 22720 265.892 8217725.19 474796.28
107.78 452.51 -16.120486 -51.235708 22720 266.241 8217716.58 474796.29
107.2 452.18 -16.120564 -51.235708 22720 266.511 8217707.98 474796.3
106.62 451.84 -16.120639 -51.235708 22720 266.704 8217699.68 474796.31
106.04 451.51 -16.120717 -51.23571 22720 266.83 8217691.08 474796.02
105.46 451.18 -16.120792 -51.23571 22720 266.89 8217682.78 474796.03
105.12 450.92 -16.12087 -51.23571 22720 266.895 8217674.18 474796.04
104.79 450.65 -16.120947 -51.23571 22720 266.846 8217665.58 474796.05
104.45 450.39 -16.121022 -51.23571 22720 266.749 8217657.28 474796.06
104.12 450.13 -16.1211 -51.235713 22720 266.612 8217648.68 474795.77
103.78 449.87 -16.121178 -51.235713 22720 266.453 8217640.07 474795.78
103.45 449.6 -16.121253 -51.235713 22720 266.295 8217631.78 474795.79
103.11 449.34 -16.121331 -51.235713 22720 266.162 8217623.17 474795.8
102.78 449.08 -16.121406 -51.235716 22720 266.078 8217614.88 474795.52
102.44 448.81 -16.121484 -51.235716 22720 266.073 8217606.27 474795.53
102.11 448.55 -16.121561 -51.235716 22720 266.185 8217597.67 474795.54
102.6 448.42 -16.121639 -51.235716 22720 266.441 8217589.07 474795.55
103.08 448.3 -16.121714 -51.235719 22720 266.869 8217580.77 474795.26
103.57 448.17 -16.121792 -51.235719 22720 267.491 8217572.17 474795.27
104.06 448.05 -16.121867 -51.235719 22720 268.312 8217563.87 474795.28
104.55 447.92 -16.121945 -51.235721 22720 269.338 8217555.27 474794.99
105.03 447.8 -16.122022 -51.235721 22720 270.563 8217546.66 474795.0
105.52 447.67 -16.122097 -51.235721 22720 271.958 8217538.37 474795.01
106.01 447.55 -16.122175 -51.235721 22720 273.501 8217529.76 474795.02
106.49 447.42 -16.122253 -51.235724 22720 275.151 8217521.16 474794.73
106.98 447.3 -16.122328 -51.235724 22720 276.874 8217512.86 474794.74
106.61 447.33 -16.122406 -51.235724 22720 278.634 8217504.26 474794.75
106.25 447.36 -16.122484 -51.235727 22720 280.389 8217495.66 474794.46
105.88 447.38 -16.122559 -51.235727 22720 282.106 8217487.36 474794.47
105.52 447.41 -16.122636 -51.235727 22720 283.752 8217478.76 474794.48
105.15 447.44 -16.122714 -51.23573 22720 285.298 8217470.15 474794.2
104.79 447.47 -16.122789 -51.23573 22720 286.737 8217461.86 474794.21
104.42 447.5 -16.122867 -51.23573 22720 288.066 8217453.25 474794.22
104.06 447.52 -16.122945 -51.235733 22720 289.278 8217444.65 474793.93
103.69 447.55 -16.12302 -51.235733 22720 290.372 8217436.35 474793.94
103.33 447.58 -16.123097 -51.235735 22720 291.348 8217427.75 474793.65
102.87 447.66 -16.123175 -51.235735 22720 292.22 8217419.15 474793.66
102.42 447.73 -16.12325 -51.235735 22720 292.993 8217410.85 474793.67
101.96 447.81 -16.123328 -51.235738 22720 293.697 8217402.25 474793.38
101.5 447.88 -16.123406 -51.235738 22720 294.34 8217393.64 474793.39
101.04 447.96 -16.123481 -51.235741 22720 294.92 8217385.35 474793.11
100.59 448.03 -16.123559 -51.235741 22720 295.458 8217376.74 474793.12
100.13 448.11 -16.123634 -51.235741 22720 295.958 8217368.45 474793.13
99.67 448.18 -16.123711 -51.235744 22720 296.423 8217359.84 474792.84
99.22 448.26 -16.123789 -51.235744 22720 296.865 8217351.24 474792.85
98.76 448.33 -16.123864 -51.235746 22720 297.296 8217342.94 474792.56
98.64 448.46 -16.123942 -51.235746 22720 297.739 8217334.34 474792.57
98.52 448.6 -16.124017 -51.235749 22720 298.199 8217326.04 474792.28
98.39 448.73 -16.124095 -51.235749 22720 298.702 8217317.44 474792.29
98.27 448.87 -16.12417 -51.235749 22720 299.25 8217309.14 474792.3
98.15 449.0 -16.124247 -51.235752 22720 299.864 8217300.54 474792.01
98.03 449.13 -16.124325 -51.235752 22720 300.545 8217291.94 474792.02
97.91 449.27 -16.1244 -51.235755 22720 301.301 8217283.64 474791.74
97.78 449.4 -16.124478 -51.235755 22720 302.144 8217275.03 474791.75
97.66 449.54 -16.124553 -51.235758 22720 303.057 8217266.74 474791.46
97.54 449.67 -16.124631 -51.235758 22720 304.035 8217258.13 474791.47
97.51 449.86 -16.124706 -51.23576 22720 305.063 8217249.84 474791.18
97.48 450.05 -16.124784 -51.23576 22720 306.143 8217241.23 474791.19
97.45 450.23 -16.124859 -51.235763 22720 307.258 8217232.94 474790.9
97.42 450.42 -16.124936 -51.235763 22720 308.404 8217224.33 474790.91
97.39 450.61 -16.125014 -51.235763 22720 309.571 8217215.73 474790.92
97.35 450.8 -16.125089 -51.235766 22720 310.751 8217207.43 474790.64
97.32 450.99 -16.125167 -51.235766 22720 311.952 8217198.83 474790.65
97.29 451.17 -16.125242 -51.235769 22720 313.155 8217190.53 474790.36
97.26 451.36 -16.12532 -51.235771 22720 314.35 8217181.93 474790.07
97.23 451.55 -16.125395 -51.235771 22720 315.514 8217173.63 474790.08
97.44 451.78 -16.12547 -51.235771 22720 316.61 8217165.34 474790.09
97.66 452.01 -16.125547 -51.235774 22720 317.6 8217156.73 474789.8
97.87 452.23 -16.125622 -51.235774 22720 318.43 8217148.44 474789.81
98.08 452.46 -16.1257 -51.235774 22720 319.046 8217139.83 474789.82
98.29 452.69 -16.125778 -51.235774 22720 319.395 8217131.23 474789.83
98.51 452.92 -16.125853 -51.235777 22720 319.419 8217122.93 474789.54
98.72 453.15 -16.125928 -51.235777 22720 319.092 8217114.64 474789.55
98.93 453.37 -16.126006 -51.235777 22720 318.407 8217106.04 474789.56
99.15 453.6 -16.126081 -51.23578 22720 317.367 8217097.74 474789.28
99.36 453.83 -16.126159 -51.23578 22720 316.038 8217089.14 474789.29
99.85 454.07 -16.126234 -51.23578 22720 314.49 8217080.84 474789.3
100.34 454.32 -16.126309 -51.23578 22720 312.827 8217072.54 474789.31
100.82 454.56 -16.126386 -51.23578 22720 311.165 8217063.94 474789.32
101.31 454.8 -16.126461 -51.235783 22720 309.606 8217055.64 474789.03
101.8 455.04 -16.126539 -51.235783 22720 308.261 8217047.04 474789.04
102.29 455.29 -16.126614 -51.235783 22720 307.202 8217038.74 474789.05
102.78 455.53 -16.126689 -51.235783 22720 306.486 8217030.45 474789.06
103.26 455.77 -16.126767 -51.235783 22720 306.132 8217021.84 474789.07
103.75 456.02 -16.126842 -51.235785 22720 306.126 8217013.55 474788.78
104.24 456.26 -16.126917 -51.235785 22720 306.431 8217005.25 474788.79
104.58 456.43 -16.126995 -51.235783 22720 306.987 8216996.65 474789.1
104.91 456.59 -16.12707 -51.235783 22720 307.708 8216988.35 474789.11
105.25 456.76 -16.127145 -51.235783 22720 308.54 8216980.05 474789.11
105.58 456.92 -16.127222 -51.235783 22720 309.435 8216971.45 474789.12
105.92 457.09 -16.127297 -51.23578 22720 310.347 8216963.16 474789.43
106.25 457.26 -16.127372 -51.23578 22720 311.252 8216954.86 474789.44
106.59 457.42 -16.127447 -51.23578 22720 312.147 8216946.56 474789.45
106.92 457.59 -16.127525 -51.23578 22720 313.045 8216937.96 474789.46
107.26 457.75 -16.1276 -51.23578 22720 313.954 8216929.66 474789.47
107.59 457.92 -16.127678 -51.23578 22720 314.885 8216921.06 474789.48
107.38 457.99 -16.127753 -51.235777 22720 315.853 8216912.76 474789.79
107.16 458.05 -16.127828 -51.235774 22720 316.878 8216904.47 474790.09
106.95 458.12 -16.127903 -51.235774 22720 317.97 8216896.17 474790.1
106.74 458.19 -16.127981 -51.235771 22720 319.136 8216887.57 474790.41
106.53 458.25 -16.128056 -51.235771 22720 320.354 8216879.27 474790.42
106.31 458.32 -16.128131 -51.235769 22720 321.604 8216870.98 474790.72
106.1 458.39 -16.128209 -51.235766 22720 322.857 8216862.37 474791.03
105.89 458.46 -16.128284 -51.235766 22720 324.099 8216854.08 474791.04
105.67 458.52 -16.128359 -51.235763 22720 325.315 8216845.78 474791.35
105.46 458.59 -16.128434 -51.23576 22720 326.498 8216837.49 474791.65
105.03 458.7 -16.128511 -51.235758 22720 327.649 8216828.88 474791.96
104.61 458.81 -16.128586 -51.235755 22720 328.764 8216820.59 474792.27
104.18 458.92 -16.128661 -51.235752 22720 329.839 8216812.29 474792.57
103.75 459.03 -16.128739 -51.235749 22720 330.883 8216803.69 474792.88
103.32 459.14 -16.128814 -51.235746 22720 331.897 8216795.39 474793.19
102.9 459.25 -16.128889 -51.235746 22720 332.891 8216787.09 474793.2
102.47 459.36 -16.128967 -51.235741 22720 333.883 8216778.49 474793.8
102.04 459.47 -16.129042 -51.235738 22720 334.87 8216770.2 474794.11
101.62 459.58 -16.129117 -51.235738 22720 335.856 8216761.9 474794.12
101.19 459.69 -16.129192 -51.235735 22720 336.846 8216753.6 474794.42
100.92 459.83 -16.12927 -51.23573 22720 337.832 8216745.0 474795.03
100.64 459.97 -16.129345 -51.235727 22720 338.808 8216736.71 474795.33
100.37 460.1 -16.12942 -51.235724 22720 339.777 8216728.41 474795.64
100.09 460.24 -16.129495 -51.235721 22720 340.732 8216720.11 474795.95
99.82 460.38 -16.12957 -51.235719 22720 341.669 8216711.82 474796.25
99.55 460.52 -16.129647 -51.235716 22720 342.587 8216703.21 474796.56
99.27 460.66 -16.129722 -51.235713 22720 343.471 8216694.92 474796.87
99.0 460.79 -16.129797 -51.23571 22720 344.319 8216686.62 474797.17
98.72 460.93 -16.129872 -51.235708 22720 345.13 8216678.33 474797.48
98.45 461.07 -16.12995 -51.235705 22720 345.906 8216669.72 474797.79
98.39 461.21 -16.130025 -51.235702 22720 346.645 8216661.43 474798.09
