GPSALT IGRF LAT LONG Line MAGIGRF MDT X Y
1053.32 22763.304 -27.86099 -49.19863 12050 -86.819 765.12 6916893.0 677359.0
1047.32 22763.314 -27.862143 -49.198658 12050 -85.053 748.86 6916765.0 677354.0
1040.8 22763.323 -27.863299 -49.198693 12050 -84.249 734.29 6916637.0 677349.0
1035.33 22763.333 -27.864457 -49.198721 12050 -84.163 725.16 6916509.0 677344.0
1032.26 22763.344 -27.865616 -49.198739 12050 -84.545 723.01 6916381.0 677340.0
1031.23 22763.355 -27.866776 -49.198739 12050 -85.996 720.54 6916252.0 677338.0
1028.82 22763.367 -27.867935 -49.198747 12050 -87.336 715.03 6916124.0 677336.0
1025.78 22763.377 -27.869097 -49.198763 12050 -88.493 700.98 6915995.0 677332.0
1021.02 22763.388 -27.870259 -49.198782 12050 -90.745 690.59 6915866.0 677329.0
1016.86 22763.399 -27.871421 -49.198796 12050 -92.664 669.99 6915738.0 677325.0
1012.57 22763.41 -27.872582 -49.198805 12050 -93.032 649.58 6915609.0 677323.0
1010.45 22763.422 -27.873741 -49.198808 12050 -91.643 630.68 6915480.0 677320.0
1007.86 22763.433 -27.874897 -49.198808 12050 -89.298 609.11 6915352.0 677318.0
1005.21 22763.446 -27.876049 -49.198785 12050 -87.617 599.15 6915225.0 677319.0
1002.13 22763.46 -27.877194 -49.198737 12050 -86.609 606.37 6915098.0 677322.0
999.1 22763.475 -27.878336 -49.198678 12050 -85.379 601.5 6914971.0 677326.0
998.84 22763.49 -27.879476 -49.198612 12050 -84.096 607.25 6914845.0 677330.0
998.36 22763.505 -27.880613 -49.198544 12050 -84.062 614.72 6914719.0 677335.0
994.32 22763.52 -27.881751 -49.198474 12050 -85.925 626.03 6914592.0 677340.0
989.13 22763.535 -27.882892 -49.198408 12050 -88.922 627.48 6914466.0 677345.0
984.19 22763.549 -27.884037 -49.198357 12050 -91.309 617.59 6914339.0 677348.0
979.25 22763.564 -27.885185 -49.198312 12050 -92.874 610.36 6914212.0 677350.0
973.55 22763.578 -27.886334 -49.198268 12050 -93.624 604.47 6914084.0 677353.0
967.29 22763.592 -27.887483 -49.198224 12050 -93.373 593.79 6913957.0 677355.0
962.83 22763.605 -27.888633 -49.198195 12050 -92.268 587.89 6913829.0 677356.0
957.99 22763.618 -27.889784 -49.198173 12050 -90.941 602.53 6913702.0 677357.0
950.37 22763.63 -27.890938 -49.19816 12050 -89.739 588.86 6913574.0 677356.0
943.77 22763.643 -27.892098 -49.19815 12050 -88.159 585.37 6913446.0 677355.0
938.72 22763.655 -27.893262 -49.198142 12050 -86.562 591.7 6913317.0 677354.0
933.89 22763.667 -27.894428 -49.198142 12050 -84.193 592.49 6913187.0 677352.0
927.81 22763.679 -27.895597 -49.19815 12050 -81.151 607.77 6913058.0 677349.0
921.64 22763.69 -27.896769 -49.198163 12050 -84.776 613.86 6912928.0 677346.0
916.22 22763.702 -27.897945 -49.198181 12050 -92.375 592.41 6912798.0 677343.0
911.29 22763.713 -27.899124 -49.198206 12050 -93.74 542.29 6912667.0 677338.0
907.68 22763.723 -27.900303 -49.198238 12050 -91.557 496.26 6912536.0 677333.0
905.46 22763.733 -27.901484 -49.198279 12050 -90.667 505.3 6912406.0 677327.0
902.56 22763.743 -27.902666 -49.198322 12050 -91.241 512.88 6912275.0 677321.0
898.28 22763.754 -27.903849 -49.198357 12050 -92.7 501.52 6912144.0 677316.0
894.96 22763.765 -27.905033 -49.198389 12050 -93.496 520.85 6912013.0 677311.0
891.76 22763.776 -27.906218 -49.198405 12050 -93.92 527.68 6911881.0 677307.0
887.06 22763.789 -27.907403 -49.198402 12050 -94.316 527.44 6911750.0 677305.0
880.3 22763.802 -27.908593 -49.198378 12050 -93.902 531.69 6911618.0 677306.0
870.69 22763.817 -27.909789 -49.198341 12050 -89.637 555.68 6911486.0 677307.0
858.92 22763.832 -27.910994 -49.19829 12050 -87.988 589.61 6911352.0 677311.0
844.45 22763.848 -27.912211 -49.198226 12050 -93.72 590.01 6911217.0 677315.0
830.95 22763.865 -27.913441 -49.19815 12050 -97.846 575.43 6911081.0 677320.0
824.46 22763.883 -27.914679 -49.198063 12050 -97.094 561.3 6910943.0 677327.0
820.56 22763.901 -27.915915 -49.197974 12050 -92.642 553.97 6910806.0 677334.0
817.25 22763.918 -27.917146 -49.197886 12050 -89.224 541.69 6910670.0 677340.0
813.97 22763.936 -27.918372 -49.197798 12050 -87.749 505.58 6910534.0 677347.0
809.74 22763.954 -27.919596 -49.197709 12050 -85.888 467.26 6910398.0 677354.0
805.8 22763.971 -27.920817 -49.197621 12050 -83.135 481.77 6910263.0 677360.0
801.73 22763.989 -27.922035 -49.197534 12050 -80.569 517.87 6910127.0 677367.0
798.62 22764.006 -27.923248 -49.197452 12050 -80.254 535.7 6909993.0 677373.0
796.34 22764.023 -27.924458 -49.197378 12050 -82.401 554.06 6909859.0 677378.0
795.68 22764.038 -27.925666 -49.197329 12050 -84.308 574.91 6909725.0 677381.0
796.3 22764.052 -27.926871 -49.19732 12050 -84.469 596.38 6909591.0 677380.0
795.47 22764.064 -27.928073 -49.197338 12050 -83.817 618.35 6909458.0 677376.0
792.37 22764.075 -27.929273 -49.197372 12050 -83.358 591.91 6909325.0 677371.0
