ALTURA GPSALT LAT LONG Line MAGIGRF X Y
102.35 692.9 -16.199453 -51.231288 22730 127.24 8208982.09 475278.68
101.68 701.1 -16.198447 -51.231302 22730 121.688 8209093.32 475277.07
104.97 708.52 -16.197455 -51.23131 22730 129.764 8209203.01 475276.06
105.28 714.31 -16.196464 -51.231307 22730 129.161 8209312.71 475276.23
119.17 715.23 -16.195472 -51.231294 22730 111.865 8209422.41 475277.59
141.03 711.55 -16.194469 -51.231271 22730 97.637 8209533.33 475279.84
154.65 702.2 -16.19345 -51.231246 22730 70.465 8209646.1 475282.39
167.18 688.68 -16.192414 -51.231221 22730 47.755 8209760.72 475284.93
176.24 672.25 -16.19135 -51.231202 22730 33.539 8209878.41 475286.88
180.27 655.5 -16.190261 -51.231194 22730 25.966 8209998.86 475287.63
175.38 639.61 -16.189144 -51.231199 22730 21.017 8210122.38 475286.9
166.98 624.04 -16.188008 -51.23121 22730 10.994 8210248.05 475285.57
148.38 608.68 -16.186853 -51.231224 22730 -2.034 8210375.87 475283.94
130.57 595.05 -16.185678 -51.231246 22730 -2.765 8210505.84 475281.42
116.31 582.73 -16.184489 -51.231274 22730 -2.192 8210637.35 475278.3
117.53 574.78 -16.183286 -51.231299 22730 11.716 8210770.4 475275.48
116.25 569.91 -16.182075 -51.231321 22730 18.905 8210904.36 475272.95
109.46 569.45 -16.180867 -51.231346 22730 34.072 8211038.02 475270.13
117.04 574.88 -16.179669 -51.231382 22730 66.802 8211170.45 475266.12
131.27 582.91 -16.178489 -51.231424 22730 94.009 8211301.04 475261.52
143.25 592.88 -16.177325 -51.231469 22730 99.844 8211429.78 475256.62
148.9 605.27 -16.176183 -51.231502 22730 72.314 8211556.06 475252.92
127.95 618.91 -16.175064 -51.231507 22730 41.713 8211679.89 475252.18
117.25 632.6 -16.173964 -51.231496 22730 23.363 8211801.57 475253.23
124.66 645.28 -16.172883 -51.231463 22730 38.438 8211921.1 475256.66
127.34 655.8 -16.171817 -51.231416 22730 44.834 8212039.1 475261.58
112.71 662.72 -16.170761 -51.231366 22730 49.524 8212155.86 475266.79
119.15 664.94 -16.169706 -51.23131 22730 55.025 8212272.63 475272.6
125.46 661.18 -16.168644 -51.231255 22730 67.952 8212390.02 475278.41
144.17 650.66 -16.167575 -51.231208 22730 93.995 8212508.32 475283.32
170.55 634.81 -16.166481 -51.231163 22730 118.705 8212629.39 475287.94
186.09 616.79 -16.165367 -51.231124 22730 129.713 8212752.61 475291.95
175.84 598.17 -16.164225 -51.231099 22730 142.613 8212878.9 475294.49
165.19 581.07 -16.163058 -51.231096 22730 172.193 8213007.95 475294.64
155.33 565.32 -16.16187 -51.231105 22730 212.825 8213139.46 475293.6
148.5 554.07 -16.160667 -51.231113 22730 254.625 8213272.51 475292.56
141.92 548.32 -16.159458 -51.231121 22730 288.2 8213406.17 475291.52
139.17 544.71 -16.158247 -51.231127 22730 313.028 8213540.14 475290.77
137.52 542.63 -16.157039 -51.231127 22730 323.676 8213673.8 475290.62
136.0 540.86 -16.155828 -51.231124 22730 333.129 8213807.77 475290.77
136.55 541.17 -16.154622 -51.231124 22730 345.999 8213941.12 475290.62
138.72 543.82 -16.15342 -51.231121 22730 348.347 8214074.17 475290.76
144.47 549.21 -16.152231 -51.231121 22730 339.013 8214205.68 475290.62
152.58 554.3 -16.151045 -51.231119 22730 335.126 8214336.89 475290.77
152.95 553.27 -16.149867 -51.23111 22730 340.698 8214467.17 475291.51
149.99 546.96 -16.148683 -51.231094 22730 342.369 8214598.07 475293.15
145.51 539.38 -16.147492 -51.231074 22730 334.111 8214729.89 475295.08
140.09 531.31 -16.146297 -51.231052 22730 325.435 8214862.02 475297.3
139.9 523.09 -16.145095 -51.231027 22730 331.215 8214995.07 475299.83
142.31 514.45 -16.143889 -51.230999 22730 333.784 8215128.42 475302.65
138.2 506.26 -16.142672 -51.230977 22730 335.001 8215263.01 475304.87
130.79 499.55 -16.141447 -51.230974 22730 350.036 8215398.52 475305.02
122.47 492.75 -16.140217 -51.230985 22730 378.094 8215534.63 475303.68
114.87 487.03 -16.138984 -51.231002 22730 391.041 8215671.06 475301.74
111.31 482.51 -16.13775 -51.231024 22730 400.653 8215807.48 475299.21
111.56 479.7 -16.13652 -51.231046 22730 394.843 8215943.6 475296.68
112.84 477.63 -16.135295 -51.231074 22730 396.81 8216079.1 475293.56
112.38 474.72 -16.134072 -51.231099 22730 404.065 8216214.3 475290.74
110.83 470.9 -16.132853 -51.231116 22730 402.759 8216349.19 475288.8
106.77 467.54 -16.131631 -51.231124 22730 381.679 8216484.38 475287.76
104.3 464.25 -16.130411 -51.231119 22730 377.716 8216619.27 475288.2
103.18 460.58 -16.129195 -51.231096 22730 378.001 8216753.86 475290.43
100.7 457.25 -16.127984 -51.231046 22730 382.603 8216887.83 475295.62
98.48 454.53 -16.126778 -51.230974 22730 369.123 8217021.2 475303.2
107.17 452.65 -16.125578 -51.230885 22730 352.3 8217153.95 475312.55
102.17 447.58 -16.124378 -51.230797 22730 324.501 8217286.7 475321.91
97.96 443.28 -16.123175 -51.230741 22730 314.443 8217419.75 475327.7
95.83 442.7 -16.12197 -51.23073 22730 314.392 8217553.11 475328.74
98.03 442.85 -16.120764 -51.230755 22730 290.849 8217686.46 475325.91
109.18 464.88 -16.120422 -51.226522 22740 328.386 8217724.75 475778.53
106.68 466.01 -16.121506 -51.226505 22740 342.79 8217604.92 475780.45
103.14 468.39 -16.122592 -51.226477 22740 357.3 8217484.78 475783.55
109.24 471.84 -16.123672 -51.226449 22740 374.792 8217365.26 475786.65
116.61 475.94 -16.124747 -51.226427 22740 395.442 8217246.35 475789.16
123.01 479.93 -16.12582 -51.226402 22740 428.325 8217127.75 475791.96
122.01 482.69 -16.126886 -51.226372 22740 433.806 8217009.76 475795.36
