 ALTURA GPSALT IGRF mag_res1 LAT LONG Line MAGIGRF X Y
56 188.76 1089.14 22763.151 6.905052853090453 -27.845567 -49.198664 12050 -47.88399999999999 6918602.0 677380.0
57 168.96 1094.94 22763.164 2.5949188911943466 -27.846658 -49.198614 12050 -52.242 6918481.0 677384.0
58 133.01 1102.54 22763.176 -2.1085376807932974 -27.847739 -49.198586 12050 -56.996 6918361.0 677384.0
59 92.99 1111.35 22763.186 -6.7170619969623715 -27.848810999999998 -49.198582 12050 -61.655 6918243.0 677383.0
60 96.09 1116.92 22763.196 -11.038615825327021 -27.849877000000003 -49.198592 12050 -66.029 6918124.0 677380.0
61 146.81 1118.34 22763.206000000002 -16.1903654952105 -27.850945 -49.198602 12050 -71.232 6918006.0 677378.0
62 193.2 1114.14 22763.216 -21.081919323575164 -27.85202 -49.198609999999995 12050 -76.176 6917887.0 677375.0
63 219.34 1106.05 22763.227000000003 -25.96182660299184 -27.853107 -49.198617 12050 -81.108 6917767.0 677373.0
64 232.07 1096.28 22763.237 -30.038695650422767 -27.85421 -49.198625 12050 -85.23899999999999 6917644.0 677370.0
65 246.33 1087.53 22763.248 -32.10233934413921 -27.855325 -49.198628 12050 -87.35600000000001 6917521.0 677368.0
66 255.39 1080.08 22763.257999999998 -32.299366001103216 -27.856447999999997 -49.198637 12050 -87.60799999999999 6917396.0 677365.0
67 266.65 1074.54 22763.269 -31.817167304352736 -27.857577000000003 -49.198639 12050 -87.18 6917271.0 677363.0
68 274.93 1068.17 22763.281000000003 -31.7255179001732 -27.858709 -49.198627 12050 -87.141 6917146.0 677363.0
69 298.66 1060.62 22763.292999999998 -32.12867265447473 -27.859846 -49.198615999999994 12050 -87.598 6917020.0 677362.0
70 317.34 1053.32 22763.304 -31.293856920971955 -27.86099 -49.19863 12050 -86.819 6916893.0 677359.0
71 327.21 1047.32 22763.314 -29.470070699664646 -27.862143 -49.198658 12050 -85.053 6916765.0 677354.0
72 335.29 1040.8 22763.322999999997 -28.608284478357447 -27.863298999999998 -49.198693 12050 -84.249 6916637.0 677349.0
73 338.89 1035.33 22763.333 -28.464498257050145 -27.864457 -49.198721 12050 -84.163 6916509.0 677344.0
74 338.18 1032.26 22763.343999999997 -28.78948668202844 -27.865615999999996 -49.198739 12050 -84.545 6916381.0 677340.0
75 340.46 1031.23 22763.355 -30.184603204344235 -27.866776 -49.198739 12050 -85.99600000000001 6916252.0 677338.0
