 ALTURA GPSALT IGRF mag_res1 mag_res2 LAT LONG Line MAGIGRF X Y
0 175.78 1093.52 22762.346 5.131094783353284 9.86281414975035 -27.7659 -49.199996 12050 -45.94 6927431.0 677379.0
1 177.17 1102.83 22762.357999999997 7.669816613304491 12.314867435450516 -27.766919 -49.19992 12050 -43.445 6927318.0 677384.0
2 178.47 1114.55 22762.371 9.843921406503306 14.404024933581049 -27.767925 -49.199843 12050 -41.313 6927207.0 677390.0
3 179.42 1128.94 22762.382999999998 11.295154297039623 15.770740989633417 -27.768919 -49.199793 12050 -39.905 6927097.0 677394.0
4 170.31 1143.5 22762.392000000003 13.44426041900335 17.834469949099045 -27.769904999999998 -49.199783000000004 12050 -37.803000000000004 6926987.0 677393.0
5 141.54 1160.14 22762.397999999997 15.628397381927677 19.933918605091 -27.770878999999997 -49.199831 12050 -35.669000000000004 6926879.0 677387.0
6 126.27 1174.94 22762.403 17.292662442189517 21.513925819004754 -27.771848 -49.199894 12050 -34.056 6926772.0 677379.0
7 114.3 1186.87 22762.409 17.383152856165758 21.520330452235903 -27.772817 -49.199948 12050 -34.016 6926665.0 677372.0
8 170.9 1257.96 22762.557999999997 8.511736942800304 11.181753731930677 -27.789848 -49.199998 12050 -43.707 6924778.0 677340.0
9 168.91 1254.7 22762.572 14.418985944152148 16.99768663829176 -27.790921 -49.199929 12050 -37.846 6924659.0 677345.0
10 158.74 1248.69 22762.584 18.38462662854174 20.870117912905073 -27.792011 -49.199877 12050 -33.929 6924538.0 677348.0
11 156.91 1242.17 22762.596 19.748884349683735 22.13944497508804 -27.793120000000002 -49.199839000000004 12050 -32.615 6924415.0 677350.0
12 152.97 1237.05 22762.607999999997 21.171759107578133 23.465667824840587 -27.794248 -49.199808000000004 12050 -31.244 6924290.0 677351.0
13 170.72 1231.89 22762.62 22.697476255939442 24.89318388148012 -27.795391 -49.19978 12050 -29.771 6924163.0 677352.0
14 180.47 1226.77 22762.632 23.53061459953409 25.62734654156312 -27.796547999999998 -49.199754 12050 -28.991 6924035.0 677353.0
15 184.23 1223.34 22762.644 24.63359533359566 26.629802408533056 -27.797718 -49.199721000000004 12050 -27.941999999999997 6923905.0 677354.0
