 index ALTURA GPSALT IGRF mag_res reg LAT LONG Line MAGIGRF X Y
39 3432 195.66 855.6 22766.099 -22.194731070462808 -49.15926892953719 -27.822986 -49.138594 12170 -71.354 6921016.0 683335.0
40 3433 173.39 845.11 22766.11 -28.454660471049593 -49.21233952895041 -27.824116999999998 -49.138571999999996 12170 -77.667 6920890.0 683335.0
41 3434 150.83 835.46 22766.122000000003 -38.099589871636255 -49.26541012836374 -27.825256 -49.138556 12170 -87.365 6920764.0 683335.0
42 3435 145.37 825.7 22766.134 -47.250098076989474 -49.31890192301053 -27.8264 -49.138536 12170 -96.569 6920637.0 683335.0
43 3436 137.08 816.18 22766.146 -52.3936062823428 -49.372393717657204 -27.827546999999996 -49.138517 12170 -101.766 6920510.0 683335.0
44 3437 121.58 811.54 22766.157000000003 -55.28033984141054 -49.42666015858947 -27.828691999999997 -49.1385 12170 -104.70700000000001 6920383.0 683334.0
45 3438 124.64 811.55 22766.168999999998 -56.56126924199731 -49.47973075800269 -27.829831 -49.138481 12170 -106.041 6920257.0 683334.0
46 3439 156.07 808.56 22766.181 -56.63161983781744 -49.53238016218256 -27.830961 -49.138461 12170 -106.164 6920132.0 683334.0
47 3440 187.55 802.6 22766.192000000003 -54.39174507992304 -49.58425492007696 -27.832083 -49.138436 12170 -103.976 6920007.0 683335.0
48 3441 180.42 795.63 22766.203999999998 -57.00851687097662 -49.636483129023375 -27.833206 -49.138419 12170 -106.645 6919883.0 683335.0
49 3442 176.58 788.59 22766.215 -63.283288662030216 -49.68871133796979 -27.834325 -49.138403000000004 12170 -112.97200000000001 6919759.0 683335.0
50 3443 151.5 779.67 22766.227000000003 -68.22028580679832 -49.74171419320169 -27.835444 -49.138391999999996 12170 -117.962 6919635.0 683334.0
51 3444 138.4 771.88 22766.237999999998 -71.55950830528093 -49.79549169471907 -27.836567 -49.138386 12170 -121.355 6919511.0 683332.0
52 3445 150.03 764.64 22766.248 -73.65773080376356 -49.84926919623645 -27.837685999999998 -49.138389000000004 12170 -123.507 6919387.0 683330.0
53 3446 159.53 757.9 22766.259 -75.80695330224617 -49.90304669775383 -27.838805999999998 -49.138389000000004 12170 -125.71 6919263.0 683328.0
54 3447 154.53 751.15 22766.269 -79.74317580072878 -49.95682419927121 -27.839919000000002 -49.138391999999996 12170 -129.7 6919139.0 683326.0
55 3448 147.86 745.64 22766.28 -82.92281949444487 -50.010180505555134 -27.841033000000003 -49.138391999999996 12170 -132.933 6919016.0 683324.0
56 3449 130.16 743.19 22766.291 -83.59981663921295 -50.06318336078703 -27.842146999999997 -49.138383000000005 12170 -133.66299999999998 6918892.0 683323.0
57 3450 108.47 741.69 22766.303 -81.62258843026655 -50.115411569733446 -27.843266999999997 -49.138366999999995 12170 -131.738 6918768.0 683323.0
58 3451 138.08 743.56 22766.315 -81.18813486760561 -50.166865132394385 -27.844392 -49.138335999999995 12170 -131.355 6918644.0 683324.0
59 3452 152.41 748.28 22766.327999999998 -77.54580940228217 -50.21719059771781 -27.845516999999997 -49.138289 12170 -127.76299999999999 6918519.0 683327.0
60 3453 150.2 753.86 22766.342999999997 -73.40403322952972 -50.26596677047028 -27.846639 -49.138219 12170 -123.67 6918394.0 683332.0
61 3454 148.85 760.46 22766.357999999997 -69.71145289829619 -50.31354710170381 -27.847756 -49.138141999999995 12170 -120.025 6918270.0 683338.0
62 3455 132.75 770.35 22766.372000000003 -66.59294031124409 -50.36105968875591 -27.848864000000003 -49.138064 12170 -116.954 6918148.0 683343.0
63 3456 135.73 782.85 22766.387000000002 -64.58320237047748 -50.40779762952252 -27.849960999999997 -49.137989000000005 12170 -114.991 6918026.0 683349.0
64 3457 114.18 796.51 22766.401 -67.15653217389219 -50.454467826107816 -27.851042 -49.137919000000004 12170 -117.611 6917906.0 683354.0
65 3458 96.19 808.45 22766.415 -70.72528317254034 -50.500716827459655 -27.852117 -49.137853 12170 -121.226 6917787.0 683359.0
66 3459 125.27 818.42 22766.429 -75.46925952490315 -50.54774047509686 -27.853185999999997 -49.137786 12170 -126.01700000000001 6917668.0 683363.0
67 3460 121.42 827.39 22766.442000000003 -75.67365707249925 -50.594342927500726 -27.854253000000003 -49.137731 12170 -126.26799999999999 6917550.0 683367.0
68 3461 90.87 836.46 22766.455 -72.82627997380992 -50.64172002619007 -27.855314 -49.137689 12170 -123.46799999999999 6917432.0 683370.0
69 3462 92.38 844.66 22766.467 -71.37677477778308 -50.69022522221692 -27.856371999999997 -49.137656 12170 -122.06700000000001 6917315.0 683371.0
70 3463 104.86 848.79 22766.479 -70.04284838652279 -50.739151613477226 -27.857436 -49.137625 12170 -120.78200000000001 6917197.0 683372.0
71 3464 154.56 849.32 22766.491 -69.28550080002901 -50.788499199970985 -27.858508 -49.137597 12170 -120.074 6917078.0 683373.0
72 3465 209.82 845.28 22766.502999999997 -68.02173201830179 -50.83826798169821 -27.859594 -49.137572 12170 -118.86 6916958.0 683374.0
73 3466 255.97 837.24 22766.514 -67.0625715535368 -50.89042844646319 -27.860697 -49.137558 12170 -117.95299999999999 6916836.0 683373.0
74 3467 262.07 827.81 22766.525 -66.04137285678598 -50.94462714321403 -27.861825 -49.137567 12170 -116.986 6916711.0 683371.0
