Scan started at 18:09:49 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0500488	-0.0423584	375.221	0.195622	0.0160092	0.0157296	12.1222	0	-31615.5	-29824.9	-25766.5	0.195622	1086.72	1031.85	922.046	
0.00499208	-0.0494995	-0.0289917	375.218	0.293434	0.00772848	0.00747239	24.8037	0.00499208	-31565.9	-29816.7	-25810.7	0.293434	2323.24	2220.88	1994.11	
0.00998416	-0.0509847	-0.0351156	375.222	0.391245	0.00914913	0.00902542	11.4825	0.00998416	-31490.4	-29915.1	-25831.6	0.391245	1056.74	1008.03	898.681	
0.0149762	-0.054718	-0.0371704	375.221	0.489056	0.00454931	0.00423126	14.9655	0.0149762	-31478.7	-29967.8	-25820.1	0.489056	1395.2	1332.68	1193.38	
0.0199683	-0.0475159	-0.0389404	375.224	0.586867	0.00476605	0.00478795	10.9844	0.0199683	-31479.1	-29967.4	-25819.6	0.586867	1014.49	966.304	861.233	
0.0249604	-0.0479431	-0.0444031	375.229	0.684678	0.00572284	0.0057964	10.7709	0.0249604	-31478.2	-29968.9	-25819.9	0.684678	997.204	952.947	849.946	
0.0299525	-0.045929	-0.0430908	375.229	0.782489	0.00435965	0.00405238	10.3249	0.0299525	-31477.6	-29969.3	-25820.7	0.782489	955.423	911.333	811.822	
0.0349446	-0.0455322	-0.0435486	375.23	0.880301	0.00451818	0.00431941	8.44624	0.0349446	-31476.7	-29967.9	-25820.4	0.880301	777.65	740.765	658.965	
0.0399366	-0.0509644	-0.0428467	375.229	0.978112	0.00333448	0.00298137	9.53956	0.0399366	-31477.5	-29968.2	-25820.5	0.978112	883.959	841.684	750.669	
0.0449287	-0.0475464	-0.0431824	375.23	1.07592	0.00328357	0.00335319	6.9527	0.0449287	-31477.8	-29968.8	-25820.3	1.07592	635.683	607.899	537.821	
0.0499208	-0.0523071	-0.0395203	375.229	1.17373	0.00459765	0.00448908	8.63129	0.0499208	-31478.6	-29969.3	-25820	1.17373	798.906	762.963	679.368	
0.0549129	-0.0479431	-0.0397644	375.231	1.27155	0.00507895	0.00527573	5.90579	0.0549129	-31480.1	-29968	-25820.3	1.27155	539.503	513.404	454.411	
0.059905	-0.0478821	-0.0375671	375.229	1.36936	0.00306775	0.00276747	7.62328	0.059905	-31480.6	-29967.7	-25819.9	1.36936	706.349	673.465	600.078	
0.064897	-0.0433655	-0.0357056	375.231	1.46717	0.00321824	0.00332306	5.12447	0.064897	-31480.3	-29969.9	-25819.7	1.46717	466.488	446.07	393.969	
0.0698891	-0.0402832	-0.0391846	375.23	1.56498	0.00246166	0.00246423	6.54352	0.0698891	-31479.6	-29969.8	-25820.3	1.56498	605.687	578.818	515.23	
0.0748812	-0.0421753	-0.0400391	375.233	1.66279	0.00264403	0.00257257	4.50606	0.0748812	-31480.2	-29967.9	-25819.8	1.66279	411.854	393.089	347.995	
0.0798733	-0.0466919	-0.0429382	375.229	1.7606	0.00239248	0.00228159	5.42326	0.0798733	-31479.9	-29967.5	-25819.1	1.7606	502.454	478.966	427.025	
0.0848654	-0.052887	-0.0440674	375.226	1.85841	0.00405763	0.0040392	4.01166	0.0848654	-31479.7	-29967.2	-25819.3	1.85841	368.055	351.624	312.139	
0.0898574	-0.0534973	-0.0451965	375.225	1.95622	0.00148737	0.00174887	4.29597	0.0898574	-31479.7	-29967.1	-25819.3	1.95622	396.956	379.095	337.534	
0.0948495	-0.051239	-0.0386658	375.224	2.05403	0.00501149	0.00488392	3.60633	0.0948495	-31478.8	-29967.3	-25819.5	2.05403	333.07	317.68	283.083	
0.0998416	-0.0480042	-0.0353394	375.225	2.15185	0.00436786	0.00421636	3.17806	0.0998416	-31479	-29967.2	-25819.9	2.15185	293.645	280.066	249.632	
0.104834	-0.0462952	-0.0341187	375.224	2.24966	0.00400541	0.0040551	3.26616	0.104834	-31479.5	-29968.6	-25819.3	2.24966	304.032	289.561	259.247	
0.109826	-0.0446167	-0.027832	375.222	2.34747	0.00225315	0.00242331	2.10897	0.109826	-31480.1	-29968.7	-25819.5	2.34747	194.132	185.483	165.165	
0.114818	-0.0484924	-0.0336304	375.219	2.44528	0.00415597	0.00435024	2.98378	0.114818	-31480	-29967.4	-25819.8	2.44528	279.312	266.436	239.021	
0.11981	-0.0460205	-0.0345459	375.219	2.54309	0.00355964	0.00331548	1.11829	0.11981	-31480	-29968.1	-25819.5	2.54309	101.577	96.7939	86.3612	
0.124802	-0.0535889	-0.045044	375.22	2.6409	0.0019862	0.00176454	2.75355	0.124802	-31480	-29969	-25819.5	2.6409	258.358	246.767	221.634	
0.129794	-0.0556641	-0.0484314	375.225	2.73871	0.002498	0.00232402	0.282927	0.129794	-31479.8	-29968.4	-25819.6	2.73871	17.1925	17.0606	15.3825	
0.134786	-0.0523071	-0.0475464	375.226	2.83652	0.00162256	0.00162055	2.56115	0.134786	-31479.6	-29968.3	-25820.1	2.83652	240.48	229.791	206.456	
0.139778	-0.0500488	-0.0418396	375.232	2.93434	0.00234608	0.00225579	0.63834	0.139778	-31479.6	-29969.2	-25820.5	2.93434	56.7798	53.3391	48.1264	
0.14477	-0.0458374	-0.0319519	375.235	3.03215	0.00429133	0.00447439	2.40256	0.14477	-31480.3	-29970.5	-25819.8	3.03215	225.185	214.921	192.933	
0.149762	-0.0447083	-0.0343018	375.234	3.12996	0.0012534	0.0012653	1.28756	0.149762	-31479.9	-29970.4	-25819.8	3.12996	118.276	112.807	100.708	
0.154754	-0.0461121	-0.0296326	375.233	3.22777	0.001273	0.00142607	2.27075	0.154754	-31478.5	-29969.8	-25820.5	3.22777	211.626	202.063	180.849	
0.159747	-0.0464783	-0.0334168	375.231	3.32558	0.00190294	0.00184958	1.8128	0.159747	-31477.7	-29969.6	-25820.1	3.32558	167.591	159.688	142.5	
0.164739	-0.0444336	-0.0336304	375.229	3.42339	0.00130061	0.00127303	2.15592	0.164739	-31478.1	-29969.9	-25819.6	3.42339	199.602	190.844	170.042	
0.169731	-0.0439758	-0.0414124	375.228	3.5212	0.00156878	0.00140225	2.19994	0.169731	-31478.6	-29969.5	-25819.8	3.5212	203.569	194.228	173.144	
0.174723	-0.042511	-0.045929	375.229	3.61901	0.00164148	0.00162319	2.05614	0.174723	-31478.9	-29968.3	-25820.7	3.61901	189.148	180.559	160.377	
