Scan started at 18:07:18 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0632324	-0.0499268	374.522	0.195622	0.0159648	0.0160023	12.0664	0	-31464.3	-30098.5	-25757.7	0.195622	1087.87	1032.08	922.98	
0.00499208	-0.0492554	-0.0319214	374.535	0.293434	0.00731842	0.0066805	24.7992	0.00499208	-31540.5	-29953	-25759.5	0.293434	2323.02	2220.48	1994.1	
0.00998416	-0.0459798	-0.0354004	374.53	0.391245	0.00775279	0.00770513	11.4592	0.00998416	-31511.2	-29927.7	-25792.3	0.391245	1055.79	1008.55	899.856	
0.0149762	-0.0449829	-0.0361328	374.531	0.489056	0.00346884	0.00325981	14.9583	0.0149762	-31460.3	-29987.2	-25806.8	0.489056	1394.51	1333.04	1194.04	
0.0199683	-0.0439148	-0.0385132	374.529	0.586867	0.00596178	0.00572262	10.9457	0.0199683	-31460.7	-29986.7	-25806.9	0.586867	1012.79	966.517	862.651	
0.0249604	-0.0482483	-0.0439453	374.524	0.684678	0.00681269	0.00661785	10.7754	0.0249604	-31459.7	-29986.5	-25807	0.684678	997.64	952.107	849.954	
0.0299525	-0.0470886	-0.044342	374.524	0.782489	0.00306211	0.00305193	10.2957	0.0299525	-31459.4	-29986.9	-25807.1	0.782489	953.534	911.141	812.893	
0.0349446	-0.0481262	-0.0474243	374.527	0.880301	0.00453917	0.0043996	8.43755	0.0349446	-31460.8	-29986.3	-25806.8	0.880301	775.63	742.108	658.889	
0.0399366	-0.0451355	-0.04245	374.526	0.978112	0.00196832	0.00201094	9.51569	0.0399366	-31460.4	-29986.3	-25806.3	0.978112	881.866	842.118	751.184	
0.0449287	-0.0453796	-0.0432129	374.524	1.07592	0.00452698	0.00431912	6.94553	0.0449287	-31459.3	-29986.5	-25806.6	1.07592	636.65	605.744	537.798	
0.0499208	-0.0505371	-0.0391235	374.522	1.17373	0.00316968	0.00299053	8.61044	0.0499208	-31460.5	-29985.9	-25806.6	1.17373	798.81	761.423	679.784	
0.0549129	-0.0508728	-0.0371399	374.514	1.27155	0.0039297	0.00390976	5.89631	0.0549129	-31458.9	-29986.3	-25806.9	1.27155	537.518	514.14	454.405	
0.059905	-0.0519714	-0.037384	374.517	1.36936	0.00302447	0.00281313	7.60796	0.059905	-31458.7	-29985.4	-25806.8	1.36936	704.947	673.349	600.534	
0.064897	-0.0501099	-0.0377502	374.519	1.46717	0.00350586	0.00344305	5.10954	0.064897	-31459.3	-29984.6	-25806.3	1.46717	466.562	445.058	393.556	
