Scan started at 18:00:02 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0594482	-0.0484619	373.999	0.195622	0.0148986	0.0147198	12.1171	0	-31531.1	-30097.4	-25700	0.195622	1085.54	1031.82	920.763	
0.00499208	-0.0585938	-0.0394898	374.007	0.293434	0.00679904	0.00657667	24.7998	0.00499208	-31581.1	-29976.8	-25711.1	0.293434	2322.29	2220.75	1994.06	
0.00998416	-0.054362	-0.0382894	374.005	0.391245	0.00929314	0.00929597	11.4773	0.00998416	-31546.8	-29958.2	-25746.6	0.391245	1056.58	1008.07	898.476	
0.0149762	-0.0563049	-0.0422669	374.004	0.489056	0.00400893	0.00371646	14.9683	0.0149762	-31504.3	-30008.5	-25758.3	0.489056	1394.65	1333.05	1193.45	
0.0199683	-0.0558472	-0.0466919	374.004	0.586867	0.00366846	0.00374631	10.9787	0.0199683	-31503.9	-30007.7	-25758	0.586867	1014.19	966.287	861.801	
0.0249604	-0.0505371	-0.045929	373.999	0.684678	0.00547939	0.00551603	10.7718	0.0249604	-31504.4	-30006.9	-25757.8	0.684678	996.737	953.351	850.331	
0.0299525	-0.0502319	-0.0455933	373.996	0.782489	0.00386196	0.00377413	10.3281	0.0299525	-31504.1	-30006.8	-25757.8	0.782489	955.691	910.429	812.236	
0.0349446	-0.0428467	-0.0370789	374.002	0.880301	0.00390312	0.00394914	8.45236	0.0349446	-31505.2	-30006.4	-25757.7	0.880301	777.635	740.528	659.373	
0.0399366	-0.0400391	-0.0343628	374.003	0.978112	0.00494895	0.00475115	9.54024	0.0399366	-31505.3	-30005	-25757.8	0.978112	883.018	842.031	750.99	
0.0449287	-0.0429993	-0.034729	374.004	1.07592	0.00437294	0.00478988	6.96087	0.0449287	-31505.8	-30004.7	-25757.5	1.07592	635.176	608.13	537.931	
0.0499208	-0.0463562	-0.0343018	374.001	1.17373	0.00265351	0.00265122	8.63295	0.0499208	-31504.4	-30005.7	-25757.5	1.17373	799.215	761.975	679.66	
0.0549129	-0.0522461	-0.0412293	373.994	1.27155	0.00433946	0.00437639	5.91309	0.0549129	-31502.9	-30005.6	-25758.3	1.27155	539.356	513.171	454.38	
0.059905	-0.052124	-0.0376587	373.998	1.36936	0.00371433	0.00377845	7.62582	0.059905	-31503.4	-30004.8	-25757.7	1.36936	705.216	673.859	600.571	
0.064897	-0.0472107	-0.0426636	373.999	1.46717	0.0030276	0.00331699	5.12915	0.064897	-31502.8	-30005.7	-25757.2	1.46717	466.624	445.628	393.845	
0.0698891	-0.0441284	-0.0427856	374.005	1.56498	0.00350359	0.00320134	6.54348	0.0698891	-31503.6	-30005.6	-25757.2	1.56498	605.588	578.317	515.559	
0.0748812	-0.0436096	-0.0433044	374.005	1.66279	0.00300321	0.00325718	4.51578	0.0748812	-31503.8	-30005.1	-25756.8	1.66279	412.617	391.888	347.862	
0.0798733	-0.0435791	-0.040741	373.999	1.7606	0.00212234	0.00211929	5.42595	0.0798733	-31503.7	-30004.7	-25757.1	1.7606	501.765	479.172	427.304	
0.0848654	-0.046814	-0.0375977	374.001	1.85841	0.00503494	0.00508444	4.02213	0.0848654	-31504.6	-30004.1	-25757.1	1.85841	368.382	351.134	311.8	
0.0898574	-0.0487976	-0.0381775	374	1.95622	0.00251034	0.00261931	4.29413	0.0898574	-31503.9	-30005.1	-25757.1	1.95622	396.846	378.9	337.837	
0.0948495	-0.0518189	-0.0319214	374.004	2.05403	0.0047713	0.00456732	3.60664	0.0948495	-31502.9	-30005.9	-25757.6	2.05403	333.087	317.327	282.991	
0.0998416	-0.0510864	-0.0339356	374.007	2.15185	0.0045023	0.0044064	3.17621	0.0998416	-31503.9	-30005.2	-25757.3	2.15185	293.561	280.022	249.893	
0.104834	-0.0514221	-0.036438	374.005	2.24966	0.00356248	0.00358232	3.26793	0.104834	-31504.1	-30004.8	-25756.9	2.24966	303.297	290.122	259.218	
0.109826	-0.0447998	-0.0427246	374.006	2.34747	0.00209403	0.00199028	2.1072	0.109826	-31504.5	-30004.4	-25756.9	2.34747	193.999	185.523	165.334	
0.114818	-0.0404663	-0.0501404	374	2.44528	0.00417291	0.00400904	2.98842	0.114818	-31503.9	-30004	-25756.7	2.44528	278.837	266.737	239.069	
0.11981	-0.0411377	-0.0517883	374	2.54309	0.00430336	0.00450469	1.11986	0.11981	-31503.8	-30003.9	-25756.8	2.54309	101.008	97.296	86.4803	
0.124802	-0.0392761	-0.0463867	374.007	2.6409	0.00135149	0.00139636	2.75272	0.124802	-31503.9	-30005	-25757	2.6409	258.013	246.965	221.758	
0.129794	-0.0464172	-0.0405884	374.007	2.73871	0.00256399	0.0027411	0.280013	0.129794	-31503.4	-30006.7	-25756.9	2.73871	17.6916	16.4052	15.3914	
0.134786	-0.0456238	-0.035614	374.012	2.83652	0.0016475	0.00179528	2.56084	0.134786	-31503.3	-30006.8	-25757.1	2.83652	240.245	229.883	206.546	
0.139778	-0.0479431	-0.0328674	374.013	2.93434	0.00128833	0.00136089	0.638703	0.139778	-31503.6	-30005.9	-25757.1	2.93434	56.1905	53.9832	47.9931	
0.14477	-0.0534058	-0.0343628	374.005	3.03215	0.00336196	0.00321058	2.4022	0.14477	-31503.8	-30005.6	-25756.9	3.03215	224.712	215.243	193.091	
0.149762	-0.0520325	-0.0351563	374.006	3.12996	0.00105961	0.000923072	1.28915	0.149762	-31503.3	-30005.5	-25757	3.12996	118.194	112.961	100.619	
0.154754	-0.0493469	-0.0445862	373.996	3.22777	0.00148314	0.0015267	2.26832	0.154754	-31503.7	-30005.5	-25756.9	3.22777	211.435	202.135	180.991	
0.159747	-0.0481873	-0.0470886	373.995	3.32558	0.00121378	0.00123108	1.81464	0.159747	-31503.6	-30005.8	-25757.2	3.32558	167.262	160.073	142.533	
0.164739	-0.044342	-0.0475159	373.993	3.42339	0.000887882	0.000925177	2.15581	0.164739	-31503.9	-30005.6	-25757.2	3.42339	199.784	190.411	170.199	
0.169731	-0.0464172	-0.046814	373.994	3.5212	0.00135828	0.00136416	2.2011	0.169731	-31504.4	-30006.3	-25757.1	3.5212	203.26	194.472	173.253	
0.174723	-0.0503845	-0.0411987	374.001	3.61901	0.00137394	0.00127022	2.05454	0.174723	-31503.5	-30006.4	-25757.3	3.61901	189.199	180.171	160.521	
0.179715	-0.0496521	-0.0410461	374.001	3.71683	0.0010485	0.0011883	2.44811	0.179715	-31504.1	-30005.7	-25757.3	3.71683	226.133	216.346	192.673	
0.184707	-0.0505676	-0.0391235	374.011	3.81464	0.00152323	0.00161041	1.96387	0.184707	-31503.7	-30005.3	-25757	3.81464	179.496	171.266	151.818	
0.189699	-0.0494995	-0.0422669	374.009	3.91245	0.00131302	0.00148443	2.55483	0.189699	-31502.9	-30006	-25757.5	3.91245	236.672	225.671	201.375	
0.194691	-0.0490112	-0.0409546	374.012	4.01026	0.000633863	0.000706922	1.87563	0.194691	-31503	-30006.4	-25757.5	4.01026	170.955	162.855	144.222	
0.199683	-0.0444031	-0.0434265	374.013	4.10807	0.000801763	0.000906972	2.53699	0.199683	-31502.2	-30005.9	-25757.8	4.10807	234.979	224.011	199.81	
