LINE,X,Y,Bx,By,Bz,Bm,DIST_ABS,MAG_REGIONAL,MAG_MOD,mag_res
         10,18.000000,-37.322000,939.250000,25892.300000,-43262.136000,50427.233000,2.253000,50346.907279,50436.073075,80.325721
         10,18.000000,-37.376000,929.845000,25893.900000,-43262.631000,50428.305000,2.307000,50346.380204,50436.501741,81.924796
         10,18.000000,-37.432000,924.754000,25895.500000,-43263.197000,50429.518000,2.363000,50345.833751,50436.959113,83.684249
         10,18.000000,-37.471000,927.371000,25896.100000,-43261.429000,50428.358000,2.402000,50345.453272,50437.285455,82.904728
         10,18.000000,-37.527000,921.926000,25896.800000,-43261.076000,50428.314000,2.458000,50344.907068,50437.765419,83.406932
         10,18.000000,-37.602000,922.209000,25898.000000,-43261.641000,50429.421000,2.533000,50344.175773,50438.429533,85.245227
         10,18.000000,-37.673000,926.876000,25898.500000,-43261.217000,50429.399000,2.604000,50343.483722,50439.081101,85.915278
         10,18.000000,-37.744000,923.340000,25899.300000,-43261.217000,50429.745000,2.675000,50342.791906,50439.755336,86.953094
         10,18.000000,-37.810000,919.592000,25899.800000,-43261.429000,50430.116000,2.741000,50342.149020,50440.402788,87.966980
         10,18.000000,-37.860000,929.421000,25900.000000,-43262.349000,50431.187000,2.791000,50341.662121,50440.906776,89.524879
         10,18.000000,-37.929000,927.512000,25900.100000,-43262.136000,50431.021000,2.860000,50340.990392,50441.621689,90.030608
         10,18.000000,-38.006000,925.249000,25901.200000,-43262.278000,50431.666000,2.937000,50340.241042,50442.446524,91.424958
         10,18.000000,-38.086000,923.269000,25903.000000,-43262.136000,50432.433000,3.017000,50339.462790,50443.334297,92.970210
         10,18.000000,-38.163000,912.733000,25904.400000,-43261.783000,50432.657000,3.094000,50338.714005,50444.219035,93.942995
         10,18.000000,-38.232000,921.714000,25905.700000,-43262.702000,50434.276000,3.163000,50338.043250,50445.037567,96.232750
         10,18.000000,-38.297000,936.068000,25906.100000,-43262.066000,50434.200000,3.228000,50337.411582,50445.831295,96.788418
         10,18.000000,-38.377000,940.735000,25906.200000,-43261.217000,50433.611000,3.308000,50336.634416,50446.838921,96.976584
         10,18.000000,-38.452000,948.089000,25907.000000,-43260.651000,50433.674000,3.383000,50335.906094,50447.814968,97.767906
         10,18.000000,-38.517000,947.452000,25907.600000,-43261.712000,50434.880000,3.448000,50335.275093,50448.685930,99.604907
         10,18.000000,-38.585000,944.341000,25909.100000,-43261.005000,50434.986000,3.516000,50334.615180,50449.622451,100.370820
         10,18.000000,-38.633000,950.917000,25910.300000,-43260.369000,50435.180000,3.564000,50334.149489,50450.299388,101.030511
         10,18.000000,-38.689000,946.109000,25910.900000,-43261.641000,50436.490000,3.620000,50333.606318,50451.105993,102.883682
         10,18.000000,-38.755000,938.755000,25911.700000,-43262.349000,50437.370000,3.686000,50332.966341,50452.080278,104.403659
         10,18.000000,-38.805000,931.755000,25913.300000,-43262.702000,50438.365000,3.736000,50332.481644,50452.835662,105.883356
         10,18.000000,-38.859000,920.653000,25915.300000,-43262.207000,50438.764000,3.790000,50331.958303,50453.668471,106.805697
         10,18.000000,-38.912000,920.441000,25915.900000,-43262.419000,50439.251000,3.843000,50331.444786,50454.503258,107.806214
         10,18.000000,-38.957000,925.532000,25916.300000,-43263.268000,50440.277000,3.888000,50331.008884,50455.225754,109.268116
         10,18.000000,-39.016000,926.876000,25917.200000,-43262.207000,50439.854000,3.947000,50330.437510,50456.192376,109.416490
         10,18.000000,-39.097000,931.330000,25918.400000,-43261.571000,50440.007000,4.028000,50329.653347,50457.555782,110.353653
         10,18.000000,-39.147000,939.250000,25919.300000,-43261.995000,50440.980000,4.078000,50329.169448,50458.418743,111.810552
         10,18.000000,-39.213000,946.675000,25920.600000,-43262.631000,50442.333000,4.144000,50328.530879,50459.583250,113.802121
         10,18.000000,-39.269000,953.533000,25922.200000,-43263.551000,50444.073000,4.200000,50327.989223,50460.594328,116.083777
         10,18.000000,-39.299000,957.493000,25923.700000,-43263.833000,50445.161000,4.230000,50327.699111,50461.144786,117.461889
         10,18.000000,-39.340000,953.463000,25925.600000,-43264.470000,50446.607000,4.271000,50327.302691,50461.907130,119.304309
         10,18.000000,-39.376000,950.917000,25927.200000,-43265.036000,50447.867000,4.307000,50326.954680,50462.586168,120.912320
         10,18.000000,-39.427000,944.129000,25928.800000,-43265.743000,50449.168000,4.358000,50326.461768,50463.563783,122.706232
         10,18.000000,-39.492000,932.532000,25932.000000,-43265.601000,50450.476000,4.423000,50325.833722,50464.836710,124.642278
         10,18.000000,-39.566000,933.098000,25932.800000,-43265.743000,50451.019000,4.497000,50325.118956,50466.323277,125.900044
         10,18.000000,-39.652000,933.664000,25932.300000,-43266.733000,50451.621000,4.583000,50324.288602,50468.101940,127.332398
         10,18.000000,-39.721000,933.240000,25932.900000,-43265.743000,50451.073000,4.652000,50323.622638,50469.569490,127.450362
         10,18.000000,-39.780000,933.876000,25934.300000,-43265.530000,50451.622000,4.711000,50323.053366,50470.853488,128.568634
         10,18.000000,-39.831000,930.835000,25935.200000,-43265.743000,50452.210000,4.762000,50322.561414,50471.985377,129.648586
         10,18.000000,-39.866000,935.573000,25936.100000,-43267.510000,50454.277000,4.797000,50322.223871,50472.774117,132.053129
         10,18.000000,-39.917000,941.583000,25937.300000,-43268.712000,50456.036000,4.848000,50321.732124,50473.941058,134.303876
         10,18.000000,-39.964000,947.523000,25938.100000,-43267.440000,50455.467000,4.895000,50321.279052,50475.035213,134.187948
         10,18.000000,-40.015000,952.756000,25939.200000,-43268.430000,50456.980000,4.946000,50320.787538,50476.243094,136.192462
         10,18.000000,-40.068000,951.554000,25942.200000,-43269.632000,50459.531000,4.999000,50320.276878,50477.521378,139.254122
         10,18.000000,-40.107000,953.816000,25944.300000,-43269.349000,50460.410000,5.038000,50319.901192,50478.477190,140.508808
         10,18.000000,-40.164000,957.988000,25944.300000,-43269.420000,50460.550000,5.095000,50319.352241,50479.897618,141.197759
         10,18.000000,-40.208000,953.604000,25946.200000,-43269.561000,50461.565000,5.139000,50318.928593,50481.013393,142.636407
         10,18.000000,-40.262000,950.988000,25949.100000,-43269.066000,50462.583000,5.193000,50318.408784,50482.406062,144.174216
         10,18.000000,-40.306000,953.039000,25950.600000,-43268.571000,50462.968000,5.237000,50317.985337,50483.560064,144.982663
         10,18.000000,-40.345000,953.180000,25951.900000,-43268.995000,50464.003000,5.276000,50317.610084,50484.597548,146.392916
         10,18.000000,-40.398000,953.675000,25953.700000,-43269.915000,50465.726000,5.329000,50317.100239,50486.029750,148.625761
         10,18.000000,-40.446000,953.463000,25955.900000,-43269.278000,50466.308000,5.377000,50316.638606,50487.349280,149.669394
         10,18.000000,-40.491000,949.644000,25958.100000,-43269.278000,50467.368000,5.422000,50316.205922,50488.605967,151.162078
         10,18.000000,-40.541000,944.483000,25960.200000,-43270.480000,50469.382000,5.472000,50315.725273,50490.024848,153.656727
         10,18.000000,-40.595000,943.846000,25961.900000,-43271.682000,50471.275000,5.526000,50315.206303,50491.584276,156.068697
         10,18.000000,-40.639000,949.220000,25962.000000,-43271.541000,50471.306000,5.570000,50314.783539,50492.875956,156.522461
         10,18.000000,-40.699000,957.423000,25963.400000,-43272.531000,50473.030000,5.630000,50314.207188,50494.668212,158.822812
         10,18.000000,-40.752000,958.483000,25966.000000,-43273.167000,50474.933000,5.683000,50313.698217,50496.281422,161.234783
         10,18.000000,-40.803000,958.766000,25968.000000,-43273.309000,50476.088000,5.734000,50313.208577,50497.860765,162.879423
         10,18.000000,-40.856000,960.463000,25969.400000,-43276.137000,50479.266000,5.787000,50312.699864,50499.530505,166.566136
         10,18.000000,-40.913000,958.625000,25970.600000,-43277.268000,50480.818000,5.844000,50312.152903,50501.359112,168.665097
         10,18.000000,-40.966000,956.362000,25972.600000,-43277.410000,50481.925000,5.897000,50311.644462,50503.090385,170.280538
         10,18.000000,-41.017000,955.089000,25974.400000,-43278.117000,50483.434000,5.948000,50311.155330,50504.784931,172.278670
         10,18.000000,-41.082000,957.210000,25976.300000,-43280.097000,50486.149000,6.013000,50310.532103,50506.985924,175.616897
         10,18.000000,-41.133000,958.342000,25978.200000,-43280.521000,50487.511000,6.064000,50310.043248,50508.745733,177.467752
         10,18.000000,-41.192000,956.433000,25980.200000,-43279.036000,50487.231000,6.123000,50309.477860,50510.818221,177.753140
         10,18.000000,-41.260000,949.857000,25982.100000,-43280.663000,50489.479000,6.191000,50308.826429,50513.256375,180.652571
         10,18.000000,-41.314000,940.028000,25984.200000,-43282.713000,50492.134000,6.245000,50308.309269,50515.230949,183.824731
         10,18.000000,-41.376000,930.128000,25986.400000,-43284.976000,50495.022000,6.307000,50307.715660,50517.540657,187.306340
         10,18.000000,-41.433000,930.553000,25986.200000,-43285.400000,50495.291000,6.364000,50307.170082,50519.704903,188.120918
