Scan started at 15:13:17 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0615234	-0.055542	373.849	0.195622	0.00366779	0.0035614	11.9989	0	-30855.2	-30742.4	-25690.5	0.195622	1062.02	1048.71	926.521	
0.00499208	-0.0626831	-0.0568237	373.856	0.293434	0.0052562	0.00476473	24.7442	0.00499208	-30815.6	-30844.6	-25655.3	0.293434	2279.17	2270.94	2020.9	
0.00998416	-0.0607503	-0.0524089	373.856	0.391245	0.00164434	0.00153429	11.4033	0.00998416	-30877.1	-30818.7	-25628.3	0.391245	1038.86	1036.24	908.503	
0.0149762	-0.056427	-0.0449524	373.857	0.489056	0.00296229	0.00264641	14.9703	0.0149762	-30929.1	-30753.1	-25631.8	0.489056	1375.84	1368.85	1207.12	
0.0199683	-0.0531616	-0.0420227	373.863	0.586867	0.00201247	0.00167059	10.919	0.0199683	-30930.2	-30751.2	-25632	0.586867	998.853	996.234	876.474	
0.0249604	-0.0546875	-0.0419006	373.862	0.684678	0.00208374	0.00194406	10.7934	0.0249604	-30931	-30750.1	-25632.5	0.684678	981.072	979.481	863.79	
0.0299525	-0.0513306	-0.0391235	373.868	0.782489	0.00246515	0.00202944	10.2984	0.0299525	-30930.3	-30751	-25632.5	0.782489	937.974	935.044	826.961	
0.0349446	-0.0486755	-0.0390625	373.866	0.880301	0.00190693	0.001778	8.46252	0.0349446	-30929.8	-30751.8	-25632.3	0.880301	762.269	760.817	667.53	
0.0399366	-0.0499573	-0.0364685	373.863	0.978112	0.00264699	0.00270957	9.52741	0.0399366	-30930.3	-30750.8	-25632	0.978112	866.144	860.995	762.008	
0.0449287	-0.0510559	-0.0387268	373.867	1.07592	0.00195408	0.00205976	6.96339	0.0449287	-30929.4	-30750.7	-25632.6	1.07592	624.267	623.212	544.594	
0.0499208	-0.0505371	-0.0410767	373.866	1.17373	0.00258843	0.0023268	8.62953	0.0499208	-30928.5	-30751.4	-25632.6	1.17373	784.728	780.394	688.456	
0.0549129	-0.0497742	-0.041626	373.865	1.27155	0.00149515	0.00144509	5.91402	0.0549129	-30929.1	-30751.6	-25632	1.27155	527.626	528.13	459.98	
0.059905	-0.0491943	-0.0422669	373.869	1.36936	0.00244495	0.00231552	7.62196	0.059905	-30929	-30750.7	-25631.8	1.36936	692.459	690.137	607.985	
0.064897	-0.0478211	-0.0389099	373.866	1.46717	0.00142858	0.00152672	5.12508	0.064897	-30929.1	-30749.9	-25631.9	1.46717	458.46	456.692	398.241	
0.0698891	-0.0474548	-0.039032	373.866	1.56498	0.00127899	0.00109644	6.54623	0.0698891	-30928.2	-30750.3	-25632.1	1.56498	595.304	591.236	522.291	
0.0748812	-0.0467224	-0.0366211	373.872	1.66279	0.00180626	0.00169578	4.51479	0.0748812	-30928.1	-30750	-25632	1.66279	402.641	404.553	352.469	
0.0798733	-0.0446167	-0.0369263	373.873	1.7606	0.00212616	0.00211036	5.41873	0.0798733	-30928.2	-30749	-25632.2	1.7606	493.019	490.632	432.246	
0.0848654	-0.0454407	-0.0406189	373.873	1.85841	0.00240162	0.00237166	4.01499	0.0848654	-30927.1	-30748.3	-25633	1.85841	362.069	360.1	315.382	
0.0898574	-0.0484619	-0.0394898	373.871	1.95622	0.00117999	0.0011313	4.28467	0.0898574	-30927.1	-30749.3	-25632.9	1.95622	388.379	388.158	342.596	
0.0948495	-0.0534363	-0.0430908	373.872	2.05403	0.00221892	0.00213933	3.60348	0.0948495	-30926.1	-30750.6	-25633.1	2.05403	327.473	324.657	286.109	
0.0998416	-0.0552673	-0.0453186	373.868	2.15185	0.00100456	0.00107627	3.17513	0.0998416	-30926.8	-30749.8	-25633.4	2.15185	288.024	287.056	252.703	
