LINE,X,Y,Bm
         10,18.000000,-35.069000,57.296867
         10,18.000000,-35.129000,57.929519
         10,18.000000,-35.176000,58.430854
         10,18.000000,-35.227000,58.980653
         10,18.000000,-35.268000,59.427073
         10,18.000000,-35.307000,59.855417
         10,18.000000,-35.355000,60.387614
         10,18.000000,-35.387000,60.745510
         10,18.000000,-35.429000,61.219049
         10,18.000000,-35.471000,61.696942
         10,18.000000,-35.509000,62.133112
         10,18.000000,-35.560000,62.724220
         10,18.000000,-35.604000,63.239522
         10,18.000000,-35.652000,63.807366
         10,18.000000,-35.714000,64.549740
         10,18.000000,-35.771000,65.241230
         10,18.000000,-35.827000,65.929094
         10,18.000000,-35.884000,66.638023
         10,18.000000,-35.925000,67.153503
         10,18.000000,-35.958000,67.571812
         10,18.000000,-36.006000,68.185745
         10,18.000000,-36.047000,68.715346
         10,18.000000,-36.104000,69.459680
         10,18.000000,-36.166000,70.280095
         10,18.000000,-36.217000,70.963501
         10,18.000000,-36.270000,71.681999
         10,18.000000,-36.321000,72.381468
         10,18.000000,-36.374000,73.116879
         10,18.000000,-36.434000,73.960039
         10,18.000000,-36.490000,74.757307
         10,18.000000,-36.552000,75.651797
         10,18.000000,-36.591000,76.220898
         10,18.000000,-36.642000,76.972708
         10,18.000000,-36.695000,77.763238
         10,18.000000,-36.734000,78.351037
         10,18.000000,-36.787000,79.158217
         10,18.000000,-36.844000,80.037224
         10,18.000000,-36.900000,80.911978
         10,18.000000,-36.948000,81.670698
         10,18.000000,-37.013000,82.711466
         10,18.000000,-37.070000,83.636949
         10,18.000000,-37.132000,84.657423
         10,18.000000,-37.191000,85.642086
         10,18.000000,-37.230000,86.300329
         10,18.000000,-37.284000,87.221547
         10,18.000000,-37.322000,87.876714
         10,18.000000,-37.376000,88.817674
         10,18.000000,-37.432000,89.805962
         10,18.000000,-37.471000,90.501835
         10,18.000000,-37.527000,91.512096
         10,18.000000,-37.602000,92.885853
         10,18.000000,-37.673000,94.208599
         10,18.000000,-37.744000,95.553407
         10,18.000000,-37.810000,96.823656
         10,18.000000,-37.860000,97.799103
         10,18.000000,-37.929000,99.164119
         10,18.000000,-38.006000,100.713722
         10,18.000000,-38.086000,102.353700
         10,18.000000,-38.163000,103.961653
         10,18.000000,-38.232000,105.427600
         10,18.000000,-38.297000,106.830633
         10,18.000000,-38.377000,108.587392
         10,18.000000,-38.452000,110.264958
         10,18.000000,-38.517000,111.743274
         10,18.000000,-38.585000,113.314546
         10,18.000000,-38.633000,114.439149
         10,18.000000,-38.689000,115.767614
         10,18.000000,-38.755000,117.356363
         10,18.000000,-38.805000,118.576826
         10,18.000000,-38.859000,119.911505
         10,18.000000,-38.912000,121.238444
         10,18.000000,-38.957000,122.378471
         10,18.000000,-39.016000,123.892054
         10,18.000000,-39.097000,126.005498
         10,18.000000,-39.147000,127.330933
         10,18.000000,-39.213000,129.105297
         10,18.000000,-39.269000,130.633284
         10,18.000000,-39.299000,131.460447
         10,18.000000,-39.340000,132.600718
         10,18.000000,-39.376000,133.611365
         10,18.000000,-39.427000,135.058392
         10,18.000000,-39.492000,136.928957
         10,18.000000,-39.566000,139.095037
         10,18.000000,-39.652000,141.662217
         10,18.000000,-39.721000,143.761475
         10,18.000000,-39.780000,145.584957
         10,18.000000,-39.831000,147.182673
         10,18.000000,-39.866000,148.290825
         10,18.000000,-39.917000,149.922790
         10,18.000000,-39.964000,151.445070
         10,18.000000,-40.015000,153.117042
         10,18.000000,-40.068000,154.877094
         10,18.000000,-40.107000,156.187070
         10,18.000000,-40.164000,158.124593
         10,18.000000,-40.208000,159.639093
         10,18.000000,-40.262000,161.520583
         10,18.000000,-40.306000,163.072453
         10,18.000000,-40.345000,164.462265
         10,18.000000,-40.398000,166.372775
         10,18.000000,-40.446000,168.124989
         10,18.000000,-40.491000,169.786881
         10,18.000000,-40.541000,171.655490
         10,18.000000,-40.595000,173.700026
         10,18.000000,-40.639000,175.386516
         10,18.000000,-40.699000,177.716468
         10,18.000000,-40.752000,179.803983
         10,18.000000,-40.803000,181.839140
         10,18.000000,-40.856000,183.981949
         10,18.000000,-40.913000,186.318610
         10,18.000000,-40.966000,188.521610
         10,18.000000,-41.017000,190.669461
         10,18.000000,-41.082000,193.447302
         10,18.000000,-41.133000,195.659003
         10,18.000000,-41.192000,198.253480
         10,18.000000,-41.260000,201.292182
         10,18.000000,-41.314000,203.742838
         10,18.000000,-41.376000,206.598247
         10,18.000000,-41.433000,209.263313
         10,18.000000,-41.489000,211.919463
         10,18.000000,-41.537000,214.226443
         10,18.000000,-41.593000,216.953753
         10,18.000000,-41.647000,219.620722
         10,18.000000,-41.697000,222.123046
         10,18.000000,-41.766000,225.629021
         10,18.000000,-41.831000,228.988641
         10,18.000000,-41.876000,231.347378
         10,18.000000,-41.932000,234.320779
         10,18.000000,-41.968000,236.254821
         10,18.000000,-42.021000,239.134719
         10,18.000000,-42.098000,243.388824
         10,18.000000,-42.140000,245.744779
         10,18.000000,-42.202000,249.269187
         10,18.000000,-42.247000,251.862455
         10,18.000000,-42.286000,254.134231
         10,18.000000,-42.345000,257.614400
         10,18.000000,-42.408000,261.388987
         10,18.000000,-42.479000,265.716483
         10,18.000000,-42.547000,269.935525
         10,18.000000,-42.627000,274.994063
         10,18.000000,-42.678000,278.273381
         10,18.000000,-42.743000,282.515444
         10,18.000000,-42.821000,287.699967
         10,18.000000,-42.886000,292.100162
         10,18.000000,-42.981000,298.664274
         10,18.000000,-43.050000,303.532860
         10,18.000000,-43.109000,307.764493
