Scan started at 15:09:45 24/07/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.174723	-0.0525208	-0.0374451	373.16	3.61901	0.00132914	0.00116347	2.08802	0.174723	-30855.6	-30675.3	-25700.4	3.61901	185.364	185.084	161.338	
0.179715	-0.0473328	-0.0388489	373.162	3.71683	0.00173394	0.00140932	2.26774	0.179715	-30856.3	-30675.2	-25700.6	3.71683	203.739	201.767	177.41	
0.184707	-0.0457153	-0.0369873	373.161	3.81464	0.00100014	0.00107213	1.96194	0.184707	-30856.3	-30674.9	-25700.6	3.81464	175.684	175.289	153.788	
0.189699	-0.0462952	-0.0375671	373.161	3.91245	0.000824782	0.000797764	1.61316	0.189699	-30856.4	-30675	-25700.8	3.91245	145.001	143.468	126.24	
0.194691	-0.0426025	-0.0404968	373.156	4.01026	0.00132816	0.00111785	1.84856	0.194691	-30857	-30673.7	-25700.5	4.01026	167.05	166.332	146.943	
0.199683	-0.0476379	-0.0430908	373.151	4.10807	0.00113939	0.00113022	0.906307	0.199683	-30856.9	-30673.7	-25700.5	4.10807	81.2551	79.5689	70.2606	
0.204675	-0.0502625	-0.0450745	373.152	4.20588	0.000515042	0.000614653	1.75003	0.204675	-30856.2	-30674.3	-25700.8	4.20588	159.378	158.295	140.441	
0.209667	-0.0497437	-0.0438538	373.149	4.30369	0.000323894	0.000280634	0.221868	0.209667	-30856.4	-30674.4	-25701.1	4.30369	16.587	16.3082	14.6501	
0.214659	-0.0508423	-0.0437012	373.149	4.4015	0.000416489	0.000437428	1.67048	0.214659	-30856.3	-30674.9	-25701.4	4.4015	152.407	151.297	134.236	
0.219652	-0.0513611	-0.0419312	373.156	4.49931	0.000611301	0.00061016	0.502514	0.219652	-30856.7	-30674.5	-25701.6	4.49931	43.5932	43.542	38.6485	
0.224644	-0.0507507	-0.0404663	373.154	4.59713	0.000582259	0.000505011	1.60619	0.224644	-30856.8	-30674	-25701.4	4.59713	146.001	144.895	128.164	
0.229636	-0.0497742	-0.0409851	373.155	4.69494	0.000302453	0.000323368	1.06669	0.229636	-30856.2	-30674.1	-25701.3	4.69494	95.4598	94.5266	83.439	
