Scan started at 17:41:38 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0627441	-0.0432129	376.483	0.195622	0.0157758	0.0148986	51.4274	0	-31316.2	-30184.3	-25826.5	0.195622	4831.2	4618.11	4151.51	
0.00499208	-0.0580444	-0.0408936	376.486	0.293434	0.00643403	0.00599715	24.7665	0.00499208	-31405.2	-30152.1	-25779.1	0.293434	2322.19	2220.4	1995.6	
0.00998416	-0.0525309	-0.0382894	376.488	0.391245	0.0106437	0.0105533	10.1382	0.00998416	-31485.5	-30042.2	-25763.5	0.391245	943.595	901.333	812.38	
0.0149762	-0.0515747	-0.0296326	376.492	0.489056	0.00422248	0.0040717	14.8527	0.0149762	-31477.9	-30001.7	-25778.7	0.489056	1393.11	1332.85	1197.54	
0.0199683	-0.0473938	-0.0322266	376.493	0.586867	0.00450493	0.00433278	14.5388	0.0199683	-31479.2	-30000.6	-25778.3	0.586867	1364.99	1305.91	1173.95	
0.0249604	-0.0453796	-0.0326233	376.494	0.684678	0.00555669	0.0054411	10.6074	0.0249604	-31479.1	-30000.7	-25778.4	0.684678	995.454	951.437	855.198	
0.0299525	-0.0445252	-0.0335693	376.5	0.782489	0.00319269	0.00312055	9.28034	0.0299525	-31478.7	-30001.3	-25778.8	0.782489	870.729	832.96	748.772	
0.0349446	-0.0431519	-0.0420837	376.495	0.880301	0.00455227	0.00461032	8.24871	0.0349446	-31480.2	-30000.7	-25778.8	0.880301	773.663	740.769	665.266	
0.0399366	-0.0438538	-0.0420532	376.494	0.978112	0.00410432	0.00399311	5.84536	0.0399366	-31479.8	-30000	-25778.2	0.978112	547.498	523.357	470.53	
0.0449287	-0.0406799	-0.0432739	376.496	1.07592	0.00488455	0.00486181	6.7507	0.0449287	-31480.1	-30000.3	-25778.3	1.07592	633.334	605.536	544.209	
0.0499208	-0.039856	-0.0450134	376.486	1.17373	0.0023329	0.00223596	8.07459	0.0499208	-31478.5	-30001	-25778.7	1.17373	758.465	725.236	651.829	
0.0549129	-0.0411682	-0.0428162	376.486	1.27155	0.00395694	0.00404597	5.71359	0.0549129	-31478.3	-30000.6	-25778.5	1.27155	535.971	512.299	460.477	
0.059905	-0.0444336	-0.037384	376.489	1.36936	0.00254925	0.00280899	1.52583	0.059905	-31479.6	-29999.7	-25777.5	1.36936	137.526	131.427	118.161	
0.064897	-0.0470581	-0.0385437	376.481	1.46717	0.00417659	0.00435934	4.95152	0.064897	-31479.2	-29999.2	-25777.7	1.46717	464.472	444.031	399.111	
0.0698891	-0.0501099	-0.0362549	376.484	1.56498	0.00361313	0.00358119	6.55342	0.0698891	-31478.5	-29999.6	-25778.3	1.56498	615.799	588.579	529.025	
0.0748812	-0.0447388	-0.0375061	376.479	1.66279	0.00175503	0.00171196	4.36831	0.0748812	-31478.5	-29999.9	-25778.3	1.66279	409.851	391.781	352.122	
0.0798733	-0.0427551	-0.0413818	376.479	1.7606	0.00182178	0.00172226	1.18392	0.0798733	-31478.6	-29998.8	-25778.2	1.7606	106.942	102.263	91.9598	
0.0848654	-0.0437012	-0.0395508	376.482	1.85841	0.00499591	0.00516827	3.90769	0.0848654	-31478.8	-29999.1	-25778.1	1.85841	366.64	350.564	315.062	
0.0898574	-0.0413513	-0.0480042	376.483	1.95622	0.00198395	0.00203574	4.8448	0.0898574	-31479.1	-29999.9	-25778	1.95622	455.148	435.192	391.075	
0.0948495	-0.0471191	-0.0497742	376.484	2.05403	0.00496044	0.00476978	3.53656	0.0948495	-31479.5	-29999.7	-25778	2.05403	331.86	317.165	285.109	
0.0998416	-0.0487976	-0.0523682	376.478	2.15185	0.00385913	0.00390928	2.65789	0.0998416	-31479.8	-29999.2	-25777.6	2.15185	248.842	238.01	213.86	
0.104834	-0.0531006	-0.0481262	376.484	2.24966	0.00367958	0.00377619	3.22933	0.104834	-31478.6	-30000.6	-25777.8	2.24966	302.813	289.833	260.369	
0.109826	-0.0533753	-0.0372314	376.487	2.34747	0.00226564	0.00211329	3.09494	0.109826	-31479	-30000.9	-25778.1	2.34747	290.338	277.591	249.466	
0.114818	-0.0511169	-0.0356445	376.491	2.44528	0.00431684	0.00431961	2.97103	0.114818	-31478.7	-30001.4	-25778.1	2.44528	278.748	266.425	239.495	
0.11981	-0.045929	-0.0285645	376.498	2.54309	0.00432188	0.00429379	3.35658	0.11981	-31477.7	-30000.8	-25778.8	2.54309	315.093	301.38	270.816	
0.124802	-0.0421143	-0.0334473	376.494	2.6409	0.00101298	0.000922296	2.7512	0.124802	-31478.7	-29999.8	-25778.4	2.6409	258.162	246.74	221.771	
0.129794	-0.0405579	-0.0378418	376.492	2.73871	0.00189544	0.00196878	1.4469	0.129794	-31478.9	-29999.6	-25777.5	2.73871	134.783	128.683	115.715	
0.134786	-0.0400696	-0.0450134	376.498	2.83652	0.00173844	0.00177777	2.56133	0.134786	-31479	-29998.8	-25778.1	2.83652	240.305	229.719	206.488	
0.139778	-0.0428162	-0.0482483	376.495	2.93434	0.00178758	0.00164262	3.42858	0.139778	-31478	-29999.3	-25778.6	2.93434	322.248	307.948	276.805	
0.14477	-0.0419006	-0.0472107	376.494	3.03215	0.00323747	0.00323812	2.39661	0.14477	-31478.3	-29999	-25778.8	3.03215	224.821	214.847	193.125	
0.149762	-0.0451355	-0.040741	376.494	3.12996	0.00155177	0.00175593	0.184373	0.149762	-31480	-29998.9	-25778	3.12996	3.13008	3.84223	3.54686	
0.154754	-0.0496216	-0.0348206	376.484	3.22777	0.00170131	0.00165154	2.25127	0.154754	-31480.1	-29999.7	-25777.9	3.22777	211.219	201.829	181.432	
0.159747	-0.0503845	-0.0368652	376.482	3.32558	0.00132326	0.00141026	3.02608	0.159747	-31478.3	-30000.3	-25778.7	3.32558	284.297	271.778	244.249	
0.164739	-0.045105	-0.0353088	376.485	3.42339	0.000664998	0.000622671	2.12291	0.164739	-31478.5	-30001.9	-25778.8	3.42339	199.128	190.382	171.105	
0.169731	-0.0452881	-0.0429077	376.484	3.5212	0.0010709	0.00112294	1.12551	0.169731	-31479.3	-30001.5	-25778.3	3.5212	104.825	100.198	90.0779	
0.174723	-0.0416565	-0.0430298	376.488	3.61901	0.00134946	0.00138985	2.00783	0.174723	-31480.7	-30000.6	-25778.3	3.61901	188.31	180.167	161.848	
0.179715	-0.0421143	-0.0436707	376.497	3.71683	0.00100611	0.000843366	2.29704	0.179715	-31480.1	-30001.1	-25779.5	3.71683	215.633	206.235	185.328	
0.184707	-0.0495911	-0.0443726	376.49	3.81464	0.000925431	0.000721233	1.90543	0.184707	-31479.7	-30000.7	-25779.7	3.81464	178.746	170.823	153.558	
0.189699	-0.0471497	-0.0428467	376.49	3.91245	0.00112479	0.00139793	1.8575	0.189699	-31480.4	-29999.9	-25778.5	3.91245	174.209	166.652	149.744	
0.194691	-0.0471497	-0.0409851	376.492	4.01026	0.000729101	0.000660423	1.81233	0.194691	-31480.3	-30000.4	-25778.7	4.01026	170.012	162.612	146.106	
0.199683	-0.0455933	-0.0383911	376.49	4.10807	0.000453606	0.000429049	1.39326	0.199683	-31479.6	-30000.4	-25779.9	4.10807	130.464	124.667	112.05	
0.204675	-0.046936	-0.0417481	376.489	4.20588	0.0015307	0.00168661	1.72807	0.204675	-31479.7	-30000.7	-25779.5	4.20588	162.161	154.982	139.302	
0.209667	-0.0432434	-0.0324097	376.487	4.30369	0.00108448	0.00104264	2.20364	0.209667	-31480	-30000.2	-25778	4.30369	207.059	197.89	177.851	
0.214659	-0.0427856	-0.0332642	376.485	4.4015	0.00096887	0.000913222	1.65165	0.214659	-31480.1	-29999.5	-25778.1	4.4015	154.94	148.107	133.102	
0.219652	-0.0426941	-0.0352173	376.48	4.49931	0.000489459	0.00038994	0.464502	0.219652	-31479	-29999.9	-25778.8	4.49931	41.8464	40.0453	36.0281	
0.224644	-0.0455627	-0.0414734	376.482	4.59713	0.000720028	0.000762704	1.58138	0.224644	-31478.7	-30000.8	-25779.1	4.59713	148.36	141.793	127.474	
0.229636	-0.0525513	-0.0497742	376.484	4.69494	0.00153353	0.00176139	2.18646	0.229636	-31479.9	-30001	-25778.5	4.69494	205.417	196.366	176.49	
0.234628	-0.052002	-0.050293	376.484	4.79275	0.000816292	0.000809138	1.51699	0.234628	-31480.1	-30001.5	-25778.4	4.79275	142.247	136.065	122.275	
0.23962	-0.0491638	-0.0466003	376.489	4.89056	0.00144268	0.00134416	0.425972	0.23962	-31479.7	-30000.8	-25779.2	4.89056	38.5731	36.8112	33.1307	
0.244612	-0.0437012	-0.0362549	376.494	4.98837	0.00164981	0.00159034	1.45738	0.244612	-31480.5	-29999.4	-25778.8	4.98837	136.685	130.766	117.482	
0.249604	-0.0428162	-0.038208	376.495	5.08618	0.00129202	0.00114901	1.86525	0.249604	-31479.9	-29999.5	-25778.1	5.08618	175.155	167.556	150.562	
0.254596	-0.04245	-0.0341187	376.5	5.18399	0.00107405	0.000861604	1.40261	0.254596	-31479.9	-29998.6	-25778	5.18399	131.588	125.793	113.082	
0.259588	-0.0448914	-0.0346069	376.499	5.2818	0.000906374	0.000965422	1.08372	0.259588	-31481.1	-29998.1	-25778	5.2818	101.43	97.063	87.2344	
0.26458	-0.0448608	-0.0385437	376.492	5.37962	0.000568219	0.000805788	1.35171	0.26458	-31480	-29999.8	-25777.9	5.37962	126.718	121.334	108.966	
0.269572	-0.0453491	-0.038971	376.486	5.47743	0.000862191	0.000630573	1.32788	0.269572	-31478.3	-30000.4	-25778.2	5.47743	124.57	119.074	107.012	
0.274564	-0.0481262	-0.0415344	376.477	5.57524	0.000962139	0.000822363	1.30437	0.274564	-31478.7	-30000.5	-25778.8	5.57524	122.376	116.968	105.134	
