Scan started at 17:44:17 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0480957	-0.0429688	375.955	0.195622	0.0154732	0.0151694	50.7066	0	-31541	-30066.1	-25692.3	0.195622	4762.92	4553.58	4092.53	
0.00499208	-0.0410156	-0.0341797	375.953	0.293434	0.00685356	0.00651226	24.7631	0.00499208	-31583.8	-29946.6	-25706.8	0.293434	2321.91	2220.31	1995.19	
0.00998416	-0.0436198	-0.037679	375.95	0.391245	0.00944827	0.00944281	12.9944	0.00998416	-31525.8	-29951.9	-25734.7	0.391245	1214.31	1160.31	1043.91	
0.0149762	-0.0487671	-0.0357056	375.953	0.489056	0.00330492	0.0032464	14.8526	0.0149762	-31477.4	-30014.6	-25740.8	0.489056	1393.11	1332.42	1197.21	
0.0199683	-0.049469	-0.0345459	375.953	0.586867	0.00426498	0.00407509	12.5268	0.0199683	-31478.3	-30014.5	-25740.9	0.586867	1174.81	1124.03	1010.23	
0.0249604	-0.0538635	-0.039032	375.952	0.684678	0.00528382	0.00508203	10.6074	0.0249604	-31478.6	-30015	-25740.9	0.684678	995.225	951.448	855.013	
0.0299525	-0.0524597	-0.0430603	375.953	0.782489	0.00326232	0.00303928	11.2464	0.0299525	-31478.9	-30014.9	-25740.5	0.782489	1056.13	1010.01	907.659	
0.0349446	-0.0465698	-0.0460815	375.955	0.880301	0.00476401	0.00482601	8.24842	0.0349446	-31479.3	-30014.9	-25741.3	0.880301	773.558	740.663	665.28	
0.0399366	-0.0466003	-0.0461731	375.958	0.978112	0.00373672	0.00373907	2.97348	0.0399366	-31478.5	-30015.6	-25741.5	0.978112	274.256	262.707	236.306	
0.0449287	-0.0441589	-0.0448914	375.953	1.07592	0.0047527	0.00481083	6.74957	0.0449287	-31478.2	-30015.8	-25741.4	1.07592	633.206	605.633	544.205	
0.0499208	-0.0456848	-0.0382996	375.953	1.17373	0.00266307	0.00252427	8.73367	0.0499208	-31479	-30014.9	-25741.4	1.17373	820.449	785.035	705.319	
0.0549129	-0.04776	-0.0384216	375.948	1.27155	0.00395579	0.00388662	5.71184	0.0549129	-31480.3	-30013.8	-25740.8	1.27155	535.754	512.53	460.557	
0.059905	-0.0521851	-0.0320129	375.945	1.36936	0.00288501	0.00292395	1.78147	0.059905	-31480.9	-30013.4	-25741.3	1.36936	162.556	155.709	140.096	
0.064897	-0.0493469	-0.0310059	375.951	1.46717	0.00342102	0.00342506	4.95048	0.064897	-31481.2	-30013.9	-25741.3	1.46717	464.202	444.386	399.251	
0.0698891	-0.0487976	-0.0320129	375.952	1.56498	0.00348133	0.00371206	5.78192	0.0698891	-31480.8	-30014.4	-25741.3	1.56498	542.978	519.355	466.701	
0.0748812	-0.0446777	-0.0343018	375.956	1.66279	0.00214495	0.00213414	4.36858	0.0748812	-31480.3	-30015.1	-25741.6	1.66279	409.846	391.785	352.135	
0.0798733	-0.0426025	-0.042572	375.951	1.7606	0.00201984	0.00204548	3.97201	0.0798733	-31479.6	-30016.3	-25741.5	1.7606	372.398	356.391	320.204	
0.0848654	-0.0457459	-0.0422974	375.949	1.85841	0.00511731	0.00489983	3.90847	0.0848654	-31478.8	-30016.5	-25741.6	1.85841	366.653	350.697	315.144	
0.0898574	-0.0459595	-0.0431824	375.95	1.95622	0.00174657	0.00168567	2.81631	0.0898574	-31479.2	-30016.6	-25741.2	1.95622	263.591	251.945	226.507	
0.0948495	-0.0484314	-0.0386047	375.948	2.05403	0.00445962	0.00416203	3.53596	0.0948495	-31479.2	-30015.2	-25740.9	2.05403	331.73	317.227	285.106	
