X,Y,Z
-1527.1694481698796,-3678.9022382671246,-279.4
-1441.1294481698424,-3677.8222382671665,-273.22
-1354.4794481694698,-3676.1422382671735,-266.65999999999997
-1267.2094481699169,-3674.4622382671223,-259.84000000000003
-1179.6394481696188,-3672.1822382671526,-252.12
-1091.1394481696188,-3669.3222382671665,-244.59000000000003
-1001.7194481696934,-3665.562238267157,-238.26
-912.2994481697679,-3661.2122382671223,-232.83000000000004
-822.8794481698424,-3657.162238267134,-227.67999999999995
-733.1594481701031,-3652.812238267157,-222.76
-643.1194481700659,-3648.762238267169,-218.76999999999998
-553.0894481698051,-3644.7122382671223,-214.16999999999996
-463.04944816976786,-3640.952238267171,-209.20000000000005
-372.70944816991687,-3637.4922382671502,-203.92999999999995
-282.3694481700659,-3634.632238267164,-198.30999999999995
-192.02944816928357,-3632.062238267157,-192.83000000000004
-101.37944816984236,-3630.092238267127,-188.01999999999998
-10.429448169656098,-3628.412238267134,-182.60000000000002
80.52055183053017,-3627.9222382671433,-176.52999999999997
171.78055183030665,-3628.3322382671176,-170.24
263.04055183008313,-3629.9222382671433,-164.32000000000005
354.6005518306047,-3633.0022382671596,-159.5
445.8505518306047,-3637.262238267169,-155.04999999999995
537.1105518303812,-3643.012238267169,-150.55999999999995
628.0505518298596,-3649.6522382671246,-147.01
719.3005518298596,-3657.1822382671526,-143.90999999999997
810.5505518298596,-3665.012238267169,-140.32000000000005
901.8005518298596,-3672.2422382671502,-136.03999999999996
993.0505518298596,-3678.5822382671176,-131.72000000000003
1084.6105518303812,-3684.0422382671386,-127.20000000000005
1176.1705518299714,-3688.302238267148,-122.11000000000001
1267.730551830493,-3691.382238267164,-116.75999999999999
1359.3005518298596,-3693.27223826712,-111.53999999999996
1450.8605518303812,-3694.27223826712,-106.33000000000004
1542.4305518306792,-3694.6722382671433,-101.59000000000003
1634.0005518300459,-3694.482238267141,-96.94000000000005
1725.8705518301576,-3693.9922382671502,-92.44000000000005
1817.4405518304557,-3692.912238267134,-88.29999999999995
1908.7005518302321,-3691.2422382671502,-84.49000000000001
1999.9605518300086,-3688.6722382671433,-80.72000000000003
2091.2205518307164,-3684.9222382671433,-77.06
2182.180551830679,-3681.162238267134,-72.30000000000001
2273.4405518304557,-3677.702238267171,-67.62
2364.700551830232,-3675.1422382671735,-63.69999999999999
2455.9605518300086,-3673.4622382671223,-60.379999999999995
2547.2205518307164,-3673.27223826712,-57.18000000000001
2638.1705518299714,-3674.8622382671456,-53.25999999999999
2729.1205518301576,-3677.6422382671735,-49.45999999999998
2819.7605518307537,-3681.6122382671456,-46.410000000000025
2910.090551829897,-3687.3622382671456,-44.129999999999995
3000.4205518299714,-3693.702238267171,-42.410000000000025
3090.4405518304557,-3700.6422382671735,-41.06999999999999
3179.8505518306047,-3706.982238267141,-41.51999999999998
3268.640551830642,-3713.02223826712,-44.18000000000001
3357.130551829934,-3718.4722382671316,-46.420000000000016
3445.000551830046,-3722.732238267141,-47.64999999999998
3532.570551830344,-3725.812238267157,-48.360000000000014
3619.8305518301204,-3727.3922382671735,-48.35000000000002
3706.790551830083,-3727.202238267171,-45.47000000000003
3793.750551830046,-3725.812238267157,-41.45999999999998
3881.0105518307537,-3723.842238267127,-38.129999999999995
3968.590551829897,-3721.562238267157,-35.75
4056.160551830195,-3719.592238267127,-34.089999999999975
4143.740551830269,-3717.6122382671456,-33.339999999999975
4066.610551830381,-3187.342238267127,-21.50999999999999
3981.8005518298596,-3187.8322382671176,-18.810000000000002
3896.6905518304557,-3188.632238267164,-17.420000000000016
3811.880551829934,-3189.4222382671433,-17.55000000000001
3726.77055183053,-3190.512238267169,-18.25999999999999
3642.27055183053,-3191.9022382671246,-19.54000000000002
3557.4605518300086,-3193.2922382671386,-21.360000000000014
3473.27055183053,-3194.0822382671176,-23.600000000000023
3389.0805518301204,-3194.5822382671176,-26.019999999999982
3305.1905518304557,-3193.8922382671735,-27.75
3221.3105518305674,-3192.012238267169,-28.519999999999982
3137.430551830679,-3189.2422382671502,-29.579999999999984
3053.860551830381,-3185.882238267164,-30.930000000000007
2969.980551830493,-3182.52223826712,-32.29000000000002
2886.1005518306047,-3179.452238267171,-33.69999999999999
2802.2205518307164,-3176.092238267127,-35.24000000000001
2718.3305518301204,-3173.622238267155,-36.120000000000005
2634.140551830642,-3171.7422382671502,-36.94999999999999
2550.2605518307537,-3170.162238267134,-38.06999999999999
2466.380551829934,-3169.4722382671316,-39.74000000000001
2382.500551830046,-3168.482238267141,-42.01999999999998
2298.9205518299714,-3168.982238267141,-45.22000000000003
2215.340551829897,-3170.9622382671223,-47.39999999999998
2131.7605518307537,-3173.842238267127,-49.72000000000003
2048.180551830679,-3177.6022382671363,-51.79000000000002
1964.5905518298969,-3182.552238267148,-52.94
1881.320551830344,-3188.1022382671363,-53.30000000000001
1797.7405518302694,-3193.6522382671246,-55.06999999999999
1714.7705518305302,-3199.4922382671502,-59.089999999999975
1632.410551830195,-3205.9322382671526,-64.13
1550.3605518303812,-3212.6722382671433,-69.73000000000002
1468.9305518306792,-3219.1122382671456,-75.54000000000002
1388.1105518303812,-3225.8522382671363,-81.17000000000002
1307.910551830195,-3231.9922382671502,-87.32000000000005
1228.6205518301576,-3237.842238267127,-93.83000000000004
1149.9605518300086,-3243.692238267162,-100.55999999999995
1071.6005518306047,-3249.2422382671502,-107.01999999999998
993.8505518306047,-3254.5022382671596,-112.80999999999995
916.7205518307164,-3259.4622382671223,-117.94000000000005
839.9005518304184,-3264.122238267155,-122.58000000000004
763.3805518299341,-3266.7122382671223,-126.70000000000005
687.4905518302694,-3268.1022382671363,-131.12
611.9005518304184,-3267.7222382671316,-135.83000000000004
536.6205518301576,-3266.452238267171,-140.51
461.34055182989687,-3263.982238267141,-144.77999999999997
386.37055183015764,-3260.0422382671386,-148.58000000000004
311.7105518300086,-3255.202238267171,-152.33000000000004
237.36055183038116,-3249.77223826712,-156.10000000000002
163.01055183075368,-3243.7422382671502,-160.16999999999996
89.27055183053017,-3237.4222382671433,-164.62
15.53055183030665,-3230.512238267169,-169.13
-58.199448170140386,-3223.0022382671596,-174.30999999999995
-131.62944816984236,-3214.9022382671246,-179.03999999999996
-205.35944816935807,-3206.5022382671596,-182.30999999999995
-279.0994481695816,-3198.3922382671735,-184.72000000000003
-352.8394481698051,-3190.2922382671386,-187.57000000000005
-426.2594481697306,-3183.382238267164,-192.07000000000005
-499.38944816961884,-3177.062238267157,-198.20000000000005
-572.1994481701404,-3172.52223826712,-205.19000000000005
-645.0194481695071,-3168.5722382671665,-212.01999999999998
-717.8394481698051,-3165.8222382671665,-218.49
-790.3594481693581,-3163.662238267134,-224.57000000000005
-862.8694481700659,-3162.982238267141,-230.24
-935.0794481700286,-3163.192238267162,-235.94000000000005
-1006.9794481694698,-3165.192238267162,-242.14
-1078.5794481700286,-3168.6722382671433,-248.33000000000004
-1149.8694481700659,-3173.342238267127,-254.64999999999998
-1220.859448169358,-3178.9022382671246,-261.14
-1291.5394481699914,-3185.952238267171,-267.51
-1361.9094481701031,-3193.882238267164,-273.27
-1432.2894481699914,-3203.012238267169,-278.04999999999995
-1502.6594481701031,-3212.4322382671526,-282.28999999999996
-1572.7294481694698,-3222.1522382671246,-286.17999999999995
-1643.109448169358,-3230.982238267141,-289.61
-1713.7894481699914,-3238.6122382671456,-292.38
-1785.0794481700286,-3245.9622382671223,-294.87
-1856.679448169656,-3252.702238267171,-295.66999999999996
-1928.8994481693953,-3258.562238267157,-294.82000000000005
-2001.7294481694698,-3263.232238267141,-292.95000000000005
-2075.47944816947,-3267.8922382671735,-290.61
-2149.839448169805,-3270.7822382671293,-287.80999999999995
-2225.119448170066,-3272.4722382671316,-284.55999999999995
-2301.6294481698424,-3272.982238267141,-279.78
-2378.7594481697306,-3272.592238267127,-274.11
-2457.109448169358,-3270.7222382671316,-267.89
-2536.069448169321,-3267.9622382671223,-261.73
-2616.269448169507,-3264.302238267148,-256.73
-2697.6894481694326,-3260.3522382671363,-253.64
-2779.7194481696934,-3255.202238267171,-251.01
-2862.369448170066,-3249.762238267169,-249.08000000000004
-2945.3294481700286,-3244.0322382671293,-247.55999999999995
-3028.8994481693953,-3237.692238267162,-246.23000000000002
-3112.4694481696934,-3231.3622382671456,-245.59000000000003
-3196.0394481699914,-3224.732238267141,-248.53999999999996
-3278.9894481692463,-3218.702238267171,-253.12
-3361.9494481701404,-3212.0722382671665,-258.87
-3444.5994481695816,-3205.7422382671502,-265.54999999999995
-3526.3294481700286,-3200.302238267148,-272.9
-3607.749448169954,-3195.4622382671223,-280.67999999999995
-3688.249448169954,-3191.2122382671223,-288.32000000000005
-3768.1294481698424,-3187.562238267157,-295.70000000000005
-3847.409448170103,-3185.092238267127,-302.37
-3926.0594481695443,-3183.2222382671316,-308.77
-4004.4194481698796,-3182.5322382671293,-315.44000000000005
-4082.159448170103,-3182.7422382671502,-322.34000000000003
-4135.689448169433,-2704.3622382671456,-283.4
-4061.3294481700286,-2702.9622382671223,-279.44000000000005
-3986.049448169768,-2700.9622382671223,-272.96000000000004
-3909.839448169805,-2699.562238267157,-264.41999999999996
-3832.409448170103,-2697.872238267155,-254.46000000000004
-3754.049448169768,-2696.4722382671316,-243.40999999999997
-3674.159448170103,-2695.9722382671316,-232.09000000000003
-3593.0394481699914,-2695.762238267169,-221.20000000000005
-3510.389448169619,-2696.452238267171,-210.64
-3427.119448170066,-2697.1422382671735,-200.26999999999998
-3342.619448170066,-2698.122238267155,-189.88
-3257.1994481701404,-2699.412238267134,-179.67999999999995
-3170.859448169358,-2700.9922382671502,-170.32000000000005
-3083.909448170103,-2702.872238267155,-161.42999999999995
-2996.0294481692836,-2704.7522382671596,-153.42999999999995
-2907.5394481699914,-2706.632238267164,-147.53999999999996
-2818.429448169656,-2708.512238267169,-143.39
-2729.019448169507,-2710.1022382671363,-140.20000000000005
-2639.909448170103,-2711.982238267141,-138.95000000000005
-2550.8094481695443,-2714.162238267134,-140.62
-2462.619448170066,-2716.9322382671526,-144.41999999999996
-2375.359448169358,-2720.0022382671596,-149.51999999999998
-2288.709448169917,-2723.0722382671665,-155.37
-2203.299448169768,-2726.4322382671526,-162.14
-2118.4894481692463,-2729.202238267171,-170.10000000000002
-2035.2294481694698,-2730.7822382671293,-178.90999999999997
-1952.8794481698424,-2731.1722382671433,-188.0
-1871.4494481701404,-2730.662238267134,-197.13
-1790.9494481701404,-2729.27223826712,-206.17999999999995
-1711.359448169358,-2726.692238267162,-214.51
-1632.3894481696188,-2723.812238267157,-221.80999999999995
-1554.339448169805,-2720.632238267164,-227.99
-1476.2894481699914,-2717.1522382671246,-232.39
-1398.5394481699914,-2713.0822382671176,-234.57000000000005
-1320.4894481692463,-2709.312238267157,-234.37
-1242.4394481694326,-2705.5422382671386,-231.60000000000002
-1163.4694481696934,-2702.062238267157,-225.60000000000002
-1083.8794481698424,-2698.592238267127,-216.62
-1003.3794481698424,-2695.412238267134,-205.94000000000005
-921.3294481700286,-2692.8322382671176,-194.17999999999995
-838.3694481700659,-2690.552238267148,-181.72000000000003
-754.1694481698796,-2689.162238267134,-169.38
-668.4494481701404,-2688.662238267134,-157.76999999999998
-581.4894481692463,-2689.062238267157,-146.64999999999998
-493.9194481698796,-2689.452238267171,-136.27999999999997
-405.1194481700659,-2690.452238267171,-127.96000000000004
-316.3194481693208,-2691.1422382671735,-122.38999999999999
-227.20944816991687,-2691.8322382671176,-118.64999999999998
-137.79944816976786,-2692.5322382671293,-115.91999999999996
-48.68944816943258,-2692.632238267164,-114.17999999999995
40.42055182997137,-2692.732238267141,-112.77999999999997
129.53055183030665,-2692.5322382671293,-111.45000000000005
218.94055183045566,-2692.632238267164,-110.78999999999996
307.7405518302694,-2692.732238267141,-111.09000000000003
396.2405518302694,-2692.8322382671176,-112.49000000000001
484.7305518304929,-2692.632238267164,-115.13999999999999
572.6105518303812,-2692.732238267141,-118.80999999999995
660.1805518306792,-2692.8322382671176,-122.51999999999998
747.1405518306419,-2692.342238267127,-124.65999999999997
834.1005518306047,-2691.842238267127,-123.57000000000005
921.3605518303812,-2691.052238267148,-119.75
1008.9305518306792,-2689.662238267134,-114.98000000000002
1096.8105518305674,-2688.27223826712,-109.89999999999998
1184.7005518302321,-2686.8922382671735,-104.58000000000004
1272.8805518299341,-2685.202238267171,-99.11000000000001
1361.6905518304557,-2683.52223826712,-93.63
1450.8005518298596,-2681.842238267127,-87.96000000000004
1539.910551830195,-2680.162238267134,-82.11000000000001
1629.6305518299341,-2678.7822382671293,-76.75
1719.660551830195,-2678.2822382671293,-72.14999999999998
1810.3005518298596,-2678.382238267164,-67.79000000000002
1900.9505518302321,-2679.382238267164,-63.23000000000002
1991.9005518304184,-2680.9622382671223,-59.120000000000005
2082.8505518306047,-2682.552238267148,-55.69
2173.8005518298596,-2684.1422382671735,-52.75999999999999
2264.7405518302694,-2685.732238267141,-50.660000000000025
2355.0805518301204,-2687.312238267157,-49.19999999999999
2445.410551830195,-2689.4922382671502,-47.79000000000002
2535.750551830046,-2691.382238267164,-45.99000000000001
2625.7805518303066,-2693.262238267169,-43.69
2715.8005518298596,-2694.552238267148,-41.14999999999998
2805.8305518301204,-2695.2422382671502,-38.81999999999999
2895.860551830381,-2695.6422382671735,-36.75
2985.890551830642,-2695.1522382671246,-34.5
3075.6205518301576,-2694.062238267157,-32.01999999999998
3165.0305518303066,-2691.4922382671502,-29.689999999999998
3254.450551830232,-2688.02223826712,-27.470000000000027
3343.570551830344,-2683.372238267155,-25.5
3432.070551830344,-2677.8322382671176,-24.069999999999993
3520.8705518301576,-2671.3922382671735,-22.79000000000002
3609.3705518301576,-2664.9622382671223,-20.019999999999982
3697.570551830344,-2659.412238267134,-16.060000000000002
3786.3705518301576,-2655.952238267171,-13.430000000000007
3875.1705518299714,-2654.562238267157,-12.689999999999998
3964.2805518303066,-2654.9622382671223,-12.769999999999982
4053.0805518301204,-2657.1422382671735,-12.850000000000023
4141.570551830344,-2661.1022382671363,-12.100000000000023
4068.3305518301204,-2204.5022382671596,-35.089999999999975
3988.4405518304557,-2202.9222382671433,-35.910000000000025
3908.5505518298596,-2201.052238267148,-37.22000000000003
3828.6705518299714,-2198.8922382671735,-39.360000000000014
3748.7805518303066,-2197.02223826712,-41.620000000000005
3669.200551830232,-2195.1522382671246,-44.25
3590.230551830493,-2193.5722382671665,-47.06999999999999
3511.27055183053,-2191.412238267134,-49.670000000000016
3432.610551830381,-2189.5422382671386,-51.79000000000002
3353.950551830232,-2187.372238267155,-53.120000000000005
3275.290551830083,-2185.2122382671223,-53.76999999999998
3196.630551829934,-2183.6422382671735,-54.079999999999984
3118.2805518303066,-2182.662238267134,-54.27999999999997
3039.6205518301576,-2182.2822382671293,-54.64999999999998
2960.9605518300086,-2182.4922382671502,-55.339999999999975
2882.3005518298596,-2183.8922382671735,-55.95999999999998
2803.630551829934,-2187.0722382671665,-57.06
2724.9705518307164,-2190.842238267127,-57.99000000000001
2646.000551830046,-2194.02223826712,-58.75999999999999
2567.0305518303066,-2196.6122382671456,-59.94999999999999
2488.360551830381,-2198.012238267169,-61.610000000000014
2409.390551830642,-2199.1122382671456,-63.02999999999997
2330.1205518301576,-2199.6122382671456,-63.120000000000005
2250.840551829897,-2199.8222382671665,-61.079999999999984
2171.570551830344,-2199.7422382671502,-58.47000000000003
2091.680551830679,-2199.6522382671246,-56.10000000000002
2011.7905518300831,-2199.562238267157,-53.889999999999986
1931.5905518298969,-2199.4722382671316,-52.129999999999995
1851.4005518304184,-2198.7922382671386,-51.70999999999998
1770.890551830642,-2196.9222382671433,-52.68000000000001
1690.7005518302321,-2194.452238267171,-54.24000000000001
1610.8105518305674,-2191.1022382671363,-56.120000000000005
1530.9305518306792,-2187.452238267171,-58.25
1451.0405518300831,-2184.092238267127,-60.10000000000002
1371.4605518300086,-2181.0422382671386,-61.35000000000002
1292.1905518304557,-2179.1722382671433,-63.18000000000001
1212.9205518299714,-2178.192238267162,-65.75
1133.9505518302321,-2178.1022382671363,-68.68
1054.980551830493,-2178.6122382671456,-71.79000000000002
976.3205518303439,-2179.122238267155,-75.00999999999999
897.9605518300086,-2179.3322382671176,-79.05000000000001
819.6105518303812,-2179.2422382671502,-84.66999999999996
742.1805518306792,-2178.562238267157,-90.94000000000005
664.7505518300459,-2178.1822382671526,-97.26999999999998
588.2405518302694,-2178.092238267127,-103.41999999999996
511.4205518299714,-2177.7122382671223,-108.76999999999998
435.22055183071643,-2178.52223826712,-112.79999999999995
359.3205518303439,-2179.3322382671176,-115.55999999999995
283.4305518306792,-2179.842238267127,-118.02999999999997
207.53055183030665,-2180.3522382671363,-120.13
132.25055183004588,-2181.162238267134,-121.67999999999995
56.66055183019489,-2181.6722382671433,-124.0
-18.009448169730604,-2181.882238267164,-127.0
-92.66944816987962,-2182.1022382671363,-129.97000000000003
-166.72944816946983,-2182.6122382671456,-132.17999999999995
-241.0894481698051,-2182.8222382671665,-133.33000000000004
-315.4394481694326,-2183.0422382671386,-133.86
-389.79944816976786,-2183.552238267148,-134.92999999999995
-463.8594481693581,-2183.77223826712,-136.96000000000004
-537.2894481699914,-2183.692238267162,-140.65999999999997
-610.7294481694698,-2183.9022382671246,-145.23000000000002
-683.5494481697679,-2183.8222382671665,-150.28999999999996
-755.7594481697306,-2183.7422382671502,-155.95000000000005
-827.3594481693581,-2183.9622382671223,-161.87
-898.0294481692836,-2184.1822382671526,-169.39999999999998
-968.0894481698051,-2184.4022382671246,-177.88
-1037.5294481692836,-2185.2122382671223,-186.23000000000002
-1106.9694481696934,-2186.3222382671665,-193.29999999999995
-1175.7994481697679,-2187.442238267162,-198.08000000000004
-1244.9394481694326,-2188.552238267148,-200.41999999999996
-1314.0794481700286,-2189.9622382671223,-201.85000000000002
-1383.2094481699169,-2191.3622382671456,-202.40999999999997
-1452.6594481701031,-2193.372238267155,-202.27999999999997
-1522.4094481701031,-2195.372238267155,-201.52999999999997
-1592.7794481692836,-2197.6722382671433,-199.70000000000005
-1663.4494481701404,-2199.9622382671223,-196.11
-1735.359448169358,-2202.262238267169,-190.37
-1808.179448169656,-2204.262238267169,-182.35000000000002
-1882.2294481694698,-2205.3622382671456,-172.88
-1957.8194481693208,-2206.1722382671433,-162.96000000000004
-2034.3294481700286,-2205.4922382671502,-153.25
-2111.7594481697306,-2203.9222382671433,-144.30999999999995
-2190.4194481698796,-2201.4622382671223,-136.07000000000005
-2269.999448169954,-2199.2922382671386,-129.01999999999998
-2350.1994481701404,-2196.8322382671176,-123.41999999999996
-2430.999448169954,-2194.372238267155,-119.50999999999999
-2512.429448169656,-2192.4922382671502,-117.16999999999996
-2593.8494481695816,-2190.622238267155,-115.61000000000001
-2674.9694481696934,-2188.452238267171,-114.05999999999995
-2756.389448169619,-2186.2922382671386,-112.76999999999998
-2837.819448169321,-2184.412238267134,-112.70000000000005
-2918.6294481698424,-2183.4322382671526,-113.94000000000005
-2999.4394481694326,-2183.052238267148,-116.09000000000003
-3079.639448169619,-2183.262238267169,-118.98000000000002
-3159.2194481696934,-2182.872238267155,-124.21000000000004
-3238.1894481694326,-2182.192238267162,-130.40999999999997
-3316.22944816947,-2181.512238267169,-136.58000000000004
-3393.6694481698796,-2181.132238267164,-143.19000000000005
-3469.869448170066,-2180.7522382671596,-150.99
-3545.459448169917,-2180.0722382671665,-160.26999999999998
-3620.119448170066,-2179.3922382671735,-169.89
-3693.5594481695443,-2179.02223826712,-179.23000000000002
-3766.3794481698424,-2178.342238267127,-188.13
-3838.589448169805,-2178.262238267169,-196.27999999999997
-3909.8794481698424,-2178.7822382671293,-203.46000000000004
-3980.859448169358,-2179.0022382671596,-210.04999999999995
-4050.909448170103,-2179.812238267157,-216.82000000000005
-4120.66944816988,-2180.3322382671176,-223.54999999999995
-4105.119448170066,-1735.27223826712,-214.73000000000002
-4026.459448169917,-1735.662238267134,-214.65999999999997
-3947.4894481692463,-1735.4522382671712,-212.40999999999997
-3868.2194481696934,-1735.232238267141,-207.92999999999995
-3788.3294481700286,-1734.4322382671526,-201.79999999999995
-3707.819448169321,-1733.0322382671293,-194.05999999999995
-3626.0794481700286,-1731.6422382671735,-184.91999999999996
-3543.429448169656,-1729.6522382671246,-174.64999999999998
-3459.5394481699914,-1727.3622382671456,-163.35000000000002
-3374.72944816947,-1724.4922382671502,-151.49
-3288.6894481694326,-1720.4222382671433,-141.20000000000005
