 index dobs regional res_data x y z
0 2843 449.9415978035331 445.31344264596436 4.628155157568756 -4920.922962550074 -4629.405631446862 -63.289999999999964
1 2844 444.27201891639345 445.43117740941625 -1.159158493022801 -4818.922962550074 -4630.405631446862 -62.09000000000003
2 2845 442.85323504213204 445.55006966231645 -2.6968346201844042 -4715.922962550074 -4631.405631446862 -63.14999999999998
3 2846 436.49920593260146 445.66929107549294 -9.17008514289148 -4612.922962550074 -4631.405631446862 -69.13999999999999
4 2847 441.51255772142855 445.7885124886695 -4.275954767240933 -4509.922962550074 -4631.405631446862 -73.77999999999997
5 2848 449.9153610190013 445.9069055726739 4.008455446327389 -4407.922962550074 -4630.405631446862 -77.24000000000001
6 2849 437.5534616888924 446.0252986566784 -8.471836967785976 -4305.922962550074 -4629.405631446862 -80.47000000000003
7 2850 441.4492540470589 446.14402090095916 -4.694766853900262 -4203.922962550074 -4627.405631446862 -83.07000000000005
8 2851 438.6640820622438 446.26158565579163 -7.597503593547856 -4102.922962550074 -4625.405631446862 -85.49000000000001
9 2852 446.8374994454419 446.37915041062405 0.45834903481784295 -4001.922962550074 -4623.405631446862 -89.63999999999999
10 2853 434.0074255570599 446.49704432573276 -12.48961876867287 -3900.922962550074 -4620.405631446862 -92.97000000000003
11 2854 436.53620093012273 446.61493824084147 -10.078737310718736 -3799.922962550074 -4617.405631446862 -96.32000000000005
12 2855 438.67118097797874 446.73316131622653 -8.061980338247793 -3698.922962550074 -4613.405631446862 -99.85000000000002
13 2856 431.1873660622815 446.84956858161064 -15.662202519329128 -3598.922962550074 -4611.405631446862 -102.26999999999998
14 2857 425.97246604919644 446.96680417616676 -20.99433812697032 -3497.922962550074 -4610.405631446862 -103.67999999999995
15 2858 445.05425871159895 447.08222396072205 -2.027965249123099 -3397.922962550074 -4611.405631446862 -104.66999999999996
16 2859 438.4576160793286 447.19847207444934 -8.74085599512074 -3296.922962550074 -4613.405631446862 -105.80999999999995
17 2860 432.18073007845584 447.31356269872833 -15.132832620272495 -3196.922962550074 -4615.405631446862 -105.87
18 2861 430.7054352800604 447.43013997273187 -16.72470469267148 -3095.922962550074 -4616.405631446862 -106.51999999999998
19 2862 428.2329113822715 447.54588891756345 -19.312977535291964 -2995.922962550074 -4616.405631446862 -108.70000000000005
20 2863 429.44657559642246 447.66163786239497 -18.215062265972506 -2895.922962550074 -4616.405631446862 -112.53999999999996
21 2864 424.4991678066712 447.77622931777825 -23.277061511107036 -2796.922962550074 -4616.405631446862 -115.61000000000001
22 2865 426.1759961890846 447.89049161288517 -21.7144954238006 -2697.922962550074 -4617.405631446862 -122.25
23 2866 432.06007559539495 448.00409558743956 -15.944019992044616 -2598.922962550074 -4620.405631446862 -129.47000000000003
24 2867 420.6802183040402 448.1162129122693 -27.435994608229123 -2500.922962550074 -4624.405631446862 -135.04999999999995
25 2868 427.90683792773467 448.2268435873745 -20.320005659639833 -2403.922962550074 -4629.405631446862 -139.36
26 2869 418.93886097595725 448.338631751928 -29.39977077597075 -2305.922962550074 -4634.405631446862 -141.47000000000003
27 2870 419.1065704655336 448.45074907675775 -29.34417861122415 -2207.922962550074 -4638.405631446862 -142.35000000000002
28 2871 422.0489936385275 448.56435305131214 -26.51535941278462 -2108.922962550074 -4641.405631446862 -143.24
29 2872 420.0355492976831 448.6786153464191 -28.643066048736046 -2009.9229625500739 -4642.405631446862 -143.26
30 2873 419.35215476806775 448.79320680180234 -29.441052033734593 -1910.9229625500739 -4642.405631446862 -142.39999999999998
31 2874 418.6540712653304 448.90812741746186 -30.254056152131454 -1811.9229625500739 -4641.405631446862 -140.71000000000004
32 2875 420.83204370545104 449.02486384312226 -28.19282013767122 -1711.9229625500739 -4638.405631446862 -139.26
33 2876 418.2744287920749 449.1424285979547 -30.867999805879776 -1610.9229625500739 -4636.405631446862 -138.74
34 2877 412.20098831972615 449.25883586333885 -37.057847543612695 -1510.9229625500739 -4634.405631446862 -138.89999999999998
35 2878 412.7142569154696 449.376071457895 -36.66181454242542 -1409.9229625500739 -4633.405631446862 -139.11
36 2879 411.58546951162367 449.49297789217485 -37.90750838055118 -1308.9229625500739 -4633.405631446862 -139.95000000000005
37 2880 407.51491147737835 449.61071265562674 -42.095801178248394 -1206.9229625500739 -4634.405631446862 -142.04999999999995
38 2881 410.98546294655847 449.72778909852605 -38.742326151967575 -1104.9229625500739 -4637.405631446862 -144.02999999999997
39 2882 401.6901208652267 449.84519470170164 -48.15507383647497 -1002.9229625500739 -4639.405631446862 -146.17999999999995
40 2883 394.11051166102726 449.9626003048773 -55.85208864385004 -900.9229625500739 -4641.405631446862 -146.51999999999998
41 2884 398.5163006068533 450.0823208869495 -51.56602028009621 -796.9229625500739 -4643.405631446862 -145.98000000000002
42 2885 395.4264917926052 450.20237062929806 -54.77587883669287 -692.9229625500739 -4644.405631446862 -146.49
43 2886 389.3027323952749 450.32242037164656 -61.01968797637164 -588.9229625500739 -4645.405631446862 -146.49
44 2887 393.9953479305128 450.4439567637197 -56.44860883320689 -483.92296255007386 -4645.405631446862 -145.76
45 2888 401.3467440232355 450.5666506452411 -49.219906622005624 -377.92296255007386 -4645.405631446862 -145.64999999999998
46 2889 394.3598317828967 450.68851619759056 -56.32868441469384 -272.92296255007386 -4644.405631446862 -149.26
47 2890 387.09271423300885 450.8110400704926 -63.71832583748375 -167.92296255007386 -4641.405631446862 -153.63
48 2891 394.28584044888714 450.9320772936699 -56.64623684478278 -63.92296255007386 -4639.405631446862 -156.97000000000003
49 2892 398.9302407079686 451.0516278671227 -52.1213871591541 39.07703744992614 -4638.405631446862 -163.21000000000004
50 2893 398.104421754297 451.1720067697475 -53.067585015450504 143.07703744992614 -4638.405631446862 -168.84000000000003
51 2894 386.73486405590427 451.2900706934757 -64.55520663757142 245.07703744992614 -4638.405631446862 -172.91999999999996
52 2895 392.91344800825 451.4092921066522 -58.49584409840219 348.07703744992614 -4638.405631446862 -177.12
53 2896 388.90588860318115 451.52735603038036 -62.62146742719921 450.07703744992614 -4638.405631446862 -181.90999999999997
54 2897 391.7064746630408 451.64541995410855 -59.93894529106774 552.0770374499261 -4638.405631446862 -186.51999999999998
55 2898 398.9866075694136 451.7611688989401 -52.774561329526534 652.0770374499261 -4638.405631446862 -193.01999999999998
56 2899 397.73388266095236 451.87724700404794 -54.143364343095584 752.0770374499261 -4637.405631446862 -200.17999999999995
57 2900 396.9482891298016 451.99216761970746 -55.043878489905865 851.0770374499261 -4636.405631446862 -206.96000000000004
58 2901 399.14216360474603 452.1074173956433 -52.96525379089729 950.0770374499261 -4634.405631446862 -213.13
59 2902 386.7659586516692 452.2215096821308 -65.45555103046155 1048.0770374499261 -4632.405631446862 -220.21000000000004
60 2903 381.7441763877435 452.335272808342 -70.59109642059849 1146.0770374499261 -4631.405631446862 -228.3599999999999
61 2904 397.17578173851206 452.4490359345532 -55.27325419604114 1244.0770374499261 -4630.405631446862 -233.79999999999995
62 2905 392.1989329933074 452.5624699004881 -60.36353690718073 1342.0770374499261 -4630.405631446862 -238.5999999999999
63 2906 400.892962953675 452.67441721669843 -51.78145426302342 1439.0770374499261 -4631.405631446862 -245.3599999999999
64 2907 400.7234211900526 452.78752202235705 -52.06410083230446 1537.0770374499261 -4632.405631446862 -250.71000000000004
