Scan started at 15:42:42 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0524902	-0.0366211	372.049	0.195622	0.00255396	0.0028239	11.6355	0	-31475.4	-30093.1	-26070.2	0.195622	1072.23	1017.19	925.685	
0.00499208	-0.0489502	-0.0389404	372.048	0.293434	0.00557515	0.00414573	25.1373	0.00499208	-31548.2	-30095.1	-26016.6	0.293434	2330.12	2182.1	1963.04	
0.00998416	-0.0500895	-0.0359294	372.047	0.391245	0.0037431	0.00349717	11.4912	0.00998416	-31626.8	-30008.3	-25993.3	0.391245	1059.07	989.329	887.928	
0.0149762	-0.0511169	-0.0347595	372.049	0.489056	0.00724828	0.00669598	15.1664	0.0149762	-31628.6	-29964.8	-26009	0.489056	1402.66	1310	1175.84	
0.0199683	-0.0555115	-0.0351257	372.049	0.586867	0.00480053	0.00441238	11.0484	0.0199683	-31627.9	-29965.1	-26009.6	0.586867	1015.81	953.05	853.184	
0.0249604	-0.0575867	-0.0346069	372.051	0.684678	0.00667845	0.00672739	10.8719	0.0249604	-31628.2	-29963.9	-26009.9	0.684678	1002.67	936.734	842.013	
0.0299525	-0.0588379	-0.0372009	372.05	0.782489	0.00576919	0.00566964	10.3784	0.0299525	-31628.8	-29963.9	-26010	0.782489	957.068	897.181	806.37	
0.0349446	-0.06073	-0.0366211	372.047	0.880301	0.00363591	0.00356735	8.50758	0.0349446	-31628.5	-29964.9	-26010	0.880301	779.78	730.425	654.182	
0.0399366	-0.0595398	-0.0379334	372.047	0.978112	0.00784791	0.00745408	9.61129	0.0399366	-31628.8	-29964.9	-26010.2	0.978112	884.561	829.997	744.505	
0.0449287	-0.0589905	-0.0379639	372.046	1.07592	0.00412191	0.00424841	7.00087	0.0449287	-31628.5	-29965	-26010.1	1.07592	637.177	599.295	534.732	
0.0499208	-0.0586853	-0.0366821	372.047	1.17373	0.003293	0.00353071	8.71028	0.0499208	-31627.7	-29966.1	-26010.1	1.17373	799.786	751.779	673.743	
0.0549129	-0.0575562	-0.0387573	372.048	1.27155	0.00434911	0.00424107	5.92817	0.0549129	-31629.4	-29964.7	-26009.9	1.27155	540.954	505.745	452.722	
0.059905	-0.0561218	-0.0378723	372.047	1.36936	0.0044302	0.00397369	7.68185	0.059905	-31629.1	-29963.4	-26010	1.36936	707.844	662.981	595.242	
0.064897	-0.0562134	-0.0373535	372.041	1.46717	0.00158382	0.00153303	5.13643	0.064897	-31628	-29964.3	-26010.2	1.46717	467.196	440.396	392.174	
0.0698891	-0.0527954	-0.0353394	372.044	1.56498	0.00218388	0.0022242	6.60623	0.0698891	-31628.2	-29964.5	-26010	1.56498	607.132	569.691	510.715	
0.0748812	-0.0538635	-0.0339966	372.041	1.66279	0.00448816	0.00454333	4.53514	0.0748812	-31628.7	-29964.2	-26010	1.66279	412.256	388.182	345.916	
0.0798733	-0.0548706	-0.034729	372.04	1.7606	0.00273773	0.00250717	5.46329	0.0798733	-31628.8	-29963.7	-26010.1	1.7606	504.448	470.707	423.116	
0.0848654	-0.0565796	-0.0329285	372.044	1.85841	0.00234289	0.00230503	4.03564	0.0848654	-31627.4	-29965.4	-26010.6	1.85841	368.604	346.797	309.994	
0.0898574	-0.0575256	-0.0343628	372.045	1.95622	0.00201949	0.0019158	4.32083	0.0898574	-31627.1	-29965.2	-26010.3	1.95622	397.222	373.735	335.091	
0.0948495	-0.054718	-0.0340271	372.047	2.05403	0.00152749	0.00142728	3.63436	0.0948495	-31627.7	-29963.2	-26009.2	2.05403	333.421	313.121	280.866	
0.0998416	-0.0576477	-0.0341187	372.047	2.15185	0.00175676	0.00186748	3.20087	0.0998416	-31627.2	-29962.4	-26009.4	2.15185	295	275.137	247.127	
0.104834	-0.0571594	-0.0377197	372.044	2.24966	0.00181642	0.00169368	3.2929	0.104834	-31626.7	-29961.2	-26009.4	2.24966	304.943	284.759	256.357	
0.109826	-0.057251	-0.0346985	372.048	2.34747	0.00111571	0.00112553	2.12443	0.109826	-31626.9	-29961.5	-26009.3	2.34747	193.647	183.583	163.724	
0.114818	-0.0602417	-0.0356445	372.044	2.44528	0.00144217	0.00130267	3.01851	0.114818	-31628	-29962.3	-26009.3	2.44528	279.678	262.325	236.118	
0.11981	-0.0540161	-0.0333862	372.047	2.54309	0.000824314	0.000755123	1.12211	0.11981	-31627.5	-29962	-26009.1	2.54309	101.655	95.6993	85.5881	
0.124802	-0.0550537	-0.0310669	372.046	2.6409	0.000764273	0.000735742	2.78743	0.124802	-31625.8	-29962.4	-26009.8	2.6409	259.222	242.47	218.701	
0.129794	-0.055481	-0.0328064	372.042	2.73871	0.000964445	0.000870792	0.262126	0.129794	-31625.2	-29962.5	-26009.9	2.73871	17.3155	17.0962	15.0365	
0.134786	-0.0540161	-0.0335388	372.047	2.83652	0.000978818	0.000800932	2.59393	0.134786	-31625.4	-29962.4	-26009.6	2.83652	240.865	226.111	203.643	
0.139778	-0.0588379	-0.0345764	372.044	2.93434	0.000876448	0.000821249	0.633254	0.139778	-31625.7	-29962.8	-26010.6	2.93434	56.0533	53.7354	47.562	
0.14477	-0.0544739	-0.0335693	372.046	3.03215	0.00101554	0.000967888	2.43341	0.14477	-31625.4	-29963.5	-26010.4	3.03215	225.75	211.243	190.423	
0.149762	-0.0538025	-0.0334778	372.045	3.12996	0.00129768	0.00134024	1.29416	0.149762	-31626.8	-29963.3	-26010	3.12996	118.372	111.26	99.6882	
0.154754	-0.0550842	-0.0357971	372.047	3.22777	0.00155054	0.00142219	2.2922	0.154754	-31629.6	-29960.9	-26009.5	3.22777	212.265	198.648	178.852	
0.159747	-0.0540466	-0.037384	372.049	3.32558	0.000984823	0.000852858	1.82504	0.159747	-31629.4	-29961	-26009.4	3.32558	167.622	157.749	141.288	
0.164739	-0.0550842	-0.0381165	372.051	3.42339	0.00075118	0.00059482	2.17445	0.164739	-31627.1	-29962	-26010.3	3.42339	199.979	187.837	168.398	
0.169731	-0.0572205	-0.0395508	372.048	3.5212	0.000574883	0.000719017	2.21866	0.169731	-31626.6	-29961.3	-26010.1	3.5212	203.952	191.306	171.49	
0.174723	-0.0553284	-0.0370483	372.044	3.61901	0.00117473	0.00120548	2.06837	0.174723	-31626.6	-29961.4	-26009.5	3.61901	190.09	177.218	159.201	
0.179715	-0.0546875	-0.0350952	372.046	3.71683	0.000449502	0.000353686	2.46463	0.179715	-31625.5	-29961.4	-26009.1	3.71683	226.844	212.937	190.941	
0.184707	-0.0557861	-0.0327759	372.047	3.81464	0.000665085	0.00053158	1.9732	0.184707	-31625	-29961.2	-26009.6	3.81464	179.964	168.971	151.037	
0.189699	-0.0524902	-0.0323181	372.048	3.91245	0.000565664	0.000432601	2.57622	0.189699	-31624.3	-29960.6	-26009.7	3.91245	237.583	221.952	199.465	
0.194691	-0.0532532	-0.0325317	372.048	4.01026	0.000796971	0.000636517	1.8811	0.194691	-31624	-29961.1	-26009.3	4.01026	171.412	160.724	143.471	
0.199683	-0.0504456	-0.0339356	372.047	4.10807	0.000593954	0.000318785	2.55693	0.199683	-31623.9	-29960.8	-26009.3	4.10807	235.494	220.461	198.032	
0.204675	-0.0502319	-0.0340271	372.045	4.20588	0.000617591	0.00074317	1.79481	0.204675	-31623.3	-29960.1	-26009.4	4.20588	162.784	153.859	136.846	
0.209667	-0.0532837	-0.0332336	372.046	4.30369	0.000965053	0.000981241	2.42177	0.209667	-31623.9	-29960.1	-26009.8	4.30369	222.746	208.983	187.599	
0.214659	-0.0541687	-0.0320435	372.051	4.4015	0.000623438	0.000605732	1.71258	0.214659	-31625.8	-29958.1	-26009.4	4.4015	155.765	146.864	130.815	
0.219652	-0.0572815	-0.034729	372.046	4.49931	0.000793112	0.000633377	2.18687	0.219652	-31626.2	-29957.9	-26009.8	4.49931	201.632	188.138	169.072	
0.224644	-0.0567017	-0.0350647	372.05	4.59713	0.000670444	0.00061527	1.63357	0.224644	-31623.5	-29961	-26011.4	4.59713	149.196	140.3	125.4	
0.229636	-0.0547485	-0.0366516	372.049	4.69494	0.000372338	0.00033228	1.86711	0.229636	-31623.6	-29961.7	-26011.7	4.69494	171.501	161.287	144.462	
0.234628	-0.0531616	-0.0389404	372.046	4.79275	0.000630795	0.000517674	1.55874	0.234628	-31625.4	-29961	-26010.7	4.79275	143.193	134.17	120.395	
0.23962	-0.0515137	-0.034729	372.052	4.89056	0.000558572	0.000433442	1.48796	0.23962	-31624.8	-29960.1	-26010.9	4.89056	136.846	128.155	114.979	
0.244612	-0.0516052	-0.0349426	372.05	4.98837	0.000423047	0.00044561	1.48978	0.244612	-31623.4	-29959.9	-26011.8	4.98837	137.416	128.784	115.715	
0.249604	-0.0538635	-0.0346375	372.051	5.08618	0.000526499	0.000483582	1.06967	0.249604	-31621.9	-29959.4	-26011.2	5.08618	97.9852	92.09	82.491	
0.254596	-0.0527954	-0.0323181	372.052	5.18399	0.000591668	0.000625835	1.42613	0.254596	-31622	-29958.5	-26010.1	5.18399	132.141	123.822	111.442	
0.259588	-0.0540772	-0.0344543	372.05	5.2818	0.000515963	0.000479485	0.633367	0.259588	-31623.2	-29958.2	-26010.3	5.2818	57.5133	54.2228	48.4886	
0.26458	-0.0561524	-0.0348511	372.049	5.37962	0.000329042	0.000409069	1.37057	0.26458	-31623	-29956.7	-26011	5.37962	127.301	119.189	107.464	
0.269572	-0.054718	-0.0345459	372.052	5.47743	0.000409761	0.000428553	0.209772	0.269572	-31622.6	-29957.4	-26011.2	5.47743	17.5904	16.2563	14.6586	
0.274564	-0.0558167	-0.036438	372.047	5.57524	0.00068208	0.000668031	1.32063	0.274564	-31621.5	-29959.4	-26011.3	5.57524	122.885	114.902	103.687	
0.279556	-0.055603	-0.0356445	372.047	5.67305	0.000449676	0.000408837	0.242871	0.279556	-31620.6	-29958.7	-26011.3	5.67305	20.9403	19.7225	17.7141	
0.284549	-0.0541687	-0.0365906	372.047	5.77086	0.000453019	0.000339535	1.27825	0.284549	-31620.4	-29956.4	-26011.1	5.77086	118.809	111.036	100.162	
0.289541	-0.0538025	-0.038208	372.043	5.86867	0.000676755	0.000659327	0.610598	0.289541	-31619.5	-29956.3	-26011.2	5.86867	55.918	52.0873	46.8341	
0.294533	-0.0544128	-0.0370483	372.043	5.96648	0.000540035	0.000426213	1.24051	0.294533	-31618.8	-29957.6	-26011.5	5.96648	114.853	107.646	96.8604	
0.299525	-0.0515747	-0.0377808	372.044	6.06429	0.000634519	0.000604323	0.931789	0.299525	-31619.3	-29957.1	-26012	6.06429	85.7342	80.1668	72.0207	
0.304517	-0.0516357	-0.0378418	372.047	6.1621	0.000624263	0.000500048	1.20801	0.304517	-31620	-29955.4	-26011.9	6.1621	111.364	104.275	93.6857	
0.309509	-0.0518189	-0.0352478	372.047	6.25992	0.000662624	0.000783229	1.19248	0.309509	-31619.7	-29956.1	-26011.7	6.25992	109.796	102.557	92.2585	
0.314501	-0.0524597	-0.0348816	372.053	6.35773	0.000856859	0.000824653	1.17735	0.314501	-31618.4	-29956.6	-26012.7	6.35773	107.902	101.399	90.7295	
0.319493	-0.0557556	-0.0324402	372.053	6.45554	0.00077892	0.000790339	1.38057	0.319493	-31618.7	-29955	-26012.6	6.45554	126.896	119.286	106.786	
0.324485	-0.0566711	-0.0296936	372.049	6.55335	0.000774914	0.0007203	1.14738	0.324485	-31618.6	-29955	-26011.9	6.55335	104.608	98.6971	88.0463	
0.329477	-0.0560608	-0.0283203	372.053	6.65116	0.000557893	0.00057453	1.49278	0.329477	-31617.6	-29955	-26012.3	6.65116	137.07	129.204	115.613	
0.334469	-0.0561218	-0.0267944	372.051	6.74897	0.000684203	0.000675	1.11873	0.334469	-31617.1	-29953.6	-26013	6.74897	102.263	95.3338	85.3661	
