Scan started at 15:43:45 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0651856	-0.0395508	372.455	0.195622	0.00222621	0.00180412	11.8626	0	-31505.9	-30010	-26076.1	0.195622	1083.19	1013.65	905.494	
0.00499208	-0.0601196	-0.03479	372.452	0.293434	0.00590169	0.00453475	25.1996	0.00499208	-31492.2	-30074	-26043.5	0.293434	2339.58	2184.19	1961.75	
0.00998416	-0.0571289	-0.0351969	372.447	0.391245	0.00443306	0.00416578	11.4931	0.00998416	-31558.8	-30019.5	-26016.4	0.391245	1066.94	990.951	895.42	
0.0149762	-0.0561218	-0.0375671	372.446	0.489056	0.00425145	0.00425318	15.2148	0.0149762	-31602.2	-29958.2	-26018.5	0.489056	1401.38	1314.86	1181.33	
0.0199683	-0.0545044	-0.0359802	372.447	0.586867	0.00401322	0.0038241	11.0673	0.0199683	-31602.5	-29957.1	-26018.4	0.586867	1015.07	953.75	857.618	
0.0249604	-0.0524902	-0.0363464	372.448	0.684678	0.00776988	0.00743961	10.9331	0.0249604	-31599.2	-29957.6	-26018.8	0.684678	999.122	943.022	840.49	
0.0299525	-0.0523377	-0.036438	372.451	0.782489	0.00729432	0.00688423	10.4519	0.0299525	-31598.9	-29958.8	-26018.5	0.782489	959.336	899.774	803.106	
0.0349446	-0.0529785	-0.0334168	372.453	0.880301	0.00432247	0.00406946	8.55168	0.0349446	-31599.3	-29957.7	-26017.9	0.880301	779.731	734.807	652.651	
0.0399366	-0.0545654	-0.0364685	372.447	0.978112	0.00674828	0.00677153	9.65945	0.0399366	-31600.2	-29956.3	-26018.1	0.978112	887.412	831.969	742.632	
0.0449287	-0.0577393	-0.0393982	372.444	1.07592	0.00372425	0.00367154	7.02166	0.0449287	-31601.9	-29956.9	-26018.4	1.07592	636.804	602.783	535.285	
0.0499208	-0.0576782	-0.0375366	372.448	1.17373	0.00381429	0.00379036	8.73343	0.0499208	-31601.8	-29957.2	-26018.3	1.17373	801.839	752.82	673.735	
0.0549129	-0.0574036	-0.0403748	372.448	1.27155	0.00491457	0.00499519	5.9526	0.0549129	-31601.9	-29957.7	-26018.6	1.27155	540.924	508.528	453.135	
0.059905	-0.0575256	-0.0379944	372.449	1.36936	0.00502765	0.00451958	7.71462	0.059905	-31602.1	-29957.3	-26018.9	1.36936	708.721	665.097	594.775	
0.064897	-0.0558167	-0.0357361	372.453	1.46717	0.00288595	0.00269087	5.15465	0.064897	-31601.1	-29957	-26019	1.46717	468.408	441.492	392.423	
0.0698891	-0.0572205	-0.0367127	372.448	1.56498	0.00265413	0.00242493	6.63066	0.0698891	-31601.4	-29958.1	-26018.8	1.56498	607.836	571.632	510.638	
0.0748812	-0.0590515	-0.0354919	372.446	1.66279	0.0044289	0.00440176	4.54646	0.0748812	-31601.3	-29958.3	-26018.6	1.66279	412.265	390.228	346.215	
0.0798733	-0.0577393	-0.0371094	372.449	1.7606	0.00159262	0.00165673	5.48948	0.0798733	-31602	-29957.1	-26018.8	1.7606	503.245	474.039	422.984	
0.0848654	-0.0600891	-0.0383606	372.447	1.85841	0.0023348	0.00227874	4.0545	0.0848654	-31601.5	-29956.8	-26019.2	1.85841	370.394	346.703	309.843	
0.0898574	-0.0571594	-0.0378723	372.444	1.95622	0.00245147	0.00229494	4.3481	0.0898574	-31600.8	-29959.2	-26019.2	1.95622	398.525	374.27	334.123	
0.0948495	-0.0543213	-0.0368347	372.444	2.05403	0.00202774	0.00197034	3.64261	0.0948495	-31602.3	-29959.2	-26019.1	2.05403	334.009	314.076	280.293	
0.0998416	-0.0563355	-0.0370178	372.437	2.15185	0.00241238	0.00234381	3.21645	0.0998416	-31602.1	-29957.1	-26019.3	2.15185	293.639	277.511	247.598	
0.104834	-0.0538025	-0.0348206	372.437	2.24966	0.00245079	0.00248279	3.31423	0.104834	-31600.8	-29957.8	-26020.1	2.24966	303.849	286.983	256.29	
0.109826	-0.0570068	-0.0350647	372.439	2.34747	0.00173028	0.00176154	2.13058	0.109826	-31600.1	-29960	-26020.1	2.34747	195.521	182.625	163.478	
0.114818	-0.059906	-0.0335999	372.443	2.44528	0.00178976	0.00156984	3.02815	0.114818	-31599.9	-29960.3	-26019.9	2.44528	279.971	263.108	235.654	
0.11981	-0.0560303	-0.0329895	372.448	2.54309	0.000944493	0.000879129	1.12952	0.11981	-31600.5	-29957.4	-26019.6	2.54309	101.913	95.8685	85.5726	
0.124802	-0.0561524	-0.0316772	372.448	2.6409	0.00161806	0.00159567	2.80083	0.124802	-31601	-29956.4	-26019.6	2.6409	259.737	242.9	218.254	
0.129794	-0.0537415	-0.0304565	372.45	2.73871	0.0013578	0.00147719	0.264409	0.129794	-31600.6	-29957.1	-26019.8	2.73871	17.2975	17.2768	15.0819	
0.134786	-0.0513611	-0.0304871	372.45	2.83652	0.00130739	0.00135048	2.60661	0.134786	-31600.1	-29957.6	-26019.2	2.83652	241.361	226.514	203.284	
0.139778	-0.0543518	-0.0322571	372.446	2.93434	0.000941938	0.000800229	0.638837	0.139778	-31600.4	-29956.9	-26019.2	2.93434	56.454	53.4286	47.6596	
0.14477	-0.0567627	-0.0366211	372.447	3.03215	0.000739845	0.000742234	2.4435	0.14477	-31599.9	-29956.6	-26019.6	3.03215	225.738	212.199	190.046	
0.149762	-0.0563965	-0.0383911	372.444	3.12996	0.00101247	0.00122389	1.30012	0.149762	-31599.1	-29957.6	-26019.8	3.12996	118.537	111.69	99.6586	
0.154754	-0.0572205	-0.0407715	372.443	3.22777	0.00150319	0.00142939	2.30426	0.154754	-31598.9	-29958.9	-26020	3.22777	212.535	199.167	178.526	
0.159747	-0.0554199	-0.0388489	372.446	3.32558	0.00109449	0.000975014	1.83538	0.159747	-31599	-29958.3	-26020	3.32558	168.531	157.427	141.117	
0.164739	-0.0505676	-0.038269	372.448	3.42339	0.000876802	0.00076365	2.18373	0.164739	-31597.9	-29958.3	-26020.4	3.42339	200.437	188.247	168.32	
0.169731	-0.0540772	-0.0388184	372.45	3.5212	0.00151704	0.00128541	2.2259	0.169731	-31598.5	-29958.2	-26020.8	3.5212	204.605	191.524	171.498	
0.174723	-0.0531006	-0.0361939	372.45	3.61901	0.000910709	0.000913072	2.07623	0.174723	-31599.6	-29958.3	-26020.7	3.61901	189.029	179.22	159.193	
0.179715	-0.0542297	-0.0362244	372.448	3.71683	0.000590834	0.000550559	2.47801	0.179715	-31599.2	-29958.7	-26020.7	3.71683	226.564	214.212	190.764	
0.184707	-0.055481	-0.0324402	372.449	3.81464	0.000749384	0.000900596	1.98037	0.184707	-31598.7	-29958.7	-26021.4	3.81464	180.388	169.362	151.007	
0.189699	-0.0528259	-0.0293274	372.446	3.91245	0.000582803	0.000563226	2.58757	0.189699	-31598.6	-29958.4	-26021.1	3.91245	237.257	223.356	199.284	
0.194691	-0.0492554	-0.0297852	372.447	4.01026	0.000754575	0.000692954	1.88872	0.194691	-31599.4	-29958.4	-26020.4	4.01026	171.931	160.976	143.65	
0.199683	-0.0487366	-0.0279236	372.449	4.10807	0.000612676	0.00039145	2.56846	0.199683	-31598.7	-29959.2	-26020.8	4.10807	235.782	221.364	197.845	
0.204675	-0.0512085	-0.0305481	372.448	4.20588	0.000663801	0.000642149	1.80209	0.204675	-31597.1	-29959.1	-26021.2	4.20588	163.134	154.559	136.967	
0.209667	-0.0513611	-0.0323486	372.454	4.30369	0.00081482	0.00071757	2.4325	0.209667	-31598.1	-29958.5	-26020.5	4.30369	222.994	209.751	187.39	
0.214659	-0.0572205	-0.0350342	372.447	4.4015	0.000775727	0.000732028	1.71827	0.214659	-31597.6	-29958.7	-26020.3	4.4015	155.802	147.571	130.919	
0.219652	-0.057251	-0.0359192	372.45	4.49931	0.000828891	0.000829134	2.19304	0.219652	-31596.5	-29959.5	-26020.7	4.49931	201.299	189.272	169.033	
0.224644	-0.0559387	-0.0361939	372.45	4.59713	0.000543785	0.000563219	1.64121	0.224644	-31597.5	-29958.9	-26020.9	4.59713	149.415	140.817	125.37	
