Scan started at 15:46:33 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.0629883	-0.0374756	371.902	0.195622	0.00302231	0.00267759	12.0692	0	-31199.3	-29964.1	-26161.9	0.195622	1150.88	1014.14	886.981	
0.00499208	-0.0532227	-0.0311279	371.9	0.293434	0.00507371	0.00389108	25.3055	0.00499208	-31253.6	-29999.2	-26142	0.293434	2346.47	2193.94	1974.22	
0.00998416	-0.0495606	-0.0267334	371.9	0.391245	0.00619512	0.00602158	11.6289	0.00998416	-31342.8	-29922.3	-26140.1	0.391245	1029.37	1000.01	921.611	
0.0149762	-0.050415	-0.02948	371.896	0.489056	0.00578672	0.00534262	15.2405	0.0149762	-31360.1	-29867.8	-26148.5	0.489056	1379.09	1314.15	1175.89	
0.0199683	-0.0476685	-0.0269165	371.896	0.586867	0.0028493	0.00288205	11.1199	0.0199683	-31361.2	-29868	-26148.2	0.586867	1028.76	952.743	834.683	
0.0249604	-0.0455322	-0.0253906	371.896	0.684678	0.00636643	0.0064015	10.9454	0.0249604	-31362.4	-29866.2	-26148	0.684678	1017.02	943.29	839.568	
0.0299525	-0.0456543	-0.0236816	371.896	0.782489	0.00498239	0.00506066	10.4607	0.0299525	-31362.2	-29867.1	-26147.7	0.782489	951.775	905.45	815.895	
0.0349446	-0.0449219	-0.0210876	371.897	0.880301	0.00414817	0.00396738	8.56176	0.0349446	-31361.3	-29870.1	-26148.1	0.880301	769.589	734.046	660.999	
0.0399366	-0.0452881	-0.0220947	371.894	0.978112	0.0070749	0.00668034	9.67276	0.0399366	-31362.1	-29870.1	-26148	0.978112	883.341	832.505	742.247	
0.0449287	-0.0471191	-0.0228272	371.894	1.07592	0.00460186	0.00442216	7.03587	0.0449287	-31364.2	-29868.7	-26147.2	1.07592	643.505	599.08	531.597	
0.0499208	-0.0468445	-0.0239258	371.894	1.17373	0.00454061	0.00409295	8.74254	0.0499208	-31364.1	-29869.8	-26147.3	1.17373	803.305	752.359	673.721	
0.0549129	-0.0474243	-0.0241394	371.895	1.27155	0.00508814	0.00512263	5.97308	0.0549129	-31363.8	-29871.6	-26148.5	1.27155	536.821	511.542	455.661	
0.059905	-0.048645	-0.0238037	371.894	1.36936	0.0049641	0.0047034	7.74342	0.059905	-31363.4	-29870.7	-26148.6	1.36936	706.657	666.143	595.542	
0.064897	-0.0478516	-0.0223694	371.892	1.46717	0.00230885	0.00215858	5.17339	0.064897	-31363.4	-29870.3	-26147.2	1.46717	467.965	441.535	392.181	
0.0698891	-0.0479431	-0.0219116	371.891	1.56498	0.0017715	0.0017827	6.65238	0.0698891	-31362.1	-29870.7	-26146.7	1.56498	608.045	570.965	510.182	
0.0748812	-0.0473328	-0.0237732	371.892	1.66279	0.00435469	0.00436316	4.55899	0.0748812	-31361.8	-29869.3	-26146.7	1.66279	412.283	390.078	346.621	
0.0798733	-0.0432739	-0.0237427	371.893	1.7606	0.00153561	0.00166536	5.50878	0.0798733	-31362.8	-29868.8	-26146.6	1.7606	501.584	475.369	423.856	
0.0848654	-0.0431519	-0.0235901	371.898	1.85841	0.0018073	0.00163075	4.06257	0.0848654	-31362.1	-29870.6	-26145.9	1.85841	368.919	347.945	310.636	
0.0898574	-0.0454102	-0.0258179	371.899	1.95622	0.00320612	0.0030832	4.36353	0.0898574	-31362.4	-29872	-26146	1.95622	398.482	374.241	334.038	
0.0948495	-0.0456848	-0.0273438	371.896	2.05403	0.00240442	0.00229671	3.66542	0.0948495	-31364	-29870.7	-26146.4	2.05403	333.797	314.19	280.153	
0.0998416	-0.0488892	-0.0322266	371.896	2.15185	0.00214465	0.00222044	3.22406	0.0998416	-31364.5	-29870.4	-26146.2	2.15185	295.111	276.046	247.279	
0.104834	-0.053772	-0.0354614	371.891	2.24966	0.00232472	0.00229529	3.31848	0.104834	-31362.6	-29872.5	-26146.5	2.24966	304.966	285.764	256.191	
0.109826	-0.0538025	-0.0375977	371.891	2.34747	0.000890699	0.000908086	2.14056	0.109826	-31361.3	-29872.5	-26146.2	2.34747	193.473	184.256	163.82	
0.114818	-0.0563965	-0.0359497	371.895	2.44528	0.00108891	0.000987657	3.04586	0.114818	-31363.6	-29870.9	-26145.3	2.44528	279.851	262.938	235.604	
0.11981	-0.0570374	-0.0328064	371.896	2.54309	0.000858796	0.000790678	1.12897	0.11981	-31363.8	-29870.3	-26144.6	2.54309	101.741	95.6504	85.5839	
0.124802	-0.0539246	-0.0312195	371.898	2.6409	0.00105592	0.00102248	2.8078	0.124802	-31361.7	-29870.9	-26145.1	2.6409	258.795	243.472	218.203	
0.129794	-0.0519409	-0.0268555	371.895	2.73871	0.00079008	0.000744256	0.26747	0.129794	-31362.3	-29872.5	-26145	2.73871	17.1075	17.2977	15.1774	
0.134786	-0.047699	-0.0251465	371.896	2.83652	0.000948347	0.000919935	2.61076	0.134786	-31364.5	-29872.7	-26143.8	2.83652	240.464	227.13	203.174	
0.139778	-0.0447388	-0.0240479	371.892	2.93434	0.000776491	0.000925647	0.637732	0.139778	-31365.4	-29872.7	-26143.8	2.93434	56.1234	53.728	47.6332	
0.14477	-0.0419922	-0.0228272	371.892	3.03215	0.000784221	0.000825128	2.45168	0.14477	-31362.7	-29874.5	-26144.8	3.03215	225.523	212.145	190.062	
0.149762	-0.0400391	-0.0231934	371.894	3.12996	0.00117995	0.00119051	1.30383	0.149762	-31361.4	-29875.7	-26144.7	3.12996	118.116	112.026	99.7207	
0.154754	-0.0430298	-0.0210266	371.891	3.22777	0.00135438	0.00134218	2.31131	0.154754	-31362.4	-29875.5	-26144	3.22777	212.244	199.243	178.602	
0.159747	-0.0452576	-0.0204773	371.893	3.32558	0.000953516	0.000874691	1.84204	0.159747	-31363.1	-29874.8	-26144.2	3.32558	168.247	157.612	141.177	
0.164739	-0.0447693	-0.0194702	371.895	3.42339	0.00152005	0.00130326	2.18963	0.164739	-31363.5	-29874	-26143.7	3.42339	200.216	188.228	168.428	
