Scan started at 15:50:23 16/01/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0	-0.067749	-0.0393066	371.652	0.195622	0.00351079	0.00297409	11.9009	0	-31579.3	-29766.1	-26046.1	0.195622	1089.39	1054.77	877.805	
0.00499208	-0.0640869	-0.0444946	371.661	0.293434	0.00466156	0.00343818	25.2208	0.00499208	-31479.4	-29889.3	-26037.7	0.293434	2336.63	2217.88	1964.36	
0.00998416	-0.0614828	-0.0404867	371.658	0.391245	0.00485999	0.00492582	11.5146	0.00998416	-31482.2	-29948.4	-26020.2	0.391245	1058.79	1038.96	931.053	
0.0149762	-0.0563355	-0.0356751	371.657	0.489056	0.0035337	0.0033944	15.2193	0.0149762	-31533.2	-29918.2	-26015.9	0.489056	1389.97	1312.9	1201.24	
0.0199683	-0.0543823	-0.0358582	371.66	0.586867	0.00288612	0.0027204	11.0748	0.0199683	-31532.6	-29919.3	-26017.3	0.586867	1009.39	923.928	853.879	
0.0249604	-0.0538025	-0.0332947	371.661	0.684678	0.00649448	0.00607695	10.9336	0.0249604	-31533.2	-29918.1	-26017.6	0.684678	1002.03	924.462	822.993	
0.0299525	-0.0526733	-0.0339966	371.663	0.782489	0.00675204	0.00605368	10.4488	0.0299525	-31532.5	-29919.9	-26016.6	0.782489	963.402	901.731	795.037	
0.0349446	-0.0534668	-0.0358276	371.665	0.880301	0.00387959	0.00349259	8.55608	0.0349446	-31530.9	-29920.6	-26016.2	0.880301	779.018	748.908	658.541	
0.0399366	-0.0533753	-0.0359802	371.661	0.978112	0.00695001	0.00693954	9.6645	0.0399366	-31532.4	-29918.9	-26016.5	0.978112	882.108	840.49	751.538	
0.0449287	-0.0548096	-0.0365906	371.659	1.07592	0.00361454	0.00360857	7.03222	0.0449287	-31532.5	-29917.8	-26016.8	1.07592	633.926	602.439	539.769	
0.0499208	-0.0559692	-0.0331116	371.656	1.17373	0.00307154	0.00310248	8.75726	0.0499208	-31531.3	-29919.4	-26016.5	1.17373	798.287	751.461	671.542	
0.0549129	-0.058136	-0.0341492	371.659	1.27155	0.00501482	0.00491667	5.95799	0.0549129	-31530.8	-29920	-26016.9	1.27155	541.548	504.546	449.77	
0.059905	-0.0549011	-0.0342102	371.66	1.36936	0.00425628	0.00414407	7.71536	0.059905	-31532.8	-29917.5	-26016.1	1.36936	707.216	665.027	594.314	
0.064897	-0.054657	-0.0353394	371.657	1.46717	0.00274692	0.00267476	5.1625	0.064897	-31534.7	-29917.9	-26015.8	1.46717	467.429	443.068	393.874	
0.0698891	-0.0531921	-0.0383301	371.659	1.56498	0.00277394	0.00237405	6.62493	0.0698891	-31532.6	-29919.6	-26016.8	1.56498	605.926	573.348	511.831	
0.0748812	-0.0498657	-0.0369263	371.657	1.66279	0.00469524	0.0046845	4.54221	0.0748812	-31531.9	-29920.1	-26016.6	1.66279	412.188	390.192	347.583	
0.0798733	-0.0525208	-0.0361939	371.658	1.7606	0.00249971	0.00249099	5.49937	0.0798733	-31534.1	-29920.3	-26015.7	1.7606	501.059	474.966	423.318	
0.0848654	-0.0545349	-0.0356751	371.657	1.85841	0.00188656	0.00195872	4.05167	0.0848654	-31534.2	-29919.2	-26015.8	1.85841	367.543	348.202	309.926	
0.0898574	-0.0581665	-0.035553	371.654	1.95622	0.00316618	0.00307595	4.35129	0.0898574	-31531.9	-29918.8	-26016.6	1.95622	397.663	373.955	334.074	
0.0948495	-0.0604553	-0.0371399	371.653	2.05403	0.00218017	0.00206484	3.65817	0.0948495	-31531.4	-29919.2	-26016.8	2.05403	333.254	314.345	280.39	
0.0998416	-0.0636902	-0.0403442	371.651	2.15185	0.00225641	0.002305	3.21604	0.0998416	-31532.7	-29917.3	-26016.1	2.15185	294.707	276.43	247.262	
0.104834	-0.0617676	-0.0412598	371.652	2.24966	0.00227902	0.0024025	3.31081	0.104834	-31533.5	-29916.3	-26016.1	2.24966	304.572	285.884	256.148	
0.109826	-0.0609741	-0.043335	371.656	2.34747	0.00117222	0.00125373	2.13463	0.109826	-31533.5	-29915.3	-26016.3	2.34747	193.058	184.523	163.755	
0.114818	-0.0661926	-0.0431824	371.658	2.44528	0.00128913	0.00136597	3.03788	0.114818	-31532.9	-29916	-26016.2	2.44528	279.314	262.925	235.53	
0.11981	-0.0654907	-0.039856	371.661	2.54309	0.0010074	0.000949618	1.12416	0.11981	-31531.8	-29918.4	-26016.9	2.54309	101.439	95.773	85.4029	
0.124802	-0.0640564	-0.0364075	371.662	2.6409	0.000605108	0.000563429	2.80014	0.124802	-31532.3	-29918.2	-26016.5	2.6409	258.128	243.607	218.12	
0.129794	-0.061554	-0.0341492	371.66	2.73871	0.0011849	0.00113658	0.26923	0.129794	-31532.8	-29917.3	-26015.3	2.73871	17.9768	16.7745	15.1003	
0.134786	-0.0568848	-0.0337524	371.662	2.83652	0.001584	0.00143452	2.60653	0.134786	-31532.6	-29918.5	-26016.1	2.83652	241.026	226.232	203.033	
0.139778	-0.0545044	-0.0330811	371.659	2.93434	0.0012569	0.0011631	0.639236	0.139778	-31533	-29920.3	-26017.5	2.93434	56.5381	53.1952	47.5703	
0.14477	-0.056488	-0.0345154	371.659	3.03215	0.00115874	0.00107697	2.44196	0.14477	-31534	-29920.1	-26017.1	3.03215	225.583	211.738	190.079	
0.149762	-0.0567627	-0.0356751	371.664	3.12996	0.00196053	0.00188048	1.30161	0.149762	-31532	-29921.4	-26016.8	3.12996	118.398	111.626	99.7557	
0.154754	-0.055481	-0.0339356	371.662	3.22777	0.00133136	0.00139722	2.30458	0.154754	-31531.8	-29921.3	-26016.6	3.22777	211.869	199.439	178.563	
0.159747	-0.0571289	-0.0361939	371.661	3.32558	0.0011229	0.00105387	1.83435	0.159747	-31535	-29916.7	-26015.4	3.32558	167.072	158.635	141.18	
0.164739	-0.0553589	-0.0342712	371.66	3.42339	0.00137104	0.00138863	2.18485	0.164739	-31534.7	-29915.7	-26015.5	3.42339	199.786	188.568	168.432	
0.169731	-0.0534058	-0.032196	371.656	3.5212	0.000402814	0.000443109	2.22903	0.169731	-31529.6	-29920.9	-26017.8	3.5212	203.754	192.063	171.564	
0.174723	-0.0557556	-0.0346069	371.654	3.61901	0.000620879	0.00061697	2.07943	0.174723	-31528.1	-29921.8	-26017.9	3.61901	189.468	178.379	159.4	
0.179715	-0.0542603	-0.032898	371.656	3.71683	0.000504004	0.000363132	2.47695	0.179715	-31532.5	-29916.4	-26015.7	3.71683	227.475	212.761	190.854	
0.184707	-0.0567627	-0.0323792	371.657	3.81464	0.000524348	0.000529527	1.97964	0.184707	-31533.8	-29915.9	-26015.9	3.81464	179.396	170.049	151.157	
