Scan started at 17:26:58 01/03/2019
Input1Time (s)	x (nT)	y (nT)	z (nT)	Input1Frequency (Hz)	x (nT)	y (nT)	z (nT)	Input2Time (s)	x (nT)	y (nT)	z (nT)	Input2Frequency (Hz)	x (nT)	y (nT)	z (nT)
0.174723	-0.0606079	-0.0565796	373.261	3.61901	0.001344	0.00148712	2.03378	0.174723	-31379.9	-30043.4	-25839	3.61901	188.427	180.814	160.861	
0.179715	-0.0554504	-0.0518494	373.262	3.71683	0.000980214	0.00092381	2.31558	0.179715	-31379.1	-30042.9	-25839.4	3.71683	215.993	206.404	184.702	
0.184707	-0.0546875	-0.0466003	373.266	3.81464	0.000936213	0.000939482	1.90689	0.184707	-31379.5	-30043.3	-25839.7	3.81464	178.709	171.024	153.457	
0.189699	-0.053009	-0.0513306	373.27	3.91245	0.000947655	0.000956559	1.87182	0.189699	-31379.3	-30044.2	-25839.6	3.91245	174.662	166.661	149.221	
0.194691	-0.0534973	-0.0503845	373.277	4.01026	0.0010887	0.00104879	1.84011	0.194691	-31380	-30043.7	-25840.1	4.01026	170.429	162.863	145.115	
0.199683	-0.0508728	-0.0447693	373.286	4.10807	0.00132244	0.00135941	1.40345	0.199683	-31381.6	-30041.4	-25840.3	4.10807	130.329	125.081	111.687	
0.204675	-0.0484619	-0.0444031	373.29	4.20588	0.00143738	0.00129846	1.73126	0.204675	-31383.6	-30041	-25840.1	4.20588	162.058	155.217	139.132	
0.209667	-0.047699	-0.0407105	373.287	4.30369	0.000551374	0.000380269	2.22102	0.209667	-31383	-30042.6	-25840	4.30369	207.119	198.306	177.267	
0.214659	-0.0461426	-0.0390015	373.286	4.4015	0.00105586	0.00105672	1.67186	0.214659	-31383	-30043.8	-25840.3	4.4015	155.372	148.254	132.418	
0.219652	-0.043335	-0.032959	373.284	4.49931	0.000954099	0.00106524	0.465112	0.219652	-31384	-30041.4	-25840.8	4.49931	41.8027	40.1191	35.8684	
0.224644	-0.042511	-0.0347595	373.285	4.59713	0.000605742	0.000736149	1.59175	0.224644	-31381.9	-30041.9	-25841.2	4.59713	148.485	142.006	127.094	
0.229636	-0.0461121	-0.0367737	373.29	4.69494	0.00115732	0.00103401	2.20376	0.229636	-31380.2	-30043.8	-25841.7	4.69494	205.499	196.821	175.898	
